HEROP_ID,MhMinDis
140US01081042002,2.476821744
140US01089001401,2.302264573
140US01019955701,8.77442586
140US01047956701,4.335467064
140US01073005910,3.82848831
140US01073011108,2.690974863
140US01073012703,0.894438258
140US01073014001,7.748313654
140US01073012908,6.847405415
140US01051030902,9.475288644
140US01117030304,5.610119147
140US01101000100,3.745463293
140US01101005611,4.088001247
140US01101005612,5.25894293
140US01101005607,5.46777979
140US01097006702,8.753051812
140US01055010601,5.850565541
140US01055010602,8.928601577
140US01001020803,7.380300278
140US01051030101,16.04834297
140US01051030401,16.57890176
140US01043965401,10.43081175
140US01015981902,8.466583146
140US01117030216,2.19995105
140US01117030341,1.170993491
140US01117030408,10.94834902
140US01117030900,10.15615283
140US01117030345,1.533861694
140US01117030407,6.678515232
140US01115040402,10.86183378
140US01083020201,3.384456337
140US01003010906,13.29359039
140US01021060104,0.409980765
140US01025957604,32.72492428
140US01125010705,11.83701328
140US01125010305,8.02005936
140US01107050402,24.0286081
140US01099076102,31.01525912
140US01125010304,2.967379809
140US01099076101,30.40125506
140US01109189101,18.7764116
140US01079979501,9.353172751
140US01007010007,18.57139514
140US01007010009,26.63315935
140US01011952202,4.069309548
140US01091972901,1.738575565
140US01083020803,4.265552354
140US01115040302,15.39971032
140US01115040209,5.007677537
140US01115040211,1.731074338
140US01115040213,9.787244431
140US01113030907,1.873541192
140US01113030906,3.518035372
140US01043965501,16.46797028
140US01043965002,3.971841882
140US01003010710,0.325220845
140US01003011503,21.30421162
140US01003011604,15.8513745
140US01003011409,16.01163379
140US01003011416,28.07970583
140US01049960702,15.00081968
140US01049960601,11.31848214
140US01033020705,5.715255744
140US01097006412,5.415131008
140US01097006703,12.67219536
140US01097006106,8.150895504
140US01097006411,4.12573834
140US01097003206,4.11610738
140US01081041002,11.47414138
140US01081041001,6.874647499
140US01081041104,2.403584843
140US01081041902,9.922196174
140US01081041901,7.831948996
140US01015001103,4.130211784
140US01103005602,10.44534776
140US01015002002,8.493119152
140US01019955802,6.29236955
140US01059973701,15.16121406
140US01093964701,19.28546218
140US01077011605,10.3176151
140US01077011402,11.181618
140US01121011302,9.971598156
140US01121011501,9.845841555
140US01101005412,3.442965313
140US01071950301,17.21070875
140US01095030804,10.03628355
140US01095030101,9.068479501
140US01095030302,3.540751835
140US01095030502,2.803928894
140US01095030203,11.45227072
140US01095031002,8.395893146
140US01095031001,11.97136949
140US01073014205,6.548386914
140US01073011115,2.814171503
140US01073014415,7.085759242
140US01073011805,3.269473159
140US01073011806,3.347612861
140US01073011303,14.86665748
140US01073010604,1.931982975
140US01073011401,17.22202607
140US01117030616,2.548013536
140US01117030612,6.304244665
140US01117030218,3.999166838
140US01117030351,5.244432809
