GEOID,HEROP_ID,HivCntDr,HivTmDr,HivTmDr2
1073013901,140US01073013901,11,8.8,17.6
1103000100,140US01103000100,1,20.96,41.92
1103005103,140US01103005103,1,28.81,57.62
1103000800,140US01103000800,1,23.37,46.74
1125010500,140US01125010500,4,7.2,14.4
1125012700,140US01125012700,4,5.03,10.06
1125010703,140US01125010703,1,26.56,53.12
1125010203,140US01125010203,0,58.38,116.76
1133965700,140US01133965700,0,60.38,120.76
1065040500,140US01065040500,0,31.05,62.1
1127021500,140US01127021500,4,14.18,28.36
1127020100,140US01127020100,1,13.28,26.56
1071950500,140US01071950500,0,76.98,153.96
1071950700,140US01071950700,0,66.92,133.84
1089001901,140US01089001901,1,19.85,39.7
1089000501,140US01089000501,1,17.35,34.7
1127020200,140US01127020200,1,9.57,19.14
1127021400,140US01127021400,1,15.85,31.7
1089001200,140US01089001200,1,15.26,30.52
1089001500,140US01089001500,1,12.74,25.48
1089001801,140US01089001801,1,22.58,45.16
1089002721,140US01089002721,1,22.37,44.74
1079979100,140US01079979100,0,36.22,72.44
1083020600,140US01083020600,1,21.53,43.06
1129043900,140US01129043900,0,64.94,129.88
1089002400,140US01089002400,1,16.35,32.7
1039962700,140US01039962700,1,23.37,46.74
1015000900,140US01015000900,3,5.36,10.72
1015001600,140US01015001600,3,4.54,9.08
1015002600,140US01015002600,4,20.81,41.62
1053970300,140US01053970300,0,66.9,133.8
1077011502,140US01077011502,0,55.37,110.74
1077011603,140US01077011603,0,41.1,82.2
1077011700,140US01077011700,0,45.09,90.18
1019956000,140US01019956000,0,32.42,64.84
1003010400,140US01003010400,0,39.17,78.34
1003010600,140US01003010600,0,36.26,72.52
1023957000,140US01023957000,0,50.38,100.76
1043965700,140US01043965700,1,21.25,42.5
1043964700,140US01043964700,0,35.1,70.2
1043965100,140US01043965100,0,35.9,71.8
1043965300,140US01043965300,0,48.38,96.76
1009050601,140US01009050601,1,14.24,28.48
1055001200,140US01055001200,3,0,0
1055001700,140US01055001700,3,8.02,16.04
1055001600,140US01055001600,3,7.09,14.18
1025957901,140US01025957901,1,0,0
1047956300,140US01047956300,0,56.05,112.1
1055010300,140US01055010300,2,19.1,38.2
1055000900,140US01055000900,3,5.67,11.34
1055000700,140US01055000700,3,4.95,9.9
1055011001,140US01055011001,3,21.72,43.44
1059973400,140US01059973400,0,,
1059973200,140US01059973200,0,67.15,134.3
1055000400,140US01055000400,3,7.47,14.94
1033020901,140US01033020901,0,73.73,147.46
1033020801,140US01033020801,0,62.24,124.48
1049961100,140US01049961100,0,34.47,68.94
1035960400,140US01035960400,0,59.51,119.02
1035960500,140US01035960500,0,48.67,97.34
1121011800,140US01121011800,0,35.3,70.6
1121011000,140US01121011000,1,27.94,55.88
1121010900,140US01121010900,3,26.36,52.72
1057020400,140US01057020400,0,41.25,82.5
1067030400,140US01067030400,2,22.06,44.12
1051030300,140US01051030300,1,19.29,38.58
1087232100,140US01087232100,1,14.2,28.4
1017954700,140US01017954700,2,24.23,48.46
1017953900,140US01017953900,0,31.38,62.76
1041963400,140US01041963400,0,30.87,61.74
1021060200,140US01021060200,1,0,0
1027959000,140US01027959000,1,0,0
1061050400,140US01061050400,1,24.4,48.8
1031010800,140US01031010800,0,30.31,60.62
1109188700,140US01109188700,1,21.28,42.56
1081040602,140US01081040602,2,12.62,25.24
1101003200,140US01101003200,2,0,0
1101001000,140US01101001000,2,13.24,26.48
1101005902,140US01101005902,2,12.31,24.62
1101005402,140US01101005402,3,13.03,26.06
1101006100,140US01101006100,2,14.26,28.52
1101005503,140US01101005503,2,18.93,37.86
1101001700,140US01101001700,2,12.72,25.44
1045021101,140US01045021101,2,19.1,38.2
1045020300,140US01045020300,2,21.65,43.3
1093964100,140US01093964100,0,63.14,126.28
1097003800,140US01097003800,3,20.41,40.82
1097006802,140US01097006802,4,6.72,13.44
1097005300,140US01097005300,3,11.07,22.14
1097000702,140US01097000702,3,9.35,18.7
1097001302,140US01097001302,3,6.27,12.54
1097002301,140US01097002301,3,5.95,11.9
1097002900,140US01097002900,3,4.59,9.18
1097003302,140US01097003302,3,5.21,10.42
1097003606,140US01097003606,3,4.88,9.76
1097003902,140US01097003902,3,8.37,16.74
1097004900,140US01097004900,3,7.46,14.92
1097006103,140US01097006103,3,13.08,26.16
1097003202,140US01097003202,3,3.62,7.24
1097003203,140US01097003203,3,3.18,6.36
1097003707,140US01097003707,3,5.75,11.5
1097007101,140US01097007101,4,11.73,23.46
1069041700,140US01069041700,1,26.38,52.76
1069040500,140US01069040500,3,3.86,7.72
1069041400,140US01069041400,3,4.84,9.68
1029959800,140US01029959800,0,40.4,80.8
1001021000,140US01001021000,0,30.12,60.24
1001020400,140US01001020400,2,3,6
1001020700,140US01001020700,2,8.62,17.24
1005950500,140US01005950500,0,49.05,98.1
1005950200,140US01005950200,0,56.8,113.6
1081042002,140US01081042002,6,12.36,24.72
1089001401,140US01089001401,1,12.02,24.04
1019955701,140US01019955701,2,26.18,52.36
1047956701,140US01047956701,0,58.16,116.32
1073005910,140US01073005910,11,10.63,21.26
1073011108,140US01073011108,11,7.17,14.34
1073012703,140US01073012703,12,16.14,32.28
1073014001,140US01073014001,9,17.9,35.8
1073012908,140US01073012908,14,8.66,17.32
1051030902,140US01051030902,1,18.68,37.36
1117030304,140US01117030304,14,14.69,29.38
1101000100,140US01101000100,2,11.94,23.88
1101005611,140US01101005611,3,12.69,25.38
1101005612,140US01101005612,1,17.4,34.8
1101005607,140US01101005607,1,16.28,32.56
1097006702,140US01097006702,4,15.9,31.8
1055010601,140US01055010601,2,18.06,36.12
1055010602,140US01055010602,2,21.21,42.42
1001020803,140US01001020803,1,16.63,33.26
1051030101,140US01051030101,0,33.66,67.32
1051030401,140US01051030401,1,25.33,50.66
1043965401,140US01043965401,0,33.94,67.88
1015981902,140US01015981902,3,20.89,41.78
1117030216,140US01117030216,12,16.77,33.54
1117030341,140US01117030341,12,16.57,33.14
1117030408,140US01117030408,0,33.62,67.24
1117030900,140US01117030900,3,25.04,50.08
1117030345,140US01117030345,10,19.99,39.98
1117030407,140US01117030407,1,28.59,57.18
1115040402,140US01115040402,2,28.27,56.54
1083020201,140US01083020201,1,26.22,52.44
1003010906,140US01003010906,0,32.44,64.88
1021060104,140US01021060104,1,12.59,25.18
1025957604,140US01025957604,0,51.65,103.3
1125010705,140US01125010705,4,17.85,35.7
1125010305,140US01125010305,0,56.62,113.24
1107050402,140US01107050402,0,45.2,90.4
1099076102,140US01099076102,0,72.91,145.82
1125010304,140US01125010304,4,7.88,15.76
1099076101,140US01099076101,0,84.44,168.88
1109189101,140US01109189101,3,0,0
1079979501,140US01079979501,0,36.99,73.98
1007010007,140US01007010007,0,42.48,84.96
1007010009,140US01007010009,0,48.21,96.42
1011952202,140US01011952202,0,46.51,93.02
1091972901,140US01091972901,1,15.81,31.62
1083020803,140US01083020803,1,11.36,22.72
1115040302,140US01115040302,2,23.11,46.22
1115040209,140US01115040209,0,35.28,70.56
1115040211,140US01115040211,4,25.38,50.76
1115040213,140US01115040213,0,34.01,68.02
1113030907,140US01113030907,5,10.62,21.24
1113030906,140US01113030906,5,15.6,31.2
1043965501,140US01043965501,1,28.15,56.3
1043965002,140US01043965002,0,30.27,60.54
1003010710,140US01003010710,3,19.05,38.1
1003011503,140US01003011503,0,50.09,100.18
1003011604,140US01003011604,0,65.31,130.62
1003011409,140US01003011409,0,47.64,95.28
1003011416,140US01003011416,0,62.6,125.2
1049960702,140US01049960702,1,25.3,50.6
1049960601,140US01049960601,0,32.83,65.66
1033020705,140US01033020705,0,56.4,112.8
1097006412,140US01097006412,3,15.56,31.12
1097006703,140US01097006703,4,22.08,44.16
1097006106,140US01097006106,3,13.13,26.26
1097006411,140US01097006411,3,9,18
1097003206,140US01097003206,3,0,0
1081041002,140US01081041002,1,21.47,42.94
1081041001,140US01081041001,1,10.66,21.32
1081041104,140US01081041104,1,5.84,11.68
1081041902,140US01081041902,6,19.97,39.94
1081041901,140US01081041901,6,24.15,48.3
1015001103,140US01015001103,3,5.47,10.94
1103005602,140US01103005602,0,41.53,83.06
1015002002,140US01015002002,0,45.54,91.08
1019955802,140US01019955802,1,28.33,56.66
1059973701,140US01059973701,0,79.45,158.9
1093964701,140US01093964701,0,34.29,68.58
1077011605,140US01077011605,0,50.27,100.54
1077011402,140US01077011402,0,61,122
1121011302,140US01121011302,1,28.3,56.6
1121011501,140US01121011501,0,42.53,85.06
1101005412,140US01101005412,3,13.32,26.64
1071950301,140US01071950301,0,59.99,119.98
1095030804,140US01095030804,2,28.39,56.78
1095030101,140US01095030101,0,41.6,83.2
1095030302,140US01095030302,0,51.86,103.72
1095030502,140US01095030502,0,55.91,111.82
1095030203,140US01095030203,0,66.54,133.08
1095031002,140US01095031002,0,51,102
1095031001,140US01095031001,0,41.15,82.3
1073014205,140US01073014205,5,18.03,36.06
1073011115,140US01073011115,11,0,0
1073014415,140US01073014415,9,14.17,28.34
1073011805,140US01073011805,11,7.65,15.3
1073011806,140US01073011806,11,8.04,16.08
1073011303,140US01073011303,1,20.24,40.48
1073010604,140US01073010604,12,9.21,18.42
1073011401,140US01073011401,6,12.57,25.14
1117030616,140US01117030616,10,15.23,30.46
1117030612,140US01117030612,4,19.75,39.5
1117030218,140US01117030218,7,14.1,28.2
1117030351,140US01117030351,10,16.54,33.08
1009050702,140US01009050702,0,30.15,60.3
1009050501,140US01009050501,0,44.16,88.32
1089010801,140US01089010801,1,23.18,46.36
1089010403,140US01089010403,1,29.35,58.7
1089011202,140US01089011202,1,12.93,25.86
1089010102,140US01089010102,0,30.5,61
1089010101,140US01089010101,0,,
1089000203,140US01089000203,1,20.25,40.5
1107050300,140US01107050300,0,45.6,91.2
1107050100,140US01107050100,0,30.7,61.4
1119011600,140US01119011600,1,28.37,56.74
1127021700,140US01127021700,4,21.2,42.4
1127021800,140US01127021800,2,21.2,42.4
1127021600,140US01127021600,1,25.64,51.28
1127020400,140US01127020400,1,7.22,14.44
1065040000,140US01065040000,2,26.88,53.76
1099076000,140US01099076000,0,79.52,159.04
1073013400,140US01073013400,12,8.34,16.68
1073013100,140US01073013100,11,7.98,15.96
1073005702,140US01073005702,12,8.81,17.62
1073010706,140US01073010706,12,4.77,9.54
1073011205,140US01073011205,11,13.18,26.36
1073011803,140US01073011803,11,6.89,13.78
1073000100,140US01073000100,12,3.98,7.96
1073001902,140US01073001902,12,2.14,4.28
1073010702,140US01073010702,13,3.02,6.04
1073004701,140US01073004701,13,2.28,4.56
1073002200,140US01073002200,12,0,0
1073002306,140US01073002306,12,3.59,7.18
1073010801,140US01073010801,13,4.69,9.38
1073012907,140US01073012907,14,11.56,23.12
1073014409,140US01073014409,14,10.09,20.18
1073012200,140US01073012200,0,31.24,62.48
1073012500,140US01073012500,12,11.95,23.9
1073012403,140US01073012403,9,14.6,29.2
1103005101,140US01103005101,1,25.76,51.52
1103005109,140US01103005109,1,26.58,53.16
1103005303,140US01103005303,1,29,58
1125012800,140US01125012800,4,5.73,11.46
1125012305,140US01125012305,4,7.64,15.28
1125010802,140US01125010802,4,6.82,13.64
1125010404,140US01125010404,5,3.28,6.56
1125012501,140US01125012501,5,8.94,17.88
1125010302,140US01125010302,4,19.78,39.56
1125010201,140US01125010201,0,57.49,114.98
1125010804,140US01125010804,4,5.5,11
1125012600,140US01125012600,5,5.94,11.88
1133965800,140US01133965800,0,59.63,119.26
1091973100,140US01091973100,0,,
1095030903,140US01095030903,0,33.85,67.7
1095030401,140US01095030401,0,50.2,100.4
1073000800,140US01073000800,13,5.26,10.52
1073003001,140US01073003001,13,4.07,8.14
1073002900,140US01073002900,13,3.03,6.06
1073005907,140US01073005907,11,5.07,10.14
1073014404,140US01073014404,14,4.4,8.8
1073010703,140US01073010703,13,4.59,9.18
1073011209,140US01073011209,11,10.34,20.68
1073013601,140US01073013601,11,6.08,12.16
1073010200,140US01073010200,11,4.33,8.66
1073005701,140US01073005701,12,7.73,15.46
1073003802,140US01073003802,12,9.07,18.14
