"GEOID","NoVehHHld","CommTransit","CommWalking","HEROP_ID"
"02347",2.21,3.46,0.11,"860US02347"
"02351",3.26,10.96,0,"860US02351"
"02356",3.44,7.05,2.47,"860US02356"
"02357",0,0,57.85,"860US02357"
"02359",3.04,3.73,1.22,"860US02359"
"02360",5.23,3.98,1.51,"860US02360"
"02364",3.77,3.01,0,"860US02364"
"02366",NA,NA,NA,"860US02366"
"02367",0.59,4.44,0.53,"860US02367"
"02368",7.88,10.04,1.07,"860US02368"
"02370",4.96,5.14,0.38,"860US02370"
"02375",2.3,3.03,0.46,"860US02375"
"02379",4.37,4.25,2.52,"860US02379"
"02382",3.57,3.62,2.79,"860US02382"
"02420",1.86,6.36,1.76,"860US02420"
"02421",4.63,10.41,3.06,"860US02421"
"02445",22.71,33.91,12.29,"860US02445"
"02446",35.15,31.33,22.31,"860US02446"
"02451",8.48,6.21,2.44,"860US02451"
"02452",4.45,4.13,10.41,"860US02452"
"02453",11.32,8.93,10.65,"860US02453"
"02457",NA,0.32,51.86,"860US02457"
"02458",7.96,11.97,2.69,"860US02458"
"02459",6.13,10.97,5.17,"860US02459"
"02460",8.24,13.62,2.78,"860US02460"
"02461",3.51,21.26,2.67,"860US02461"
"02462",16.3,10.96,4.33,"860US02462"
"02464",6.45,14.64,3.68,"860US02464"
"02465",4.19,9.74,2.74,"860US02465"
"02466",10.69,13.86,11.01,"860US02466"
"02467",6.63,12.2,22.12,"860US02467"
"02468",1.47,12.17,2.84,"860US02468"
"02472",10.32,15.85,2.68,"860US02472"
"02474",9.71,19.48,2.18,"860US02474"
"02476",11.92,19.62,2.62,"860US02476"
"02478",7.02,16.92,2.8,"860US02478"
"02481",4.8,10.97,11.39,"860US02481"
"02482",3.99,11.41,6.54,"860US02482"
"02492",4.84,11.42,3.19,"860US02492"
"02493",4.82,5.96,3.86,"860US02493"
"02494",6.89,12.09,2.2,"860US02494"
"02532",2.17,0.15,2.63,"860US02532"
"02534",0,0,0,"860US02534"
"02535",1.04,4.11,4.75,"860US02535"
"02536",4.28,2.09,1.77,"860US02536"
"02537",2.29,1.07,0,"860US02537"
"02538",4.25,0,0.89,"860US02538"
"02539",1.57,2.41,7.58,"860US02539"
"02540",12.87,3.29,5.08,"860US02540"
"02542",0,0.73,4.16,"860US02542"
"02543",0,1.22,16.46,"860US02543"
"02553",14.43,NA,NA,"860US02553"
"02554",6.43,0.39,10.24,"860US02554"
"02556",1.02,0,1.17,"860US02556"
"02557",2.39,1.28,1.12,"860US02557"
"02558",6.07,0,0,"860US02558"
"02559",7.82,1,1.42,"860US02559"
"02561",32.33,5.08,0,"860US02561"
"02562",1.44,1.94,3.94,"860US02562"
"02563",1.2,0.73,0.9,"860US02563"
"02564",5.48,9.78,11.96,"860US02564"
"02568",7.26,5.19,3.71,"860US02568"
"02571",8.5,1.82,1.38,"860US02571"
"02575",0,0,3.99,"860US02575"
