GEOID,HospTmDr,HospTmDr2,HospCntDr,HospMinDis
1938,16.9310827,33.86216539,5.08203489,8.462768926
1940,10.76369258,21.52738515,28.92593886,4.962042504
1944,10.24033824,20.48067649,3.99522483,5.657841494
1945,7.936983573,15.87396715,15.77590841,2.458819606
1949,14.52396443,29.04792886,17.41422888,7.641858396
1950,2.487337055,4.974674109,7.936615508,1.19352631
1951,5.521884577,11.04376915,7,3.178484425
1952,8.127425128,16.25485026,6.726625274,3.141772713
1960,7.462605971,14.92521194,24.14380009,3.139479535
1961,8.08,16.16,22,3.490508471
1965,8.51,17.02,4,2.702967124
1966,23.33634965,46.6726993,1.000185391,14.35833267
1969,11.43603748,22.87207497,7,6.425785291
1970,3.834910987,7.669821974,19.37361288,1.14768594
1971,5.24,10.48,16,1.503454
1982,9.538577809,19.07715562,5.492346941,4.600133528
1983,11.79806397,23.59612795,14.98484848,6.021494766
1984,5.9,11.8,6,2.511697912
1985,10.3,20.6,8,4.219050984
2018,6.14,12.28,30,2.790618251
2019,7.11442099,14.22884198,13.89882076,3.370383153
2020,21.04,42.08,2,10.44411726
2021,8.472255263,16.94451053,32.52781336,3.998760943
2025,18.56241859,37.12483718,11.42200631,8.388786826
2026,4.306904591,8.613809182,34.97749283,1.640475057
2027,7.19,14.38,34,2.171272535
2030,7.651279942,15.30255988,30.02432635,3.597825605
2032,4.582596007,9.165192014,36.00256016,2.574160733
2035,15.46535312,30.93070624,24,7.874638552
2038,13.9186298,27.8372596,14.57141806,6.671320909
2041,19.42,38.84,2,9.865657826
2043,11.30620617,22.61241235,27.20194602,4.762588434
2044,,,,
2045,19.61843291,39.23686581,10.15654587,8.251920301
2047,22.19,44.38,3,11.41382643
2048,14.4914702,28.9829404,21.94005759,6.444838963
2050,18.69371002,37.38742004,3.693595284,10.76876685
2051,15.9,31.8,4,9.859338229
2052,11.57666413,23.15332826,21.53377736,4.543336574
2053,13.04584264,26.09168527,10.4567879,5.481448433
2054,14.84488727,29.68977455,12.90631263,7.561694619
2056,14.61513531,29.23027062,16.50963412,8.504095403
2059,,,,
2060,21.86,43.72,3,10.13862759
2061,14.04780005,28.09560009,12.9296734,7.189443199
2062,2.329372194,4.658744388,34.72657308,1.025374486
2065,21.04,42.08,2,10.44411726
2066,21.41086256,42.82172512,3.250028372,10.4486137
2067,11.14754537,22.29509073,28.80236321,4.93923303
2070,,,,
2071,10.34,20.68,32,6.150812356
2072,6.540495414,13.08099083,29.09565217,3.164567906
2081,7.704637762,15.40927552,29.74413119,3.958983126
2090,2.780487954,5.560975908,34.95617716,0.886413164
2093,15.42366782,30.84733565,21.57843478,8.038409745
2108,1.922616326,3.845232652,37.13346939,0.41675448
2109,2.452656613,4.905313226,37.3070379,0.639742128
2110,1.808726143,3.617452286,37.9662672,0.64586111
2111,0.541024715,1.08204943,37.15798479,0.239617176
2112,1.06,2.12,38,0.432125824
2113,2.566110583,5.132221167,37.24073722,0.629894338
2114,1.524545883,3.049091766,37.19358894,0.287649031
2115,1.886288099,3.772576198,36.48816472,0.772452648
2116,2.046530125,4.09306025,36.74057217,0.597155109
2117,2.01,4.02,37,0.696926341
2118,1.213395776,2.426791551,37,0.371013359
2119,1.60037098,3.20074196,36.95961051,0.613141459
2120,0.772720709,1.545441418,36.79155313,0.315105224
2121,3.754380858,7.508761715,35.57306364,1.492085806
2122,3.24723876,6.494477521,34.44648764,1.49562499
2123,2.4,4.8,37,0.969457192
2124,2.611958726,5.223917452,34.29940966,0.934943875
2125,3.669015747,7.338031494,36.33369317,1.578639073
2126,3.932600778,7.865201556,33.96739022,1.266624596
2127,3.514348322,7.028696643,36.87203838,1.314156213
2128,5.745582531,11.49116506,35.58905924,2.143346954
2129,3.934142239,7.868284478,37.89594036,1.124977672
2130,1.488000772,2.976001543,36.00839444,0.470496758
2131,5.134202263,10.26840453,34.47817211,1.258199816
2132,4.364138979,8.728277959,35.99984437,1.457726632
2133,,,,
2134,1.515409406,3.030818813,36,0.527234582
2135,1.95200391,3.904007819,35.86497049,0.59074186
2136,6.264144157,12.52828831,33.43302095,2.24063739
2137,4.55,9.1,34,2.286306969
2138,1.827125545,3.65425109,35.52815755,0.603217518
2139,2.095423327,4.190846655,36.17444096,0.670941578
2140,3.737942202,7.475884404,36.39312407,1.3542049
2141,2.837510948,5.675021896,37.38335898,0.658969464
2142,3.147806452,6.295612903,37,0.86382505
2143,3.690317993,7.380635985,37.70362622,0.766572359
2144,4.885423132,9.770846264,38.04189282,1.86992227
2145,5.066884033,10.13376807,37.91222325,1.447336587
2148,5.232826726,10.46565345,34.25216991,2.300330006
2149,6.92824129,13.85648258,35.31550108,3.055675822
2150,6.687389824,13.37477965,34.24486617,2.872965903
2151,8.907868765,17.81573753,31.52044399,4.180025776
2152,10.40498959,20.80997919,29.56380765,4.522699881
2155,6.363715618,12.72743124,36.87005038,2.673348119
2163,2.59,5.18,36,0.905962009
2169,7.945455679,15.89091136,32.02756423,3.868471363
2170,5.331017612,10.66203522,33.24302838,2.592596692
2171,4.521308204,9.042616408,33.88459988,2.133126392
2176,2.11702068,4.23404136,32.32664192,0.804311779
2180,4.4083967,8.8167934,34.42568466,1.598640009
2184,8.196492058,16.39298412,31.43100227,3.311846986
2185,8.68,17.36,34,3.939696674
2186,3.029742841,6.059485682,33.34599649,1.180686676
2188,5.949274138,11.89854828,30.42962368,2.344563154
2189,6.835679081,13.67135816,29.12731908,2.8015642
2190,2.633980433,5.267960867,28.8716543,1.119995824
2191,10.97505227,21.95010455,29.70073184,5.063230609
2196,1.06,2.12,38,0.432125824
2199,2.53,5.06,37,0.810957381
2201,,,,
2203,2.04,4.08,38,0.506195837
