GEOID,HEROP_ID,TtlJlPpr,TtlJlAdmr,TtlJlPrtr,TtlJlPp,TtlJlAdm,TtlJlPrt
36029,050US36029,117.25,769.1,,715,4690,
36059,050US36059,80.66,361.09,,713,3192,
42029,050US42029,202.6,1050.79,,713,3698,
51710,050US51710,438.85,2551.57,,712.9,4145,
22063,050US22063,735.42,4509.59,,712,4366,
47165,050US47165,538.82,7168.86,,709,9433,
13095,050US13095,1351.04,9553.37,,703,4971,
53077,050US53077,442.36,6873.9,,703,10924,
21085,050US21085,4225.1,18212.46,,702,3026,
25027,050US25027,121.32,359.07,,694,2054,
36055,050US36055,139.49,857.94,,678,4170,
51550,050US51550,404.01,3756.01,,671.73,6245,
21065,050US21065,786.28,5058.35,,667,4291,
21129,050US21129,786.28,5058.35,,667,4291,
21151,050US21151,786.28,5058.35,,667,4291,
21189,050US21189,786.28,5058.35,,667,4291,
21237,050US21237,786.28,5058.35,,667,4291,
18141,050US18141,381.43,4209.45,,666,7350,
47167,050US47167,1643.1,7174.87,,660,2882,
51059,050US51059,87.4,1855.81,,659.96,14013,
22109,050US22109,988.2,3366.47,,659,2245,
25017,050US25017,59.98,271.08,,656,2965,
12113,050US12113,500.6,5331.01,,650,6922,
22105,050US22105,737.2,5970.22,,650,5264,
37051,050US37051,292.38,2607.48,,648,5779,
48441,050US48441,687.43,7095.66,,646,6668,
13185,050US13185,809.76,9164.75,,645,7300,
21227,050US21227,684.64,7385.4,,644,6947,
6097,050US06097,210.92,3858.33,,642,11744,
55009,050US55009,365.3,4182.7,,640,7328,
25005,050US25005,167.86,2110.24,,639,8033,
55059,050US55059,571.51,5478.94,,639,6126,
21125,050US21125,1580.85,14866.94,,638,6000,
12053,050US12053,522.59,4006.83,,634,4861,
1003,050US01003,419.27,12573.39,,632,18953,
25023,050US25023,182.51,973.29,,619,3301,
48047,050US48047,14670.8,364193.7,,615,15267,
53061,050US53061,109.51,3363.73,,615,18891,
47179,050US47179,678.57,7027.45,,609,6307,
22119,050US22119,2797.24,7304.15,,607,1585,
22021,050US22021,10118.75,31192.51,,605,1865,
36119,050US36119,94.02,413.24,,602,2646,
55025,050US55025,152.96,3086.38,,597,12046,
51153,050US51153,160.43,2259.08,,589.84,8306,
51683,050US51683,160.43,2259.08,,589.84,8306,
51685,050US51685,160.43,2259.08,,589.84,8306,
29510,050US29510,297.87,2933.19,,589,5800,
47113,050US47113,931.11,10243.8,,587,6458,
21047,050US21047,1263.88,11500.42,,584,5314,
36067,050US36067,193.89,2441.16,,581,7315,
21059,050US21059,903.21,7913.58,,579,5073,
13139,050US13139,419.78,6253.9,,578,8611,
18163,050US18163,498.3,7786.76,,573,8954,
8123,050US08123,246.17,5312.91,,570,12302,
22027,050US22027,6623.98,14086.15,,569,1210,
51760,050US51760,349.28,6343.2,,567.54,10307,
13057,050US13057,306.14,3982.51,,567,7376,
12015,050US12015,555.05,5269.97,,562,5336,
48255,050US48255,5453.66,12829.27,,559,1315,
13297,050US13297,835.48,671.99,,557,448,
54011,050US54011,379.73,2832.23,,554,4132,
54043,050US54043,379.73,2832.23,,554,4132,
54053,050US54053,379.73,2832.23,,554,4132,
54079,050US54079,379.73,2832.23,,554,4132,
54099,050US54099,379.73,2832.23,,554,4132,
13115,050US13115,854.85,8477.1,,551,5464,
18157,050US18157,411.22,4335.33,,551,5809,
55101,050US55101,440.71,5655.06,,547,7019,
54019,050US54019,362.54,3599.91,,540,5362,
54025,050US54025,362.54,3599.91,,540,5362,
54055,050US54055,362.54,3599.91,,540,5362,
54063,050US54063,362.54,3599.91,,540,5362,
54081,050US54081,362.54,3599.91,,540,5362,
54089,050US54089,362.54,3599.91,,540,5362,
54109,050US54109,362.54,3599.91,,540,5362,
12055,050US12055,1015.1,5826.96,,539,3094,
24003,050US24003,138.4,997.19,,537,3869,
48375,050US48375,723.42,6429.67,,535,4755,
51700,050US51700,436.87,5689.34,,534.44,6960,
22075,050US22075,3626.73,9582.99,,534,1411,
48139,050US48139,383.41,3594.99,,534,5007,
13153,050US13153,479.28,6440.18,,533,7162,
48491,050US48491,117.71,2231.01,,533,10102,
13015,050US13015,706.6,7464.27,,527,5567,
21093,050US21093,714.42,8145.27,,516,5883,
21117,050US21117,465.17,7019.09,,516,7786,
12085,050US12085,578.03,6195.49,,511,5477,
55133,050US55133,198.5,2563.46,,511,6599,
5045,050US05045,588.18,4399.78,,508,3800,
17097,050US17097,109.22,1581.38,,508,7355,
48183,050US48183,641.57,6874.69,,506,5422,
8069,050US08069,202.79,5087.84,,505,12670,
6095,050US06095,173.87,3360.25,,503,9721,
54035,050US54035,397.83,4619.6,,500,5806,
54039,050US54039,397.83,4619.6,,500,5806,
22005,050US22005,582.94,3939.85,,497,3359,
13285,050US13285,1099.9,12209.78,,496,5506,
37071,050US37071,324.62,6965.93,,495,10622,
12119,050US12119,926.62,6753.8,,492,3586,
13035,050US13035,2684.86,8901.85,,488,1618,
21145,050US21145,1180.83,14670.8,,488,6063,
37129,050US37129,311.31,4699.07,,486,7336,
47189,050US47189,470.7,6000.7,,485,6183,
21101,050US21101,1758.35,12927.3,,483,3551,
47011,050US47011,666.43,8291.28,,478,5947,
6007,050US06007,351.95,6203.59,,474,8355,
8101,050US08101,441.65,5896.56,,470,6275,
13045,050US13045,566.78,8179.68,,470,6783,
13217,050US13217,602.04,4973.87,,470,3883,
48451,050US48451,621.82,7578.32,,470,5728,
21075,050US21075,12060.95,47908.06,,467,1855,
48291,050US48291,722.87,7431.43,,467,4801,
51157,050US51157,796.44,8116.47,,463.35,4722,
51171,050US51171,796.44,8116.47,,463.35,4722,
51187,050US51187,796.44,8116.47,,463.35,4722,
21015,050US21015,513.99,6945.03,,461,6229,
54003,050US54003,339.56,3229.21,,457,4346,
54037,050US54037,339.56,3229.21,,457,4346,
54065,050US54065,339.56,3229.21,,457,4346,
36001,050US36001,215.15,1090.4,,455,2306,
48187,050US48187,379.19,3298.5,,455,3958,
12003,050US12003,2518.67,22740.44,,452,4081,
13127,050US13127,867.32,10263.89,,446,5278,
48329,050US48329,399.19,9263.79,,445,10327,
12061,050US12061,501.95,6783.11,,444,6000,
6079,050US06079,245.75,4440.19,,442,7986,
47125,050US47125,277.07,5517.46,,440,8762,
13275,050US13275,1564.84,9809.65,,439,2752,
48213,050US48213,866.7,6763.8,,439,3426,
18019,050US18019,540.49,3754.96,,437,3036,
6039,050US06039,428.08,4655.66,,434,4720,
8013,050US08013,190.29,2204.18,,434,5027,
51025,050US51025,939.68,7213.76,,432.6,3321,
51053,050US51053,939.68,7213.76,,432.6,3321,
51117,050US51117,939.68,7213.76,,432.6,3321,
13059,050US13059,451.18,7858.05,,432,7524,
48485,050US48485,504.77,5957.96,,432,5099,
13255,050US13255,1006.33,11912.49,,431,5102,
37155,050US37155,587.47,8914.33,,431,6540,
13313,050US13313,638.54,8170.1,,429,5489,
45041,050US45041,499.98,5791.17,,429,4969,
45061,050US45061,568.16,5055.16,,429,3817,
45085,050US45085,568.16,5055.16,,429,3817,
12109,050US12109,226.05,3320.31,,427,6272,
12019,050US12019,291.14,2704.33,,426,3957,
13117,050US13117,238.86,3350.77,,426,5976,
47147,050US47147,855.66,7776.11,,421,3826,
6089,050US06089,379.06,7189.39,,416,7890,
13299,050US13299,1886.79,10629.69,,415,2338,
18035,050US18035,546.59,3699.7,,415,2809,
6047,050US06047,218.89,2512.98,,412,4730,
48091,050US48091,346.04,4643.47,,406,5448,
12087,050US12087,789.1,9391.32,,405,4820,
36063,050US36063,305.02,3494.53,,405,4640,
48257,050US48257,356.42,3781.18,,404,4286,
4027,050US04027,328.76,5126.11,,402,6268,
54001,050US54001,487.33,3496.38,,401,2877,
54075,050US54075,487.33,3496.38,,401,2877,
54077,050US54077,487.33,3496.38,,401,2877,
54083,050US54083,487.33,3496.38,,401,2877,
54091,050US54091,487.33,3496.38,,401,2877,
54093,050US54093,487.33,3496.38,,401,2877,
54097,050US54097,487.33,3496.38,,401,2877,
37021,050US37021,227.3,4487.27,,399,7877,
13077,050US13077,392.08,6379.6,,398,6476,
8035,050US08035,156.28,2402.13,,397,6102,
22067,050US22067,2662.18,6984.87,,396,1039,
