HEROP_ID,HivMinDis
140US01077011401,30.85529404
140US01055010503,7.281287444
140US01093964702,34.52010027
140US01077011503,31.47650946
140US01093964401,32.60513428
140US01101005903,13.36342398
140US01101005414,9.312351306
140US01101005413,9.3180912
140US01101002902,1.8588833
140US01101005904,6.290100759
140US01071950601,41.14866428
140US01011952201,19.71244673
140US01031011203,19.94403768
140US01113030903,8.944665545
140US01113030905,14.13913108
140US01113030904,12.9852537
140US01047956102,27.35519689
140US01017954002,17.35931675
140US01015002504,9.535738933
140US01071951102,32.17560606
140US01071950102,30.09114987
140US01095030803,16.42280845
140US01015002001,10.79706879
140US01095030204,31.754985
140US01091973001,21.43979075
140US01123962302,7.353167738
140US01081040501,4.391969342
140US01081041101,1.612394034
140US01081041701,3.170910885
140US01081040502,9.498261506
140US01081042104,9.053522288
140US01081041903,13.03995262
140US01081041103,1.964422279
140US01081040403,5.796312992
140US01081040903,4.782569635
140US01043964902,27.07603906
140US01043964201,28.62227606
140US01043964202,31.31888833
140US01021060702,5.855174837
140US01089010302,21.94065357
140US01089002922,16.13507141
140US01021060403,13.46977605
140US01119011301,24.85757354
140US01007010010,23.37451969
140US01115040504,13.75958842
140US01003010709,15.02455465
140US01003011104,16.55647219
140US01003010707,10.96569754
140US01003011412,32.16830828
140US01003010908,22.26401535
140US01003010907,19.8503347
140US01003011410,26.82484833
140US01003011418,29.90724121
140US01003011419,30.1586241
140US01003010708,15.77010136
140US01003011414,23.42175619
140US01105687001,30.46699826
140US01083020404,21.52396357
140US01083021202,4.69837501
140US01083020104,14.84418566
140US01115040110,10.66259943
140US01115040207,20.37561687
140US01007010011,19.65489893
140US01007010008,18.34968484
140US01115040301,21.70542749
140US01115040507,18.79022657
140US01115040109,14.60938888
140US01121010201,15.84598704
140US01043965600,18.08712619
140US01043965402,13.70840494
140US01043965200,23.05698353
140US01059972900,49.30084371
140US01123962600,17.13953992
140US01047957100,35.66758456
140US01049960900,23.87554195
140US01003011202,14.06309007
140US01121010202,15.76526951
140US01053970600,43.62411952
140US01055001100,3.29806885
140US01055011200,2.06138975
140US01055011002,9.256218559
140US01055011100,11.16472153
140US01077011801,22.77780952
140US01035960200,38.50005737
140US01039962400,12.70231376
140US01127021200,11.36951197
140US01129044200,22.94057132
140US01095030402,28.86674701
140US01095030702,24.5858755
140US01073012001,4.895517277
140US01073003600,4.3569941
140US01073001600,1.780205209
140US01073013801,1.933532704
140US01073004000,2.099617243
140US01073004702,0.805434761
140US01073010804,3.528629578
140US01073011500,9.532299914
140US01103000600,15.07259418
140US01125010406,3.192370319
140US01125012503,4.807953581
140US01091973200,31.45179428
140US01075030000,22.6683467
140US01107050200,7.468215346
140US01127021900,8.481108611
140US01127020600,3.75733917
140US01015001400,4.091347077
140US01015002101,11.9378559
140US01013952700,23.87228292
140US01079979600,25.35591363
140US01051030600,18.78385534
140US01015981903,5.02294168
140US01043965502,15.67864638
140US01055010401,3.049371582
140US01087232000,1.760912967
140US01117030211,5.536892188
140US01117030502,8.979422077
140US01117030103,10.99283399
140US01117030405,10.7224961
140US01069040100,3.311575747
140US01003011504,29.25588774
140US01005950400,24.27006158
140US01003011201,13.64101105
140US01003011103,16.5337902
140US01097006600,11.87806073
140US01097006104,14.97231215
140US01073014405,3.815084628
140US01073014410,6.893000995
140US01083020806,8.612093463
140US01097001002,3.749120215
140US01097002400,2.700208261
140US01097005500,11.11483651
140US01097006403,6.521866241
140US01097003704,2.148543337
140US01117030336,6.540128802
140US01101005609,5.030627717
140US01101005504,15.55573077
140US01097007201,12.0075523
140US01115040108,7.45805233
140US01115040107,9.313644395
140US01107050401,22.50832734
140US01131034801,41.33896825
140US01133965601,16.8269317
140US01125012306,0.673802252
140US01071950602,43.79801779
140US01095030102,27.5927394
140US01109189001,3.566830265
140US01095030206,32.17564248
140US01095030301,25.26654851
140US01095030501,31.80449578
140US01081042103,14.0775508
140US01081040401,6.958879473
140US01081040606,7.438415431
140US01007010006,16.40842459
140US01103005601,26.02998148
140US01103005302,21.86211874
140US01065040401,14.59547685
140US01075030102,27.52974204
140US01045020000,14.89774293
140US01097005702,20.61176534
140US01097006504,12.8724881
140US01097003712,1.421399445
140US01097006903,5.418741165
140US01111000600,17.23192662
140US01051030402,15.7233135
140US01127020301,0.738185657
140US01121010301,18.34769013
140US01089011012,3.372979069
140US01015002503,8.3991781
140US01015001802,6.381160962
140US01059973703,41.87958419
140US01093964002,36.19107363
140US01093964402,24.25593894
140US01031011300,17.17422888
140US01013953400,29.47162
140US01041963800,11.43599001
140US01005950800,39.96095953
140US01045021102,10.65300685
140US01045020100,22.84981377
140US01115040105,12.03873287
140US01015001000,2.76325901
140US01015000700,3.233423999
140US01015002200,20.15500544
140US01069040802,5.203612958
140US01055010900,5.221006647
140US01109189102,3.925971316
140US01015981901,8.181448184
140US01069041200,0.56679878
140US01029959500,18.2098224
140US01017954300,12.06219032
140US01067030100,25.87627647
140US01069042000,11.70070421
140US01073011600,10.24053497
140US01073012704,5.247946246
140US01073010701,0.843588187
140US01073014406,5.086279256
140US01125012504,5.85355337
