GEOID,HEROP_ID,SmokeP
18115,050US18115,0.175
18117,050US18117,0.206
18119,050US18119,0.222
18121,050US18121,0.209
18123,050US18123,0.193
18125,050US18125,0.212
18127,050US18127,0.166
18129,050US18129,0.154
18131,050US18131,0.217
18133,050US18133,0.188
18135,050US18135,0.216
18137,050US18137,0.193
18139,050US18139,0.193
18141,050US18141,0.167
18143,050US18143,0.232
18145,050US18145,0.209
18147,050US18147,0.18
18149,050US18149,0.196
18151,050US18151,0.142
18153,050US18153,0.211
18155,050US18155,0.213
18157,050US18157,0.175
18159,050US18159,0.162
18161,050US18161,0.203
18163,050US18163,0.169
18165,050US18165,0.218
18167,050US18167,0.212
18169,050US18169,0.19
18171,050US18171,0.205
18173,050US18173,0.143
18175,050US18175,0.205
18177,050US18177,0.229
18179,050US18179,0.203
18181,050US18181,0.201
18183,050US18183,0.182
19001,050US19001,0.166
19003,050US19003,0.178
19005,050US19005,0.173
19007,050US19007,0.196
19009,050US19009,0.2
19011,050US19011,0.166
19013,050US19013,0.2
19015,050US19015,0.155
19017,050US19017,0.162
19019,050US19019,0.155
19021,050US19021,0.159
19023,050US19023,0.157
19025,050US19025,0.161
19027,050US19027,0.178
19029,050US19029,0.203
19031,050US19031,0.157
19033,050US19033,0.167
19035,050US19035,0.175
19037,050US19037,0.161
19039,050US19039,0.206
19041,050US19041,0.175
19043,050US19043,0.169
19045,050US19045,0.18
19047,050US19047,0.18
19049,050US19049,0.109
19051,050US19051,0.189
19053,050US19053,0.183
19055,050US19055,0.159
19057,050US19057,0.165
19059,050US19059,0.176
19061,050US19061,0.192
19063,050US19063,0.172
19065,050US19065,0.202
19067,050US19067,0.172
19069,050US19069,0.188
19071,050US19071,0.154
19073,050US19073,0.175
19075,050US19075,0.158
19077,050US19077,0.164
19079,050US19079,0.154
19081,050US19081,0.175
19083,050US19083,0.194
19085,050US19085,0.205
19087,050US19087,0.204
19089,050US19089,0.169
19091,050US19091,0.177
19093,050US19093,0.161
19095,050US19095,0.154
19097,050US19097,0.181
19099,050US19099,0.163
19101,050US19101,0.172
19103,050US19103,0.128
19105,050US19105,0.169
19107,050US19107,0.182
19109,050US19109,0.167
19111,050US19111,0.178
19113,050US19113,0.141
19115,050US19115,0.19
19117,050US19117,0.197
19119,050US19119,0.157
19121,050US19121,0.13
19123,050US19123,0.154
19125,050US19125,0.131
19127,050US19127,0.172
19129,050US19129,0.182
19131,050US19131,0.197
19133,050US19133,0.196
19135,050US19135,0.172
19137,050US19137,0.192
19139,050US19139,0.165
19141,050US19141,0.175
19143,050US19143,0.183
19145,050US19145,0.192
19147,050US19147,0.161
19149,050US19149,0.169
19151,050US19151,0.15
19153,050US19153,0.177
19155,050US19155,0.184
19157,050US19157,0.179
19159,050US19159,0.172
19161,050US19161,0.161
19163,050US19163,0.143
19165,050US19165,0.166
19167,050US19167,0.158
19169,050US19169,0.133
19171,050US19171,0.188
19173,050US19173,0.178
19175,050US19175,0.187
19177,050US19177,0.2
19179,050US19179,0.209
19181,050US19181,0.169
19183,050US19183,0.151
19185,050US19185,0.226
19187,050US19187,0.149
19189,050US19189,0.131
19191,050US19191,0.133
19193,050US19193,0.175
19195,050US19195,0.147
19197,050US19197,0.18
20001,050US20001,0.201
20003,050US20003,0.196
20005,050US20005,0.184
20007,050US20007,0.191
20009,050US20009,0.165
20011,050US20011,0.21
20013,050US20013,0.167
20015,050US20015,0.156
20017,050US20017,0.165
20019,050US20019,0.198
20021,050US20021,0.188
20023,050US20023,0.181
20025,050US20025,0.148
20027,050US20027,0.198
20029,050US20029,0.175
20031,050US20031,0.213
20033,050US20033,0.161
20035,050US20035,0.176
20037,050US20037,0.169
20039,050US20039,0.185
20041,050US20041,0.164
20043,050US20043,0.194
20045,050US20045,0.166
20047,050US20047,0.16
20049,050US20049,0.212
20051,050US20051,0.139
20053,050US20053,0.188
20055,050US20055,0.175
20057,050US20057,0.177
20059,050US20059,0.157
20061,050US20061,0.183
20063,050US20063,0.168
20065,050US20065,0.137
20067,050US20067,0.157
20069,050US20069,0.169
20071,050US20071,0.131
20073,050US20073,0.182
20075,050US20075,0.163
20077,050US20077,0.232
20079,050US20079,0.152
20081,050US20081,0.183
20083,050US20083,0.155
20085,050US20085,0.165
20087,050US20087,0.152
20089,050US20089,0.186
20091,050US20091,0.096
20093,050US20093,0.188
20095,050US20095,0.178
20097,050US20097,0.152
20099,050US20099,0.204
20101,050US20101,0.161
20103,050US20103,0.149
20105,050US20105,0.164
20107,050US20107,0.174
20109,050US20109,0.169
20111,050US20111,0.17
20113,050US20113,0.151
20115,050US20115,0.142
20117,050US20117,0.175
20119,050US20119,0.171
20121,050US20121,0.134
20123,050US20123,0.19
20125,050US20125,0.21
20127,050US20127,0.189
20129,050US20129,0.176
20131,050US20131,0.18
20133,050US20133,0.191
20135,050US20135,0.185
20137,050US20137,0.181
20139,050US20139,0.179
20141,050US20141,0.166
20143,050US20143,0.19
20145,050US20145,0.158
20147,050US20147,0.192
20149,050US20149,0.127
20151,050US20151,0.178
20153,050US20153,0.17
20155,050US20155,0.188
20157,050US20157,0.153
20159,050US20159,0.16
20161,050US20161,0.172
20163,050US20163,0.156
20165,050US20165,0.179
20167,050US20167,0.17
20169,050US20169,0.172
20171,050US20171,0.201
20173,050US20173,0.173
20175,050US20175,0.167
20177,050US20177,0.164
20179,050US20179,0.141
20181,050US20181,0.186
20183,050US20183,0.158
20185,050US20185,0.181
20187,050US20187,0.174
20189,050US20189,0.177
20191,050US20191,0.19
20193,050US20193,0.143
20195,050US20195,0.162
20197,050US20197,0.163
20199,050US20199,0.163
20201,050US20201,0.172
20203,050US20203,0.159
20205,050US20205,0.183
20207,050US20207,0.196
20209,050US20209,0.194
21001,050US21001,0.199
21003,050US21003,0.207
21005,050US21005,0.206
21007,050US21007,0.223
21009,050US21009,0.189
21011,050US21011,0.202
21013,050US21013,0.254
21015,050US21015,0.173
21017,050US21017,0.194
21019,050US21019,0.197
21021,050US21021,0.182
21023,050US21023,0.194
21025,050US21025,0.244
21027,050US21027,0.272
21029,050US21029,0.196
21031,050US21031,0.22
21033,050US21033,0.207
21035,050US21035,0.163
21037,050US21037,0.149
21039,050US21039,0.224
21041,050US21041,0.222
21043,050US21043,0.215
21045,050US21045,0.257
21047,050US21047,0.213
21049,050US21049,0.196
21051,050US21051,0.274
21053,050US21053,0.231
21055,050US21055,0.206
21057,050US21057,0.231
21059,050US21059,0.192
21061,050US21061,0.232
21063,050US21063,0.23
21065,050US21065,0.251
21067,050US21067,0.164
21069,050US21069,0.242
21071,050US21071,0.231
21073,050US21073,0.159
21075,050US21075,0.273
21077,050US21077,0.204
21079,050US21079,0.206
21081,050US21081,0.218
21083,050US21083,0.207
21085,050US21085,0.212
21087,050US21087,0.259
21089,050US21089,0.199
21091,050US21091,0.189
21093,050US21093,0.174
21095,050US21095,0.278
21097,050US21097,0.206
21099,050US21099,0.24
21101,050US21101,0.172
21103,050US21103,0.207
21105,050US21105,0.202
21107,050US21107,0.218
21109,050US21109,0.28
21111,050US21111,0.17
21113,050US21113,0.148
21115,050US21115,0.269
21117,050US21117,0.156
21119,050US21119,0.256
21121,050US21121,0.228
21123,050US21123,0.246
21125,050US21125,0.213
21127,050US21127,0.221
21129,050US21129,0.29
21131,050US21131,0.233
21133,050US21133,0.212
21135,050US21135,0.263
21137,050US21137,0.205
21139,050US21139,0.194
21141,050US21141,0.178
21143,050US21143,0.184
21145,050US21145,0.197
21147,050US21147,0.252
21149,050US21149,0.199
21151,050US21151,0.177
21153,050US21153,0.285
21155,050US21155,0.226
21157,050US21157,0.19
21159,050US21159,0.295
21161,050US21161,0.225
21163,050US21163,0.193
21165,050US21165,0.254
21167,050US21167,0.171
21169,050US21169,0.246
21171,050US21171,0.222
21173,050US21173,0.217
21175,050US21175,0.241
21177,050US21177,0.218
21179,050US21179,0.16
21181,050US21181,0.215
21183,050US21183,0.219
21185,050US21185,0.126
21187,050US21187,0.213
21189,050US21189,0.256
21191,050US21191,0.211
21193,050US21193,0.224
21195,050US21195,0.255
21197,050US21197,0.212
21199,050US21199,0.234
21201,050US21201,0.244
21203,050US21203,0.26
21205,050US21205,0.208
21207,050US21207,0.256
21209,050US21209,0.158
21211,050US21211,0.157
21213,050US21213,0.19
21215,050US21215,0.191
21217,050US21217,0.205
21219,050US21219,0.232
21221,050US21221,0.196
21223,050US21223,0.197
21225,050US21225,0.237
21227,050US21227,0.153
21229,050US21229,0.179
21231,050US21231,0.259
21233,050US21233,0.229
21235,050US21235,0.22
21237,050US21237,0.31
21239,050US21239,0.12
22001,050US22001,0.208
22003,050US22003,0.212
22005,050US22005,0.164
22007,050US22007,0.235
22009,050US22009,0.249
22011,050US22011,0.213
22013,050US22013,0.268
22015,050US22015,0.182
22017,050US22017,0.205
22019,050US22019,0.188
22021,050US22021,0.24
22023,050US22023,0.201
22025,050US22025,0.206
22027,050US22027,0.278
22029,050US22029,0.243
22031,050US22031,0.202
22033,050US22033,0.166
22035,050US22035,0.284
22037,050US22037,0.195
22039,050US22039,0.258
22041,050US22041,0.245
22043,050US22043,0.232
22045,050US22045,0.222
22047,050US22047,0.221
22049,050US22049,0.236
22051,050US22051,0.173
22053,050US22053,0.196
22055,050US22055,0.175
22057,050US22057,0.219
22059,050US22059,0.217
22061,050US22061,0.206
22063,050US22063,0.181
22065,050US22065,0.258
22067,050US22067,0.259
22069,050US22069,0.222
22071,050US22071,0.175
22073,050US22073,0.189
22075,050US22075,0.2
22077,050US22077,0.222
