HEROP_ID,ZIP,MhTmDr,MhTmDr2,MhCntDr,MhMinDis
860US95323,95323,29.74,59.48,1.0,14.7169054
860US95324,95324,23.718580047987157,47.43716009597431,4.0,14.258244388337989
860US95325,95325,0.0,0.0,1.0,7.952825009
860US95326,95326,13.47040832431,26.94081664862,3.574793875,6.715924799344638
860US95327,95327,13.318646709850002,26.637293419700004,2.0,4.896250609229341
860US95328,95328,12.1,24.2,4.0,5.404401725
860US95329,95329,25.15268366842,50.30536733684,1.3952641159999999,12.931473515517359
860US95330,95330,14.26682018415,28.5336403683,5.334922263999999,5.573815354165259
860US95333,95333,21.80962138232,43.61924276464,0.762806236,7.876468743735423
860US95334,95334,28.02012278134,56.04024556268,2.1626369480000003,6.083080780051019
860US95335,95335,38.09,76.18,0.0,24.0119874
860US95336,95336,15.33811213117,30.67622426234,5.997853529,6.213976980034955
860US95337,95337,16.65901026806,33.31802053612,6.0,8.424299990714958
860US95338,95338,17.780895686479997,35.561791372959995,0.706303524,9.040680033690704
860US95340,95340,22.01707965289416,44.03415930578832,0.9743108679486217,2.4911658187866537
860US95341,95341,20.13718607042,40.27437214084,0.93675527,2.277273507386493
860US95343,95343,,,,
860US95344,95344,19.03,38.06,1.0,0.493699055
860US95345,95345,10.547986576199998,21.095973152399996,0.711409396,8.889995729738324
860US95346,95346,15.16103671049,30.32207342098,1.974082074,7.4802539182805825
860US95347,95347,,,,
860US95348,95348,23.85395972912396,47.70791945824792,0.9703998859704,2.5999106190047856
860US95350,95350,2.1731431540431427,4.3462863080862855,4.588143155588143,0.9445188427906482
860US95351,95351,6.13256048551,12.26512097102,4.00472441,2.1645575818430487
860US95352,95352,0.0,0.0,5.0,0.632908144
860US95353,95353,0.0,0.0,5.0,0.632908144
860US95354,95354,4.410193249759806,8.820386499519612,4.0,1.056107788934228
860US95355,95355,3.1708034646608034,6.341606929321607,4.0,1.2576225271473367
860US95356,95356,5.88274144401,11.76548288802,5.332059901,2.3783501052603215
860US95357,95357,5.2646785530599995,10.529357106119999,4.0,2.276254952847624
860US95358,95358,7.511831844876337,15.023663689752674,4.167127071665746,3.40856353228762
860US95360,95360,35.59999217032001,71.19998434064001,0.0,23.04822187563562
860US95361,95361,18.69478294209,37.38956588418,3.270170647,8.93247875325916
860US95363,95363,25.39637213235,50.7927442647,3.07539796,14.812899128469432
860US95364,95364,38.09,76.18,0.0,24.0119874
860US95365,95365,35.83,71.66,0.0,9.30047256
860US95366,95366,12.032990857,24.065981714,6.0,8.265122862823771
860US95367,95367,8.751904552071904,17.50380910414381,4.0,4.36356608119488
860US95368,95368,7.848950210261049,15.697900420522098,5.617676464382322,3.880487186362197
860US95369,95369,36.7901860536,73.5803721072,0.232558141,11.7183033890454
860US95370,95370,9.446481716800001,18.892963433600002,1.911251768,3.6474083566575772
860US95372,95372,1.60029036336,3.20058072672,1.098722416,7.591838197585209
860US95373,95373,,,,
860US95374,95374,36.65593938891406,73.31187877782811,0.0,14.748575509199455
860US95375,95375,,,,
