"HEROP_ID","GEOID","OtpCtTmDr","OtpCtTmDr2","OtpTmDrP","OtpTmDrP2","OtpAvTmDr","OtpAvTmDr2"
"050US06093","06093",0,0,0,0,68.11,136.22
"050US06095","06095",99,85,99,85,9.19,18.37
"050US06097","06097",112,70,92.56,57.85,15.13,30.26
"050US06099","06099",105,93,93.75,83.04,10.77,21.55
"050US06101","06101",20,15,95.24,71.43,10.59,21.17
"050US06103","06103",7,0,50,0,36.65,73.3
"050US06105","06105",0,0,0,0,67.37,134.74
"050US06107","06107",99,80,96.12,77.67,10.61,21.22
"050US06109","06109",0,0,0,0,63.62,127.23
"050US06111","06111",186,163,98.41,86.24,8.62,17.24
"050US06113","06113",50,24,94.34,45.28,16.05,32.09
"050US06115","06115",17,13,89.47,68.42,14.48,28.96
"050US08001","08001",105,103,98.13,96.26,6.02,12.05
"050US08003","08003",5,4,100,80,9.51,19.02
"050US08005","08005",160,155,99.38,96.27,5.55,11.1
"050US08007","08007",0,0,0,0,NA,NA
"050US08009","08009",0,0,0,0,48.34,96.69
"050US08011","08011",0,0,0,0,43.03,86.05
"050US08013","08013",75,70,96.15,89.74,9.58,19.17
"050US08014","08014",24,24,100,100,9.79,19.58
"050US08015","08015",0,0,0,0,NA,NA
"050US08017","08017",0,0,0,0,70,140
"050US08019","08019",2,0,50,0,34.91,69.83
"050US08021","08021",0,0,0,0,42.48,84.96
"050US08023","08023",0,0,0,0,53.11,106.22
"050US08025","08025",0,0,0,0,62.56,125.12
"050US08027","08027",0,0,0,0,63.78,127.57
"050US08029","08029",2,0,22.22,0,47.76,95.52
"050US08031","08031",178,177,100,99.44,3.56,7.12
"050US08033","08033",0,0,0,0,NA,NA
"050US08035","08035",70,44,97.22,61.11,14.39,28.79
"050US08037","08037",1,0,6.25,0,53.11,106.23
"050US08039","08039",1,0,14.29,0,43.24,86.49
"050US08041","08041",162,142,97.01,85.03,9.6,19.21
"050US08043","08043",0,0,0,0,43.02,86.03
"050US08045","08045",8,2,66.67,16.67,27.5,55.01
"050US08047","08047",0,0,0,0,44.42,88.85
"050US08049","08049",0,0,0,0,75.8,151.59
"050US08051","08051",0,0,0,0,80.25,160.5
"050US08053","08053",0,0,0,0,NA,NA
"050US08055","08055",0,0,0,0,58.43,116.85
"050US08057","08057",0,0,0,0,NA,NA
"050US08059","08059",143,131,97.95,89.73,8.45,16.91
"050US08061","08061",0,0,0,0,31.75,63.5
