GEOID,HEROP_ID,TtlPrPpr,TtlPrAPpr,TtlPrPp,TtlPrAPp
16063,050US16063,,,,
16065,050US16065,,,,
16067,050US16067,,,,
16069,050US16069,,,,
16071,050US16071,,,,
16073,050US16073,,,,
16075,050US16075,,,,
16077,050US16077,,,,
16079,050US16079,,,,
16081,050US16081,,,,
16083,050US16083,,,,
16085,050US16085,,,,
16087,050US16087,,,,
17001,050US17001,859.71,449.62,348,182
17003,050US17003,,,,
17005,050US17005,689.17,353.42,78,40
17007,050US17007,688.76,467.79,240,163
17009,050US17009,,,,
17011,050US17011,485.32,279.43,99,57
17013,050US17013,627.54,442.97,17,12
17015,050US17015,301.61,228.81,29,22
17017,050US17017,,,,
17019,050US17019,559.39,213,822,313
17021,050US17021,659.62,411.13,146,91
17023,050US17023,691.93,371.79,67,36
17025,050US17025,1272.39,951.2,103,77
17027,050US17027,449.7,266.49,108,64
17029,050US17029,880.18,405.76,282,130
17031,050US17031,485.39,240.92,17258,8566
17033,050US17033,566.05,407.89,68,49
17035,050US17035,446.84,400.62,29,26
17039,050US17039,712.85,421.69,71,42
17037,050US17037,272.48,129.82,191,91
17041,050US17041,659.2,461.44,80,56
17043,050US17043,155.4,74.85,955,460
17045,050US17045,765.84,516.94,80,54
17047,050US17047,1194.58,451.29,45,17
17049,050US17049,420.91,235.89,91,51
17051,050US17051,694.89,482.17,98,68
17053,050US17053,435.35,164.73,37,14
17055,050US17055,946.72,513.69,223,121
17057,050US17057,343.08,166.91,74,36
17059,050US17059,736.28,301.2,22,9
17061,050US17061,459.86,354.75,35,27
17063,050US17063,224.4,163.2,77,56
17065,050US17065,939.16,306.25,46,15
17067,050US17067,677.01,535.97,72,57
17069,050US17069,729.26,,16,
17071,050US17071,568.04,232.38,22,9
17073,050US17073,698.52,406.65,213,124
17075,050US17075,425.2,251.53,71,42
17077,050US17077,565.99,242.18,208,89
17079,050US17079,224.84,121.07,13,7
17081,050US17081,1329.99,695.22,308,161
17083,050US17083,960.5,527.19,133,73
17085,050US17085,275.06,161.8,34,20
17087,050US17087,305.67,147.18,27,13
17089,050US17089,324.05,136.32,1103,464
17091,050US17091,511.75,224.25,356,156
17093,050US17093,178.52,82.93,155,72
17095,050US17095,518.95,269.08,162,84
17099,050US17099,540.46,241.15,381,170
17097,050US17097,214.18,120.91,1015,573
17101,050US17101,760.68,614.39,78,63
17103,050US17103,501.09,291.55,110,64
17105,050US17105,870.6,406.58,197,92
17107,050US17107,912.82,366.22,167,67
17115,050US17115,1295.49,661.73,834,426
17117,050US17117,285.13,179.53,81,51
17119,050US17119,588.54,338.79,1018,586
17121,050US17121,800.24,540.7,185,125
