"HEROP_ID","GEOID","TotTracts","HospCtTmDr","HospCtTmDr2","HospTmDrP","HospTmDrP2","HospAvTmDr","HospAvTmDr2"
"050US55025","55025",125,125,110,100,88,9.1,18.2
"050US55027","55027",20,18,12,90,60,12.28,24.57
"050US55029","55029",9,7,4,77.78,44.44,19.43,38.86
"050US55031","55031",14,11,9,78.57,64.29,15.9,31.79
"050US55033","55033",9,9,4,100,44.44,14.69,29.37
"050US55035","55035",22,21,19,95.45,86.36,7.67,15.33
"050US55037","55037",3,1,0,33.33,0,30.56,61.11
"050US55039","55039",23,23,18,100,78.26,8.09,16.17
"050US55041","55041",4,0,0,0,0,47.16,94.32
"050US55043","55043",12,12,8,100,66.67,11.02,22.05
"050US55045","55045",8,8,5,100,62.5,10.42,20.84
"050US55047","55047",6,5,3,83.33,50,18.75,37.5
"050US55049","55049",6,6,2,100,33.33,15.07,30.14
"050US55051","55051",3,1,0,33.33,0,35.67,71.35
"050US55053","55053",5,5,1,100,20,15.34,30.68
"050US55055","55055",21,21,15,100,71.43,10.83,21.66
"050US55057","55057",8,7,2,87.5,25,18.71,37.43
"050US55059","55059",42,42,35,100,83.33,7.32,14.63
"050US55061","55061",5,5,0,100,0,26.61,53.22
"050US55063","55063",28,28,19,100,67.86,10.43,20.86
"050US55065","55065",5,5,2,100,40,16.88,33.76
"050US55067","55067",7,4,2,57.14,28.57,19.6,39.2
"050US55069","55069",10,9,2,90,20,19.32,38.64
"050US55071","55071",19,19,14,100,73.68,9.31,18.63
"050US55073","55073",32,32,23,100,71.88,10.58,21.16
"050US55075","55075",12,8,5,66.67,41.67,23.54,47.07
"050US55077","55077",5,1,1,20,20,34.49,68.98
"050US55078","55078",3,2,0,66.67,0,33.1,66.21
"050US55079","55079",301,301,300,100,99.67,4.4,8.81
"050US55081","55081",9,9,5,100,55.56,11.81,23.62
"050US55083","55083",11,9,5,81.82,45.45,20.44,40.88
"050US55085","55085",16,13,8,81.25,50,19.59,39.17
"050US55087","55087",47,47,42,100,89.36,7.46,14.92
"050US55089","55089",21,21,19,100,90.48,8.68,17.36
"050US55091","55091",2,1,1,50,50,15.73,31.46
"050US55093","55093",8,7,2,87.5,25,20.35,40.69
"050US55095","55095",14,12,4,85.71,28.57,16,32
"050US55097","55097",15,15,12,100,80,8.92,17.85
"050US55099","55099",6,2,1,33.33,16.67,33.06,66.13
"050US55101","55101",46,46,40,100,86.96,7.7,15.41
"050US55103","55103",5,5,4,100,80,7.92,15.84
"050US55105","55105",41,41,30,100,73.17,10.44,20.89
"050US55107","55107",5,5,2,100,40,16.31,32.63
"050US55109","55109",18,18,17,100,94.44,7.13,14.25
"050US55111","55111",24,24,17,100,70.83,10.59,21.19
"050US55113","55113",8,6,2,75,25,24.19,48.37
"050US55115","55115",11,9,5,81.82,45.45,19.42,38.83
"050US55117","55117",28,28,22,100,78.57,10.59,21.18
"050US55119","55119",6,5,3,83.33,50,15.69,31.38
"050US55121","55121",8,6,2,75,25,16.93,33.86
"050US55123","55123",7,7,4,100,57.14,12.36,24.71
"050US55125","55125",8,4,1,50,12.5,38.76,77.53
"050US55127","55127",29,29,20,100,68.97,12.59,25.19
"050US55129","55129",6,6,2,100,33.33,13.83,27.67
"050US55131","55131",30,30,25,100,83.33,10.54,21.08
"050US55133","55133",98,98,92,100,93.88,7.54,15.09
"050US55135","55135",12,10,6,83.33,50,18.16,36.31
"050US55137","55137",8,8,2,100,25,18.14,36.28
"050US55139","55139",45,45,43,100,95.56,7.07,14.14
"050US55141","55141",17,16,14,94.12,82.35,9.65,19.3
"050US56001","56001",11,10,10,90.91,90.91,7.74,15.49
"050US56003","56003",3,2,2,66.67,66.67,12.7,25.39
"050US56005","56005",10,6,4,60,40,20.94,41.88
"050US56007","56007",5,4,4,80,80,15.13,30.25
"050US56009","56009",4,2,2,50,50,28.28,56.56
"050US56011","56011",2,1,1,50,50,18.77,37.55
"050US56013","56013",12,5,5,41.67,41.67,27.38,54.77
"050US56015","56015",4,3,2,75,50,17.3,34.6
"050US56017","56017",2,2,2,100,100,6.28,12.57
"050US56019","56019",3,2,2,66.67,66.67,17.66,35.31
"050US56021","56021",27,25,23,92.59,85.19,7.92,15.84
"050US56023","56023",5,5,4,100,80,9.11,18.22
"050US56025","56025",20,18,17,90,85,10.52,21.03
"050US56027","56027",1,1,1,100,100,0,0
"050US56029","56029",7,5,5,71.43,71.43,22.04,44.09
"050US56031","56031",3,2,1,66.67,33.33,22.59,45.19
"050US56033","56033",7,6,5,85.71,71.43,16.66,33.32
"050US56035","56035",3,0,0,0,0,NA,NA
"050US56037","56037",13,11,9,84.62,69.23,14.53,29.05
"050US56039","56039",7,1,0,14.29,0,42.13,84.26
"050US56041","56041",6,2,1,33.33,16.67,39.33,78.65
"050US56043","56043",3,3,2,100,66.67,7.78,15.57
"050US56045","56045",2,2,1,100,50,14.07,28.15
"050US60010","60010",7,0,0,0,0,NA,NA
"050US60020","60020",1,0,0,0,0,NA,NA
"050US60030","60030",1,0,0,0,0,NA,NA
"050US60040","60040",1,0,0,0,0,NA,NA
"050US60050","60050",8,0,0,0,0,NA,NA
"050US66010","66010",56,0,0,0,0,NA,NA
"050US69085","69085",1,0,0,0,0,NA,NA
"050US69100","69100",1,0,0,0,0,NA,NA
"050US69110","69110",17,0,0,0,0,NA,NA
"050US69120","69120",4,0,0,0,0,NA,NA
"050US72001","72001",6,0,0,0,0,NA,NA
