"HEROP_ID","GEOID","TotTracts","NaltCtTmDr","NaltCtTmDr2","NaltTmDrP","NaltTmDrP2","NaltAvTmDr","NaltAvTmDr2"
"050US08101","08101",58,55,50,94.83,86.21,7.27,14.54
"050US08103","08103",2,0,0,0,0,66.72,133.44
"050US08105","08105",4,3,2,75,50,13.87,27.74
"050US08107","08107",10,7,5,70,50,21.93,43.85
"050US08109","08109",2,1,1,50,50,27.39,54.77
"050US08111","08111",1,0,0,0,0,30.64,61.28
"050US08113","08113",4,3,1,75,25,12.71,25.42
"050US08115","08115",1,1,1,100,100,0,0
"050US08117","08117",12,10,4,83.33,33.33,18.45,36.89
"050US08119","08119",8,6,3,75,37.5,23.71,47.41
"050US08121","08121",2,1,1,50,50,16.9,33.79
"050US08123","08123",83,54,22,65.06,26.51,23.79,47.57
"050US08125","08125",2,2,2,100,100,0,0
"050US09001","09001",226,0,0,0,0,NA,NA
"050US09003","09003",235,0,0,0,0,NA,NA
"050US09005","09005",52,0,0,0,0,NA,NA
"050US09007","09007",40,0,0,0,0,NA,NA
"050US09009","09009",198,0,0,0,0,NA,NA
"050US09011","09011",66,0,0,0,0,NA,NA
"050US09013","09013",32,0,0,0,0,NA,NA
"050US09015","09015",30,0,0,0,0,NA,NA
"050US10001","10001",41,41,34,100,82.93,8.68,17.36
"050US10003","10003",144,144,140,100,97.22,5.52,11.04
"050US10005","10005",74,73,52,98.65,70.27,11.16,22.32
"050US11001","11001",206,206,206,100,100,3.18,6.37
"050US12001","12001",58,57,41,98.28,70.69,12.38,24.76
"050US12003","12003",4,1,0,25,0,34.85,69.7
"050US12005","12005",49,48,37,97.96,75.51,10.27,20.53
"050US12007","12007",6,6,3,100,50,11.88,23.76
"050US12009","12009",147,143,118,97.28,80.27,10.44,20.89
"050US12011","12011",416,412,405,99.04,97.36,5.85,11.7
"050US12013","12013",4,0,0,0,0,46.83,93.66
"050US12015","12015",46,39,26,84.78,56.52,16.96,33.93
"050US12017","12017",41,38,9,92.68,21.95,20.73,41.46
"050US12019","12019",45,41,20,91.11,44.44,16.1,32.2
"050US12021","12021",108,97,75,89.81,69.44,13.27,26.55
"050US12023","12023",13,11,7,84.62,53.85,15.35,30.7
"050US12027","12027",9,4,0,44.44,0,32.61,65.21
"050US12029","12029",5,4,2,80,40,17.55,35.1
"050US12031","12031",218,218,202,100,92.66,8.59,17.18
"050US12033","12033",78,73,23,93.59,29.49,19.11,38.21
"050US12035","12035",23,23,6,100,26.09,16.77,33.54
"050US12037","12037",5,0,0,0,0,38.23,76.47
"050US12039","12039",10,10,4,100,40,16.59,33.17
"050US12041","12041",5,3,0,60,0,25.85,51.7
"050US12043","12043",5,0,0,0,0,67.51,135.02
"050US12045","12045",5,3,1,60,20,22.59,45.18
"050US12047","12047",6,3,0,50,0,30.28,60.57
"050US12049","12049",8,1,0,12.5,0,39.76,79.52
"050US12051","12051",10,0,0,0,0,56.18,112.36
"050US12053","12053",46,46,43,100,93.48,9.65,19.31
"050US12055","12055",35,0,0,0,0,65.01,130.02
"050US12057","12057",333,330,293,99.1,87.99,7.85,15.69
"050US12059","12059",7,2,0,28.57,0,35.58,71.17
"050US12061","12061",44,44,34,100,77.27,10.72,21.44
"050US12063","12063",13,0,0,0,0,40.34,80.68
"050US12065","12065",5,2,0,40,0,32.59,65.18
"050US12067","12067",3,3,0,100,0,25.62,51.25
"050US12069","12069",75,74,45,98.67,60,13.3,26.59
"050US12071","12071",222,215,149,96.85,67.12,12.6,25.19
"050US12073","12073",79,79,67,100,84.81,8.71,17.42
"050US12075","12075",12,10,4,83.33,33.33,18.94,37.88
"050US12077","12077",4,0,0,0,0,42.51,85.01
"050US12079","12079",5,1,0,20,0,34.2,68.4
"050US12081","12081",93,90,67,96.77,72.04,11.69,23.37
"050US12083","12083",93,90,50,96.77,53.76,14.31,28.62
"050US12085","12085",42,38,34,90.48,80.95,11.75,23.5
"050US12086","12086",706,703,701,99.58,99.29,4.97,9.93
"050US12087","12087",28,26,22,92.86,78.57,5.61,11.23
"050US12089","12089",23,18,11,78.26,47.83,18.63,37.26
"050US12091","12091",48,35,22,72.92,45.83,19.76,39.51
"050US12093","12093",12,0,0,0,0,41.8,83.6
"050US12095","12095",267,267,247,100,92.51,7.63,15.26
"050US12097","12097",59,57,39,96.61,66.1,13.06,26.11
"050US12099","12099",372,354,332,95.16,89.25,7.62,15.24
"050US12101","12101",130,130,114,100,87.69,9.47,18.94
"050US12103","12103",273,273,271,100,99.27,6.02,12.04
"050US12105","12105",174,144,77,82.76,44.25,18.08,36.16
"050US12107","12107",17,12,7,70.59,41.18,18.81,37.62
"050US12109","12109",50,50,34,100,68,10.98,21.96
"050US12111","12111",67,67,63,100,94.03,8.01,16.01
"050US12113","12113",36,24,13,66.67,36.11,22.72,45.44
"050US12115","12115",122,120,70,98.36,57.38,12.55,25.11
"050US12117","12117",89,88,83,98.88,93.26,9.32,18.64
"050US12119","12119",28,24,8,85.71,28.57,20.01,40.02
"050US12121","12121",11,11,4,100,36.36,16.82,33.63
"050US12123","12123",7,1,0,14.29,0,47.02,94.04
"050US12125","12125",4,4,2,100,50,11.38,22.75
"050US12127","12127",129,127,93,98.45,72.09,10.62,21.23
"050US12129","12129",8,7,5,87.5,62.5,14.96,29.92
"050US12131","12131",20,7,2,35,10,35.73,71.46
"050US12133","12133",7,0,0,0,0,46.11,92.21
"050US13001","13001",7,0,0,0,0,53.83,107.67
"050US13003","13003",3,2,0,66.67,0,27.73,55.46
"050US13005","13005",3,0,0,0,0,37.24,74.49
"050US13007","13007",2,0,0,0,0,39.76,79.51
"050US13009","13009",14,14,2,100,14.29,17.92,35.84
"050US13011","13011",4,4,0,100,0,23.41,46.83
"050US13013","13013",18,18,18,100,100,6.75,13.49
"050US13015","13015",28,28,16,100,57.14,12.4,24.8
"050US13017","13017",6,0,0,0,0,42.89,85.78
"050US13019","13019",6,1,0,16.67,0,36.98,73.95
"050US13021","13021",48,48,41,100,85.42,9.11,18.23
"050US13023","13023",4,1,0,25,0,45.03,90.06
"050US13025","13025",5,1,0,20,0,33.84,67.68
"050US13027","13027",6,6,1,100,16.67,21.51,43.01
"050US13029","13029",9,6,0,66.67,0,28.75,57.49
"050US13031","13031",20,19,7,95,35,17.7,35.39
"050US13033","13033",7,3,0,42.86,0,30.16,60.31
"050US13035","13035",5,4,0,80,0,24.19,48.37
"050US13037","13037",2,0,0,0,0,49.98,99.96
"050US13039","13039",16,12,0,75,0,29.05,58.11
"050US13043","13043",3,0,0,0,0,34.11,68.23
"050US13045","13045",28,28,23,100,82.14,10.16,20.31
"050US13047","13047",15,15,11,100,73.33,11.86,23.71
"050US13049","13049",3,0,0,0,0,41.52,83.04
"050US13051","13051",87,86,66,98.85,75.86,8.58,17.16
"050US13053","13053",5,4,0,80,0,25.17,50.35
"050US13055","13055",9,0,0,0,0,52.16,104.33
"050US13057","13057",56,54,33,96.43,58.93,14.29,28.59
"050US13059","13059",34,34,33,100,97.06,5.08,10.16
"050US13061","13061",1,0,0,0,0,49.1,98.2
"050US13063","13063",70,70,63,100,90,10.77,21.54
"050US13065","13065",2,0,0,0,0,48.44,96.88
"050US13067","13067",186,186,181,100,97.31,8.27,16.54
"050US13069","13069",12,12,5,100,41.67,15.74,31.49
"050US13071","13071",15,15,11,100,73.33,11.26,22.51
"050US13073","13073",25,25,18,100,72,13.81,27.62
"050US13075","13075",5,4,0,80,0,27.11,54.22
"050US13077","13077",27,24,17,88.89,62.96,15.31,30.62
"050US13079","13079",3,1,0,33.33,0,49.04,98.09
"050US13081","13081",6,0,0,0,0,40.77,81.53
"050US13083","13083",5,2,0,40,0,28.53,57.05
"050US13085","13085",7,5,0,71.43,0,28.29,56.57
"050US13087","13087",8,8,6,100,75,11.14,22.28
"050US13089","13089",203,203,199,100,98.03,5.76,11.52
"050US13091","13091",7,1,0,14.29,0,67.68,135.36
"050US13093","13093",3,0,0,0,0,55.29,110.58
"050US13095","13095",29,29,25,100,86.21,11.26,22.52
"050US13097","13097",31,31,28,100,90.32,10.49,20.97
"050US13099","13099",5,0,0,0,0,41.22,82.45
"050US13101","13101",2,1,0,50,0,31.66,63.33
"050US13103","13103",16,10,0,62.5,0,29.18,58.35
"050US13105","13105",6,6,3,100,50,11.35,22.7
"050US13107","13107",9,9,2,100,22.22,17.42,34.84
"050US13109","13109",3,0,0,0,0,44.55,89.11
"050US13111","13111",5,0,0,0,0,38.02,76.04
