HEROP_ID,HospMinDis
140US01059973200,2.34390109
140US01055000400,3.356228298
140US01033020901,7.562717053
140US01033020801,8.492461369
140US01049961100,1.427174168
140US01035960400,8.205918564
140US01035960500,4.349771075
140US01121011800,0.530507635
140US01121011000,2.569399014
140US01121010900,0.680196697
140US01057020400,13.08019362
140US01067030400,15.70455007
140US01051030300,12.42571122
140US01087232100,14.53896023
140US01017954700,3.774445436
140US01017953900,7.690210954
140US01041963400,13.21217246
140US01021060200,4.599536933
140US01027959000,3.649845686
140US01061050400,9.431995153
140US01031010800,5.773733824
140US01109188700,11.57579467
140US01081040602,6.761861308
140US01101003200,1.568452311
140US01101001000,3.145340399
140US01101005902,4.153385811
140US01101005402,1.893001943
140US01101006100,5.993643836
140US01101005503,4.571521992
140US01101001700,0.640067973
140US01045021101,5.15038987
140US01045020300,3.936222138
140US01093964100,11.53875775
140US01097003800,9.624569159
140US01097006802,1.723963933
140US01097005300,5.04408521
140US01097000702,1.094253589
140US01097001302,2.223027268
140US01097002301,3.305012583
140US01097002900,1.603319115
140US01097003302,0.927264944
140US01097003606,1.006714011
140US01097003902,0.922953133
140US01097004900,3.030530252
140US01097006103,5.217403971
140US01097003202,2.421961615
140US01097003203,2.0157762
140US01097003707,2.187432978
140US01097007101,5.13328249
140US01069041700,12.78798444
140US01069040500,2.494605834
140US01069041400,1.113986665
140US01029959800,17.33428077
140US01001021000,20.08601642
140US01001020400,0.689181674
140US01001020700,2.621104366
140US01005950500,10.95541487
140US01005950200,17.5504871
140US01081042002,2.850757704
140US01089001401,2.318049797
140US01019955701,8.506191825
140US01047956701,1.90867977
140US01073005910,3.845298567
140US01073011108,2.676174802
140US01073012703,3.659219688
140US01073014001,7.655236304
140US01073012908,3.621116801
140US01051030902,8.202722897
140US01117030304,4.069324578
140US01101000100,1.61662687
140US01101005611,4.329876966
140US01101005612,4.706515142
140US01101005607,3.892975953
140US01097006702,8.735230661
140US01055010601,4.547946216
140US01055010602,8.90560001
140US01001020803,7.397678076
140US01051030101,13.95476719
140US01051030401,5.578382365
140US01043965401,6.25178811
140US01015981902,8.397239254
140US01117030216,4.66517299
140US01117030341,1.310534172
140US01117030408,9.417365504
140US01117030900,13.27324868
140US01117030345,3.794452179
140US01117030407,8.721836676
140US01115040402,12.09619974
140US01083020201,3.769952131
