GEOID,HEROP_ID,MhCntDr,MhTmDr,MhTmDr2
1073001902,140US01073001902,12,2.14,4.28
1073010702,140US01073010702,15,2.55,5.1
1073004701,140US01073004701,14,2.61,5.22
1073002200,140US01073002200,12,0,0
1073002306,140US01073002306,13,3.59,7.18
1073010801,140US01073010801,14,4.69,9.38
1073012907,140US01073012907,16,0,0
1073014409,140US01073014409,16,4.09,8.18
1073012200,140US01073012200,0,30.67,61.34
1073012500,140US01073012500,11,11.25,22.5
1073012403,140US01073012403,8,18.04,36.08
1103005101,140US01103005101,8,6.66,13.32
1103005109,140US01103005109,8,7.55,15.1
1103005303,140US01103005303,6,15.9,31.8
1125012800,140US01125012800,4,5.73,11.46
1125012305,140US01125012305,4,7.64,15.28
1125010802,140US01125010802,4,6.82,13.64
1125010404,140US01125010404,5,2.12,4.24
1125012501,140US01125012501,5,8.94,17.88
1125010302,140US01125010302,4,16.49,32.98
1125010201,140US01125010201,0,42.83,85.66
1125010804,140US01125010804,4,5.5,11
1125012600,140US01125012600,5,5.94,11.88
1133965800,140US01133965800,0,52.41,104.82
1091973100,140US01091973100,0,62.79,125.58
1095030903,140US01095030903,1,24.33,48.66
1095030401,140US01095030401,3,12.3,24.6
1073000800,140US01073000800,14,6.75,13.5
1073003001,140US01073003001,14,3.03,6.06
1073002900,140US01073002900,14,3.91,7.82
1073005907,140US01073005907,11,5.07,10.14
1073014404,140US01073014404,16,4.83,9.66
1073010703,140US01073010703,15,3.66,7.32
1073011209,140US01073011209,10,10.34,20.68
1073013601,140US01073013601,12,6.42,12.84
1073010200,140US01073010200,14,6.63,13.26
1073005701,140US01073005701,14,4.09,8.18
1073003802,140US01073003802,14,0,0
1073005103,140US01073005103,14,4.13,8.26
1079979800,140US01079979800,3,10.91,21.82
1079979700,140US01079979700,1,13.77,27.54
1083020402,140US01083020402,7,7.48,14.96
1083020700,140US01083020700,8,0,0
1071950200,140US01071950200,1,16.15,32.3
1089010902,140US01089010902,1,29.97,59.94
1089001902,140US01089001902,6,8.89,17.78
1089002100,140US01089002100,10,2.92,5.84
1089002912,140US01089002912,6,8.15,16.3
1089000302,140US01089000302,7,8.48,16.96
1089000502,140US01089000502,10,4.94,9.88
1089000601,140US01089000601,11,2.97,5.94
1089001000,140US01089001000,10,5.25,10.5
1089001301,140US01089001301,11,2.53,5.06
1089002000,140US01089002000,9,2.19,4.38
1089002911,140US01089002911,6,6.28,12.56
1089011400,140US01089011400,4,25.37,50.74
1089010200,140US01089010200,0,35.1,70.2
1089002801,140US01089002801,6,0,0
1057020100,140US01057020100,0,48.52,97.04
1057020000,140US01057020000,0,32.85,65.7
1057020200,140US01057020200,0,54.07,108.14
1111000200,140US01111000200,1,27.56,55.12
