HEROP_ID,GEOID,HospCntDr,HospTmDr,HospTmDr2,HospTmDrP,HospTmDrP2,HospAvTmDr,HospAvTmDr2
050US13103,13103,16,16,8,100,50,16,8
050US13105,13105,6,6,3,100,50,6,3
050US13107,13107,9,9,2,100,22.22,9,2
050US13109,13109,3,3,1,100,33.33,3,1
050US13111,13111,5,1,0,20,0,1,0
050US13113,13113,24,24,18,100,75,24,18
050US13115,13115,26,26,21,100,80.77,26,21
050US13117,13117,48,48,37,100,77.08,48,37
050US13119,13119,8,8,4,100,50,8,4
050US13121,13121,327,326,315,99.69,96.33,326,315
050US13123,13123,8,6,0,75,0,6,0
050US13125,13125,1,0,0,0,0,0,0
050US13127,13127,25,25,22,100,88,25,22
050US13129,13129,15,15,12,100,80,15,12
050US13131,13131,8,8,4,100,50,8,4
050US13133,13133,8,8,6,100,75,8,6
050US13135,13135,220,220,194,100,88.18,220,194
050US13137,13137,11,11,10,100,90.91,11,10
050US13139,13139,50,50,36,100,72,50,36
050US13141,13141,2,1,0,50,0,1,0
050US13143,13143,8,8,6,100,75,8,6
050US13145,13145,7,7,1,100,14.29,7,1
050US13147,13147,10,10,1,100,10,10,1
050US13149,13149,3,2,0,66.67,0,2,0
050US13151,13151,59,59,41,100,69.49,59,41
050US13153,13153,38,38,35,100,92.11,38,35
050US13155,13155,3,3,2,100,66.67,3,2
050US13157,13157,17,17,6,100,35.29,17,6
050US13159,13159,5,5,4,100,80,5,4
050US13161,13161,5,5,1,100,20,5,1
050US13163,13163,4,4,1,100,25,4,1
050US13165,13165,2,2,2,100,100,2,2
050US13167,13167,4,3,0,75,0,3,0
050US13169,13169,9,9,6,100,66.67,9,6
050US13171,13171,4,4,2,100,50,4,2
050US13173,13173,3,3,2,100,66.67,3,2
050US13175,13175,14,11,9,78.57,64.29,11,9
050US13177,13177,8,8,4,100,50,8,4
050US13179,13179,17,16,11,94.12,64.71,16,11
050US13181,13181,2,1,0,50,0,1,0
050US13183,13183,5,5,0,100,0,5,0
050US13185,13185,29,29,22,100,75.86,29,22
050US13187,13187,8,7,4,87.5,50,7,4
050US13189,13189,6,6,3,100,50,6,3
050US13191,13191,7,2,0,28.57,0,2,0
050US13193,13193,4,3,1,75,25,3,1
050US13195,13195,7,7,0,100,0,7,0
050US13197,13197,2,0,0,0,0,0,0
050US13199,13199,7,7,3,100,42.86,7,3
050US13201,13201,3,3,2,100,66.67,3,2
050US13205,13205,7,7,2,100,28.57,7,2
050US13207,13207,5,5,3,100,60,5,3
050US13209,13209,3,2,0,66.67,0,2,0
050US13211,13211,6,6,6,100,100,6,6
050US13213,13213,10,9,7,90,70,9,7
050US13215,13215,59,58,58,98.31,98.31,58,58
050US13217,13217,22,22,21,100,95.45,22,21
050US13219,13219,11,11,6,100,54.55,11,6
050US13221,13221,6,4,0,66.67,0,4,0
050US13223,13223,33,33,26,100,78.79,33,26
050US13225,13225,8,5,4,62.5,50,5,4
050US13227,13227,9,8,7,88.89,77.78,8,7
050US13229,13229,6,6,2,100,33.33,6,2
050US13231,13231,5,4,2,80,40,4,2
050US13233,13233,8,8,5,100,62.5,8,5
050US13235,13235,4,4,0,100,0,4,0
050US13237,13237,8,8,5,100,62.5,8,5
050US13239,13239,1,0,0,0,0,0,0
050US13241,13241,8,8,2,100,25,8,2
