HEROP_ID,ZIP,RxTmDr,RxTmDr2,RxCntDr,RxMinDis
860US12976,12976,31.01,62.02,0.0,12.40291123
860US12977,12977,10.446666668499999,20.893333336999998,4.333333333000001,4.0329478849080385
860US12978,12978,34.04,68.08,0.0,10.48734937
860US12979,12979,0.0,0.0,8.0,2.150133432596568
860US12980,12980,31.2450422969,62.4900845938,0.067681896,17.22438083163035
860US12981,12981,33.95524443688,67.91048887376,0.001777778,10.503165947305956
860US12983,12983,8.387742865182256,16.77548573036451,4.636965254363035,7.014530477000914
860US12985,12985,24.13579634161,48.27159268322,4.263707573,8.471028584765024
860US12986,12986,8.503204824836796,17.006409649673593,2.1227637258772365,5.348795498641805
860US12987,12987,29.230348839330006,58.46069767866001,1.744186046,11.267949132774453
860US12989,12989,31.123541664850002,62.247083329700004,0.0,12.283140116395504
860US12992,12992,12.23893065293,24.47786130586,9.443400447,6.875595564646998
860US12993,12993,15.747710204229998,31.495420408459996,3.7050452799999998,6.257206812689809
860US12995,12995,,,,
860US12996,12996,0.27218051938,0.54436103876,2.033958892,0.987048238768465
860US12997,12997,36.41476340884,72.82952681768,0.006309148,6.700820106396765
860US12998,12998,29.07124401946,58.14248803892,0.913875598,11.609839360782754
860US13020,13020,10.77,21.54,42.0,6.732628239
860US13021,13021,2.9744070266155926,5.948814053231185,16.900272353099727,1.6253759338293088
860US13022,13022,,,,
860US13024,13024,,,,
860US13026,13026,24.89204172636,49.78408345272,4.242921014,8.469000092361451
860US13027,13027,4.241683559588315,8.48336711917663,59.2055981047944,1.8624298120732274
860US13028,13028,15.32927536176,30.65855072352,13.14361001,7.231143691690193
860US13029,13029,0.17421004544000002,0.34842009088000003,58.114155251,1.826561234521965
860US13030,13030,6.86590813805,13.7318162761,54.127870564999995,3.490305295792699
860US13031,13031,2.3593127108906873,4.718625421781375,61.80476649319523,1.3966818635307945
860US13032,13032,4.842158941939999,9.684317883879999,51.118447573,2.223912267796755
860US13033,13033,4.69587977219588,9.39175954439176,15.275516579275518,3.661074795532138
860US13034,13034,11.093200795269999,22.186401590539997,11.413518884999998,5.631657371384278
860US13035,13035,4.216310749886311,8.432621499772623,32.93253652193253,1.9157730070191679
860US13036,13036,5.295546281416638,10.591092562833277,47.18940841056823,2.8430106268372364
860US13037,13037,1.97919602785,3.9583920557,47.233624979000005,1.3195996252777609
860US13039,13039,1.4755524022211046,2.9511048044422092,59.634610837269214,1.3497214623898732
860US13040,13040,20.61851079872,41.23702159744,9.274013402,10.896111528793943
860US13041,13041,5.888079348910001,11.776158697820001,58.516383734,1.907288286745613
860US13042,13042,15.548297872320001,31.096595744640002,12.292553192,6.907595555609613
860US13043,13043,,,,
860US13044,13044,15.44177849776,30.88355699552,13.944219874,7.028900999728186
860US13045,13045,3.12047737008,6.24095474016,12.998692136,1.5242837914923093
860US13051,13051,,,,
860US13052,13052,18.810972651640974,37.62194530328195,9.011144877011144,9.951805073605332
860US13053,13053,2.38152628881,4.76305257762,12.780500256,2.2134194839345698
860US13054,13054,12.0750769217,24.1501538434,23.800000005,5.679971182980719
