GEOID,MhTmDr,MhTmDr2,MhCntDr,MhMinDis
1752,3.116907442,6.233814884,53.00235919,1.71753212
1754,16.72105211,33.44210421,49.94509881,7.525414262
1756,11.61035336,23.22070671,26.12296821,4.448858387
1757,4.71475009,9.429500181,31.2082436,1.414050305
1760,4.997879789,9.995759578,75.15955718,1.731869626
1770,9.47,18.94,46,3.29217288
1772,2.098481952,4.196963904,73.46306479,2.2775947
1773,9.701850604,19.40370121,89.07806191,4.912334913
1775,14.03843619,28.07687238,54.90617146,6.298573931
1776,11.32994938,22.65989875,48.7992913,4.22158987
1778,5.656679919,11.31335984,75.72554442,2.61273598
1784,,,,
1801,2.295000758,4.590001517,103.9306192,1.174764483
