GEOID,HivTmDr,HivTmDr2,HivCntDr,HivMinDis
2121,1.052394672,2.104789345,59.00552541,0.480337579
2122,2.701676397,5.403352795,58.40611014,1.260784754
2123,1.28,2.56,62,0.425758793
2124,2.189102376,4.378204752,58.36010899,1.09274185
2125,1.317105663,2.634211326,60.1484633,0.421561039
2126,2.650534159,5.301068317,58.54886466,0.706063704
2127,3.388723351,6.777446702,61.87203838,1.127375656
2128,4.297242573,8.594485146,55.24971607,1.337297697
2129,1.281302508,2.562605016,60.52392465,0.430421783
2130,1.224890969,2.449781937,58.70513315,0.403994121
2131,4.003245134,8.006490268,57.85835427,1.302629965
2132,5.578054627,11.15610925,53.26114699,2.206182004
2133,,,,
2134,2.087602775,4.175205549,54.46185079,0.581724167
2135,1.780408759,3.560817517,52.84586856,0.60562281
2136,6.013068497,12.02613699,56.20975744,2.547495692
2137,8.03,16.06,55,3.556197504
2138,5.442057944,10.88411589,58.4629805,1.889656368
2139,4.015194219,8.030388439,57.13295972,1.311659863
2140,7.051797875,14.10359575,59.54210264,2.720695666
2141,3.091235649,6.182471297,60.42667771,1.219483605
2142,3.144508387,6.289016774,59.288,1.243697375
2143,5.263525802,10.5270516,58.7109484,2.175344697
2144,7.26474505,14.5294901,62.25946028,3.2549123
2145,5.115064428,10.23012886,62.28084289,1.997235449
2148,3.940702165,7.88140433,58.77581747,2.083112363
2149,1.483881279,2.967762557,58.10901225,0.723502018
2150,2.880884865,5.76176973,55.49936548,1.08716068
2151,4.607204668,9.214409335,51.43372221,2.318854789
2152,8.606709388,17.21341878,48.17362252,3.761937495
2155,5.758026124,11.51605225,62.84224669,2.925034739
2163,3.77,7.54,55,0.886446529
2169,7.089959916,14.17991983,55.53075103,3.351035734
2170,6.589596379,13.17919276,58,3.121970034
2171,5.941622656,11.88324531,58,2.514046125
2176,7.089812896,14.17962579,56.9937126,3.723829816
2180,9.291222192,18.58244438,57.76185412,5.026951303
2184,5.964354731,11.92870946,52.6678233,2.321685037
2185,8.35,16.7,58,3.355623474
2186,3.93303916,7.866078321,56.96639392,1.734023409
2188,2.052549885,4.105099771,52.57600107,0.832844531
2189,3.618663078,7.237326157,50.16725676,1.42903902
2190,2.778742342,5.557484685,51.83220467,1.154582658
2191,6.585676948,13.1713539,48.62990068,2.875721054
2196,2.35,4.7,65,0.802258661
2199,1.72,3.44,62,0.683635731
2201,,,,
2203,1.28,2.56,65,0.265692984
2205,2.35,4.7,65,0.802258661
2210,3.123224228,6.246448455,62.56976548,1.161236527
2215,2.144309108,4.288618215,60.10623003,0.702903947
2217,,,,
2222,,,,
2238,5.44,10.88,59,1.704588118
2269,7.54,15.08,58,4.025491195
2301,2.762790211,5.525580421,49.05035421,1.181335681
2302,2.481919718,4.963839435,42.77806266,1.179737182
2303,1.6,3.2,47,0.479968841
2304,2.58,5.16,42,1.5423426
2305,3.04,6.08,47,1.003544145
2322,5.973600856,11.94720171,51.99678973,2.450981874
2324,13.51021632,27.02043264,26.66735497,6.806082362
2325,,,,
2327,17.62,35.24,16,8.816927534
2330,12.44548159,24.89096318,11.16059913,6.348226083
2331,10.47,20.94,11,3.743903068
2332,11.55641925,23.1128385,12.74445667,5.215401645
2333,10.96361765,21.92723529,20.12662539,4.804563865
2334,5.39,10.78,43,2.038278459
2337,,,,
2338,17.38532555,34.7706511,17.97174447,8.440525202
2339,13.0759815,26.15196301,39.90662291,6.370008398
2341,14.77622935,29.55245869,16.03363494,7.148546281
2343,6.536887725,13.07377545,50.43277565,3.073382241
2344,,,,
2345,16.73,33.46,8,8.94524686
2346,15.15640207,30.31280414,24.008724,8.808267564
2347,14.75972978,29.51945957,28.98669086,8.273370357
2348,,,,
2349,,,,
2350,15.86,31.72,16,7.903050333
2351,4.914845,9.82969,47.1449011,2.745116169
2355,,,,
2356,9.116824286,18.23364857,27.93134102,3.501552727
2357,,,,
2358,,,,
2359,16.1411897,32.2823794,16.24133166,8.565494473
2360,10.11933029,20.23866058,9.754643553,4.477365553
2361,3.45,6.9,14,0.810026238
2362,15.81,31.62,8,6.590196015
2364,7.960563584,15.92112717,10.96069514,3.160571085
2366,,,,
2367,11.60790381,23.21580762,16.97096189,5.411913429
2368,10.10735872,20.21471744,52.68049351,4.662700335
2370,8.000297758,16.00059552,43.23318221,3.950473389
2375,10.59312852,21.18625704,32.32212326,4.987557855
2379,7.859496654,15.71899331,37.21662951,4.465872649
2381,,,,
