"HEROP_ID","GEOID","MetCtTmDr","MetCtTmDr2","MetTmDrP","MetTmDrP2","MetAvTmDr","MetAvTmDr2"
"050US06093","06093",0,0,0,0,68.11,136.22
"050US06095","06095",99,47,99,47,13.61,27.22
"050US06097","06097",111,70,91.74,57.85,15.36,30.71
"050US06099","06099",105,93,93.75,83.04,11.15,22.3
"050US06101","06101",20,15,95.24,71.43,10.69,21.37
"050US06103","06103",7,0,50,0,37.13,74.26
"050US06105","06105",0,0,0,0,67.37,134.74
"050US06107","06107",98,70,95.15,67.96,12.32,24.64
"050US06109","06109",0,0,0,0,64.89,129.77
"050US06111","06111",186,156,98.41,82.54,9.55,19.11
"050US06113","06113",50,24,94.34,45.28,16.54,33.08
"050US06115","06115",18,13,94.74,68.42,14.21,28.43
"050US08001","08001",105,103,98.13,96.26,7.03,14.07
"050US08003","08003",5,4,100,80,9.51,19.02
"050US08005","08005",160,147,99.38,91.3,7.02,14.04
"050US08007","08007",0,0,0,0,NA,NA
"050US08009","08009",0,0,0,0,59.99,119.98
"050US08011","08011",0,0,0,0,70.69,141.38
"050US08013","08013",75,70,96.15,89.74,9.59,19.18
"050US08014","08014",24,24,100,100,10.41,20.83
"050US08015","08015",0,0,0,0,NA,NA
"050US08017","08017",0,0,0,0,NA,NA
"050US08019","08019",2,0,50,0,34.91,69.83
"050US08021","08021",0,0,0,0,42.48,84.96
"050US08023","08023",0,0,0,0,53.11,106.22
"050US08025","08025",0,0,0,0,63.79,127.58
"050US08027","08027",0,0,0,0,63.78,127.57
"050US08029","08029",2,0,22.22,0,47.76,95.52
"050US08031","08031",178,177,100,99.44,4.04,8.09
"050US08033","08033",0,0,0,0,NA,NA
"050US08035","08035",68,32,94.44,44.44,17.14,34.28
"050US08037","08037",1,0,6.25,0,53.11,106.23
"050US08039","08039",0,0,0,0,46.93,93.86
"050US08041","08041",161,139,96.41,83.23,10.14,20.27
"050US08043","08043",0,0,0,0,41.04,82.08
"050US08045","08045",8,2,66.67,16.67,27.5,55.01
"050US08047","08047",0,0,0,0,44.42,88.85
"050US08049","08049",0,0,0,0,75.8,151.59
"050US08051","08051",0,0,0,0,80.25,160.5
"050US08053","08053",0,0,0,0,NA,NA
"050US08055","08055",0,0,0,0,58.43,116.85
"050US08057","08057",0,0,0,0,NA,NA
"050US08059","08059",142,131,97.26,89.73,9.1,18.2
"050US08061","08061",0,0,0,0,60.14,120.28
"050US08063","08063",0,0,0,0,NA,NA
"050US08065","08065",0,0,0,0,NA,NA
"050US08067","08067",0,0,0,0,NA,NA
"050US08069","08069",77,62,89.53,72.09,15.23,30.46
"050US08071","08071",0,0,0,0,75.75,151.5
