GEOID,RxTmDr,RxTmDr2,RxCntDr,RxMinDis
2132,1.507287371,3.014574742,262.3821492,0.653026738
2133,,,,
2134,0.92324649,1.846492979,272.6733209,0.274544295
2135,1.69419764,3.388395281,261.7176583,0.792661446
2136,0.897236081,1.794472162,271.201075,0.52701311
2137,0,0,274,0.361206794
2138,0.432028024,0.864056048,288.7467146,0.293687916
2139,0.389859348,0.779718695,287.0851052,0.228205346
2140,1.34157781,2.68315562,294.3177213,0.384572248
2141,1.05503965,2.110079299,291.9518286,0.349080718
2142,0.978554839,1.957109677,290.6818065,0.353633168
2143,0.946990935,1.893981869,290.9131102,0.311888843
2144,1.183810106,2.367620213,304.0924241,0.409747388
2145,1.134569659,2.269139317,298.528369,0.30016474
2148,1.125778509,2.251557019,273.0071208,0.43564267
2149,2.121238164,4.242476328,274.2535929,1.011993424
2150,1.833260844,3.666521689,263.1361906,0.771007409
2151,1.965086268,3.930172537,240.9494847,0.680586114
2152,1.5954179,3.190835799,225.5283164,0.647355294
2155,1.230632953,2.461265906,301.2893824,0.49504408
2163,2.31,4.62,281,0.551351015
2169,1.86030554,3.720611081,262.9465471,0.766631553
2170,0.674350538,1.348701076,268.5286204,0.461096273
