"GEOID","TotPop","MaleP","FemP","Ovr16","Ovr16P","Ovr18","Ovr18P","Ovr21","Ovr21P","Ovr65","Ovr65P","SRatio","SRatio18","SRatio65","WhiteE","AsianE","PacIsE","HisE","AmIndE","TwoPlsE","OtherE","SomeCollege","EduNoHsP","EduHsP","BachelorsP","GradSclP"
"06095",450824,49.85,50.15,363163,80.56,351400,77.95,308022,68.32,76287,16.92,99.41,97.77,80.72,192705,71688,4374,130628,3465,65154,55335,22.14,11.08,24.32,19.36,9
"06097",485642,49.18,50.82,403474,83.08,391704,80.66,344281,70.89,101805,20.96,96.76,94.61,82.05,313481,21539,1793,142986,6186,66532,68565,20.12,11.14,18.65,23.52,14.33
"06099",552250,49.84,50.16,421273,76.28,403935,73.14,349346,63.26,74905,13.56,99.34,97.27,80.56,276614,33032,3354,271787,6436,134593,82547,22.23,19.89,29.35,13.13,6.01
"06101",98971,50.21,49.79,76706,77.5,73803,74.57,64267,64.94,15927,16.09,100.84,97.97,84.11,49812,17301,359,32061,1601,15658,12526,22.05,21.17,24.67,13.6,6.61
"06103",65520,49.88,50.12,51392,78.44,49737,75.91,43948,67.08,13075,19.96,99.52,98.14,86.87,45414,1199,93,18458,1226,10275,6742,24.38,13.72,28.77,13.25,5.6
"06105",15886,48.95,51.05,13372,84.17,12974,81.67,11736,73.88,4662,29.35,95.88,96.13,101.73,12782,388,84,936,344,1295,846,21.54,5.23,40.44,9.47,8.58
"06107",475774,50.12,49.88,349036,73.36,332659,69.92,285058,59.91,55879,11.74,100.5,98.29,84.38,202844,16760,736,314250,7168,101547,139583,22.25,25.63,26.97,10.15,5.69
"06109",54873,51.49,48.51,46375,84.51,45445,82.82,40560,73.92,15199,27.7,106.14,107.69,91.4,45309,711,265,7250,968,4795,1875,28.17,6.48,25.12,16,7.95
"06111",838259,49.74,50.26,675257,80.55,652464,77.84,564528,67.35,141315,16.86,98.98,97.32,84.07,491174,60564,1568,367516,12274,174841,82386,18.4,14.71,19.46,22.2,13.47
"06113",217782,48.68,51.32,178358,81.9,173144,79.5,140721,64.62,28915,13.28,94.87,92.59,80.4,119349,32445,935,72347,2052,35131,21994,17.66,11.59,17.54,22.85,21.23
"06115",83079,50.77,49.23,62578,75.32,60439,72.75,52969,63.76,10889,13.11,103.15,103.88,89.77,50228,6362,280,24887,1335,14362,7437,24.43,15.34,27.1,11.87,6.03
"08001",524408,50.81,49.19,406874,77.59,391408,74.64,341150,65.05,57841,11.03,103.28,102.57,83.33,315627,21305,889,221633,7560,102414,58348,17.79,15.01,28.55,19.12,8.9
"08003",16515,49.37,50.63,13048,79.01,12613,76.37,10405,63,2436,14.75,97.5,98.08,85.11,10176,84,60,7900,717,3851,1323,21.84,10.9,25.22,17.69,11.62
"08005",655709,49.9,50.1,523690,79.87,505658,77.12,444256,67.75,92071,14.04,99.61,97.96,80.3,405690,39309,1835,138906,6426,86083,45291,16.74,8.04,18.79,28.22,17.53
"08007",13730,50.01,49.99,11680,85.07,11364,82.77,10322,75.18,3801,27.68,100.06,98.72,102.72,11039,48,39,2255,238,926,1438,20.7,4.65,24.07,25.42,15.29
"08009",3460,50.06,49.94,2769,80.03,2688,77.69,2463,71.18,866,25.03,100.23,94.35,80.79,3112,87,0,370,23,137,90,19.98,14.21,28.53,17.62,6.46
"08011",5524,62.18,37.82,4725,85.54,4630,83.82,4115,74.49,1039,18.81,164.43,171.89,104.93,3876,44,5,1780,153,787,467,17.34,18.81,39.31,8.8,5.38
"08013",328317,50.46,49.54,276887,84.34,269185,81.99,221649,67.51,51867,15.8,101.87,101.34,85.35,264800,15487,203,47948,935,34639,9508,12.81,4.47,11.02,34.47,29.44
"08014",75110,50.35,49.65,61501,81.88,59265,78.9,52112,69.38,11357,15.12,101.41,100.26,78.43,59246,5113,0,10381,308,7790,1695,13.35,3.92,12.61,34.93,23.72
"08015",19876,52.34,47.66,17376,87.42,16981,85.43,15289,76.92,5129,25.8,109.84,107.86,92.6,17640,147,47,1933,91,1560,173,15.89,5.41,21.91,26.76,18.66
"08017",1732,51.5,48.5,1381,79.73,1337,77.19,1172,67.67,344,19.86,106.19,110.24,112.35,1445,5,6,219,1,213,43,22.71,8.29,27.05,15.78,8.62
"08019",9358,51.65,48.35,8305,88.75,8031,85.82,6998,74.78,2071,22.13,106.81,105.96,106.89,8307,106,11,708,105,589,110,11.73,5.44,17.47,29.98,26.28
"08021",7536,50.2,49.8,5849,77.61,5622,74.6,4998,66.32,1538,20.41,100.8,101.78,93.22,4624,25,0,3773,201,1977,697,20.74,10.95,33.17,15.25,8.03
"08023",3571,50.43,49.57,2978,83.39,2901,81.24,2615,73.23,981,27.47,101.75,110.38,114.19,1870,42,0,1985,131,1112,291,17.57,10.35,29.82,19.84,8
"08025",5734,69.46,30.54,5021,87.57,4960,86.5,4092,71.36,805,14.04,227.47,260.89,107.47,3839,98,20,1644,246,937,252,15.77,17.06,46.48,7.52,5.14
"08027",5073,50.44,49.56,4457,87.86,4342,85.59,3969,78.24,1541,30.38,101.79,91.51,88.85,4757,57,0,92,5,121,133,20.66,3.55,20.78,22.57,12.7
"08029",31353,49.71,50.29,26121,83.31,25302,80.7,22626,72.17,8701,27.75,98.86,98.67,91.02,27196,191,0,4460,225,2786,703,19.09,9,36.49,16.9,8.78
"08031",713734,50.43,49.57,596448,83.57,582914,81.67,522866,73.26,87660,12.28,101.75,100.64,80.43,448646,25845,1048,199425,6403,110661,58346,14.52,8.64,14.75,33.77,21.88
"08033",2385,53.79,46.21,2111,88.51,2050,85.95,1922,80.59,888,37.23,116.42,107.85,93.04,1896,0,0,296,108,215,166,23.34,3.81,38.64,17.9,6.81
"08035",368283,50.34,49.66,291966,79.28,279823,75.98,238230,64.69,49324,13.39,101.36,99.58,86.33,301035,20481,212,36431,1581,31169,8519,14.49,2.01,11.56,38.92,22.01
"08037",55374,53.84,46.16,45352,81.9,43854,79.2,38365,69.28,7912,14.29,116.63,114.53,103.66,39892,708,57,16729,42,10923,3228,14.44,6.83,17.73,33.92,16.35
"08039",27152,50.92,49.08,22382,82.43,21424,78.9,18540,68.28,4920,18.12,103.75,104.79,100.65,23278,238,90,2337,102,2922,378,20.15,3.19,25.64,24.28,10.9
