GEOID,SomeCollege,EduNoHsP,EduHsP,BachelorsP,GradSclP,Ovr16P,Ovr18P,Ovr21P,Ovr65P,SRatio,SRatio18,SRatio65,FemaleP,MaleP,WhiteP,WhiteE,BlackP,BlackE,AmIndP,AmIndE,AsianP,AsianE,PacIsP,PacIsE,OtherP,OtherE,TwoPlsP,TwoPlsE,HispP,HispE
44001,13.17,13.78,22.47,24.46,16.66,82.32,79.63,73.5,16.73,102.36,90.05,72.91,12.17,12.46,95.74,47752,0.8,398,0.16,80,1.44,716,0.01,3,0.37,185,1.49,741,1.26,630
44003,15.22,10.54,31.49,19.13,10.07,82.03,79.38,76.11,15.69,107.45,89.62,68.22,11.01,11.83,93.42,155219,1.45,2405,0.26,437,2.03,3378,0.02,39,0.97,1610,1.85,3070,1.92,3193
44005,13.85,8.88,23.62,25.37,18.05,82.71,80.18,75.76,16.97,105.51,92.45,76.92,11.08,11.69,90.16,74729,3.46,2864,0.38,315,1.55,1288,0.08,63,1.39,1150,2.99,2479,2.68,2219
44007,14.87,20.98,29.19,15.54,10.06,80.8,78.04,72.29,13.47,103.31,90.23,67.17,12.64,13.06,73.41,460033,8.46,53040,0.66,4123,3.67,23006,0.07,420,9.55,59862,4.18,26183,12.24,76685
44009,13.75,8.07,24.35,24.56,17.15,82.65,79.93,72.71,14.98,101.06,92.17,77.93,12.39,12.52,93.82,119136,1.17,1482,0.87,1103,1.63,2069,0.02,29,0.67,846,1.82,2314,1.57,1988
45001,14.23,23.18,33.9,10.08,5.21,80.02,77.23,72.25,16.54,106.2,90.68,76.01,12.69,13.48,69.6,17691,28.28,7187,0.24,60,0.3,75,0.02,5,0.42,108,1.14,291,0.65,164
45003,17.31,16.32,31.78,14.92,8.63,79.8,77.0,72.94,15.38,103.78,91.07,78.81,12.65,13.13,69.62,111457,24.58,39354,0.43,682,0.83,1329,0.04,61,2.58,4126,1.93,3090,3.12,5002
45005,14.27,26.76,39.17,9.41,3.78,80.66,77.68,73.78,13.2,113.31,113.99,74.94,11.76,13.32,23.66,2465,73.63,7672,0.19,20,0.39,41,0.02,2,1.29,134,0.82,85,1.46,152
45007,16.86,19.37,33.45,11.92,6.04,78.72,76.05,72.11,15.14,102.76,90.19,76.27,13.13,13.49,80.06,149818,16.04,30020,0.26,478,0.75,1405,0.02,43,1.34,2500,1.53,2862,1.85,3465
45009,11.25,23.59,31.98,11.92,5.44,80.63,77.65,69.56,16.04,104.27,87.41,71.8,13.61,14.19,36.09,5770,61.53,9837,0.26,42,0.43,68,0.02,3,0.7,112,0.97,155,1.04,167
