HEROP_ID,DmySgrg
050US47107,0
050US47117,0
050US47123,0
050US47143,0
050US47151,0
050US47155,0
050US47157,0
050US47165,1
050US47167,0
050US47185,0
050US47189,1
050US48001,0
050US48005,0
050US48029,0
050US48037,0
050US48043,0
050US48051,0
050US48057,0
050US48067,0
050US48091,0
050US48109,0
050US48119,0
050US48173,0
050US48187,0
050US48205,0
050US48215,0
050US48225,0
050US48263,0
050US48273,0
050US48287,0
050US48301,0
050US48311,0
050US48315,0
050US48339,1
050US48343,0
050US48349,0
050US48373,0
050US48377,0
050US48383,0
050US48405,0
050US48407,0
050US46041,0
050US46071,0
050US46075,0
050US46079,0
050US46127,0
050US47013,0
050US47021,1
050US47031,0
050US47035,0
050US47037,1
050US47041,0
050US47065,1
050US47089,0
050US56003,0
050US56013,0
050US56031,0
050US56035,0
050US01041,0
050US02100,0
050US04001,0
050US05001,0
050US05029,0
050US05057,0
050US39115,0
050US40113,0
050US41015,0
050US42049,0
050US42101,1
050US45009,0
050US45057,0
050US45087,0
050US47025,0
050US47053,0
050US47135,0
050US47163,0
050US48089,0
050US48135,0
050US48203,0
050US48323,0
050US48351,0
050US48379,0
050US48409,0
050US48465,0
050US49007,0
050US49019,0
050US51005,0
050US51029,0
050US51089,0
050US51141,0
050US51193,0
050US53011,0
050US53045,0
050US54025,0
050US55001,0
050US08027,0
050US08051,0
050US05041,0
050US13261,0
050US18179,0
050US22111,1
050US23003,0
050US40133,0
050US35019,0
050US37105,0
050US37125,0
050US19035,0
050US20033,0
050US20149,0
050US21027,0
050US21147,0
050US21175,0
050US22005,0
050US22015,0
050US22025,0
050US22037,0
050US22091,0
050US22109,0
050US24029,0
050US24047,0
050US26055,0
050US27015,0
050US27167,0
050US28051,0
050US29013,1
050US29095,1
050US30053,0
050US35033,0
050US36059,1
050US38003,0
050US38055,0
050US40055,0
050US40117,0
050US42043,0
050US42097,0
050US45015,0
050US45067,0
050US47009,0
050US47129,0
050US48065,1
050US48157,1
050US12057,0
050US12089,1
050US13025,0
050US39167,0
050US40023,0
050US18007,0
050US18051,0
050US18123,0
050US20083,0
050US20203,0
050US21079,0
050US21123,0
050US21209,0
050US22065,0
050US22105,0
050US23025,0
050US26007,0
050US28017,0
050US48419,0
050US54083,0
050US06063,0
050US48129,0
050US48313,0
050US53027,0
050US54059,0
050US05119,0
050US06093,0
050US02170,0
050US13075,0
050US25005,0
050US13303,0
050US17017,0
050US22043,0
050US22127,0
050US10001,0
050US12075,0
050US27021,0
050US28089,0
050US29227,0
050US30043,0
050US30081,0
050US34027,1
050US36075,1
050US37021,1
050US37107,0
050US37145,0
050US37193,0
050US40141,0
050US41031,0
050US41047,0
050US27087,0
050US27173,0
050US28109,0
050US29027,0
050US30009,0
050US30033,0
050US31033,0
050US34031,1
050US35017,0
050US36009,0
050US36061,1
050US36071,0
050US37015,0
050US37101,0
050US37131,0
050US37159,0
050US37183,0
050US13201,0
050US13265,0
050US44009,0
050US45003,0
050US45007,0
050US45017,0
050US45035,0
050US45041,0
050US45045,0
050US45051,0
050US30007,0
050US30093,0
050US37051,0
050US37139,0
050US45061,0
050US46055,0
050US47045,0
050US47127,0
050US51081,0
050US51105,0
050US51195,0
050US54007,0
050US54099,0
050US42031,0
050US01009,1
050US01047,0
050US05073,0
050US06027,0
050US06053,0
050US06099,0
050US08111,0
050US12045,0
050US12105,1
050US12121,0
050US16041,0
050US16079,0
050US18021,0
050US48175,0
050US48503,0
050US51113,1
050US53033,0
050US53057,0
050US06091,0
050US18125,0
050US26003,0
050US27103,0
050US01039,0
