HEROP_ID,TotPop,TotUnits,Age18_64,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age55_59,Age60_64,AgeOv65,Und45P,Ovr65P,WhiteP,BlackP,HispP,AmIndP,AsianP,PacIsP,OtherP,NoHsP,ChildrenP,PovP,UnempP,VacantP,TotPopHh,TotVetPop,TotWrkE,Age45_49,Age50_54,AgeOv18,DisbP,VetP,NonRelFhhP,NonRelNfhhP,MedInc,PciE,GiniCoeff,EduP,HghRskP,HltCrP,RetailP,EssnWrkE,EssnWrkP,NoIntP,MobileP,LngTermP,RentalP,UnitDens,AlcTot,AlcDens,AlcPerCap,Ndvi
040US38,752201,367684,468573,52820,94926,47651,66571,313629,49869,45061,109910,61.34,14.61,87.11,2.72,3.53,5.25,1.44,0.05,3.43,7.51,77,10.9,2.8,14.35,726653,46524,400841,40274,45712,578483,10.8,8.13,2.46,20.94,34036,35373,0.46,8.93,24.94,16.2,11.19,191724,47.83,13.95,7.28,21.62,37.33,5.33,118,0.0,0,0.16
040US39,11641879,5188270,7130850,695933,1461232,772199,775430,4446663,834920,765841,1892861,56.72,16.26,81.51,12.35,3.7,0.2,2.15,0.03,3.75,9.9,78,14.5,5.8,10.3,11327784,729649,5549577,744680,799749,9023711,14.0,8.09,2.76,19.06,28814,30304,0.47,8.57,22.44,15.55,11.51,2656660,47.87,14.72,3.77,27.45,34.01,126.97,688,0.02,0,0.2
040US40,3918137,1723230,2370201,263992,536998,262995,280151,1566301,255043,230875,589230,60.42,15.04,72.43,7.35,10.4,7.52,2.13,0.11,10.46,12.19,76,16.0,5.3,14.43,3808014,273677,1761328,229908,245790,2959431,16.0,9.3,2.82,20.55,26908,27432,0.47,9.07,22.77,13.34,11.57,854170,48.5,17.69,9.42,20.8,34.42,25.12,560,0.01,0,0.12
040US41,4081943,1750539,2531219,231927,488188,246092,265043,1621357,266912,276903,682546,57.36,16.72,84.42,1.91,12.84,1.15,4.28,0.39,7.86,9.62,79,14.1,6.0,9.07,3993967,288540,1934643,257594,256516,3213765,14.5,8.99,3.73,27.21,29065,32045,0.46,8.41,21.52,14.51,11.71,869004,44.92,10.5,8.06,19.82,38.09,18.24,549,0.01,0,0.24
040US42,12791181,5673599,7885990,709250,1491997,826326,842245,4831541,934674,862564,2229861,54.98,17.43,80.85,11.13,7.08,0.19,3.35,0.03,4.45,9.8,79,12.8,5.8,11.43,12366049,782682,6151998,828116,903178,10115851,13.9,7.74,2.55,19.4,30142,32889,0.47,9.36,19.92,16.49,11.34,2861537,46.51,15.29,3.95,32.03,31.0,126.8,1033,0.02,0,0.11
040US44,1056611,467412,673532,54587,116478,73378,78980,418646,76732,69313,174210,55.81,16.49,80.87,6.55,15.03,0.52,3.38,0.08,8.6,12.0,80,13.1,6.1,12.09,1014869,57524,527972,69762,76883,847742,13.6,6.81,2.77,20.94,31145,34619,0.47,11.15,17.31,16.19,12.14,237105,44.91,13.29,0.97,29.29,39.75,452.09,218,0.21,0,0.26
040US45,4955925,2256951,3030591,290090,619683,323640,337510,1913888,334313,321035,829083,56.98,16.73,67.25,27.03,5.56,0.34,1.52,0.06,3.81,12.87,78,16.0,6.4,16.05,4819128,366862,2227307,313820,334013,3859674,14.7,9.58,2.39,20.27,26348,27986,0.47,8.84,22.52,12.81,12.12,1075650,48.29,17.72,16.45,24.86,31.11,75.07,631,0.02,0,0.22
040US46,864289,387637,514415,60407,119006,57056,60737,331685,59203,55477,136808,59.14,15.83,84.47,1.88,3.7,8.72,1.46,0.03,3.44,8.28,75,13.6,3.5,11.89,830281,59243,442773,47405,54298,651223,11.9,9.14,2.64,19.56,30239,29801,0.45,8.49,25.12,15.85,11.42,211132,47.68,15.59,8.7,23.12,31.89,5.11,94,0.0,0,0.15
040US47,6651089,2930530,4104482,403591,840234,424822,451736,2607745,448270,415781,1045213,57.91,15.71,77.67,16.8,5.3,0.27,1.7,0.06,3.5,13.03,77,16.1,5.9,12.4,6496195,435040,3047809,437508,452747,5149695,15.4,8.48,2.52,20.06,26520,28511,0.48,8.46,21.49,14.16,11.97,1479413,48.54,18.03,9.32,24.05,33.73,71.07,639,0.02,0,0.26
040US48,27885195,10769900,17254695,1998869,4085565,1987192,1998210,11847281,1658878,1445748,3337814,64.31,11.97,74.31,12.07,39.17,0.49,4.69,0.08,8.36,16.8,74,15.5,5.4,11.3,27285450,1474232,12985624,1777695,1733345,20592509,11.5,7.19,2.43,22.19,29460,30143,0.48,9.53,21.01,12.07,11.42,5896795,45.41,14.76,7.22,19.28,38.05,41.22,2584,0.01,0,0.19
040US49,3045350,1066131,1806032,252865,518840,237276,254304,1351855,149349,139638,320269,69.73,10.52,86.43,1.18,13.86,1.07,2.29,0.89,8.14,8.04,70,10.3,3.9,10.18,2998673,123339,1452040,161074,151460,2126301,9.6,5.81,2.33,29.84,29559,28239,0.43,10.75,19.97,11.25,11.7,597666,41.16,7.73,3.47,19.26,30.14,12.97,87,0.0,0,0.1
040US50,624977,333013,393081,29676,66474,43222,45910,232496,49272,47208,113550,52.59,18.17,94.33,1.29,1.87,0.34,1.69,0.03,2.32,7.44,81,11.2,4.1,22.05,599602,38625,328742,40096,46205,506631,14.4,7.63,3.24,23.21,30486,33238,0.45,13.0,20.99,15.53,11.81,147102,44.75,13.06,6.87,31.35,29.28,36.13,65,0.01,0,
040US51,8413774,3491091,5316101,509955,1042099,547867,583501,3398107,567471,508806,1230246,58.83,14.62,68.02,19.17,9.17,0.27,6.32,0.07,6.15,10.69,78,10.9,5.0,10.39,8169581,684480,4118723,564733,592357,6546347,11.6,10.64,2.65,23.92,34014,37763,0.47,9.79,15.34,12.29,10.49,1647448,40.0,12.8,5.16,23.79,33.8,88.42,445,0.01,0,
040US53,7294336,3064381,4587962,453008,909873,444352,485160,2972063,487173,454466,1073499,59.43,14.72,76.03,3.7,12.5,1.3,8.33,0.66,9.98,8.89,78,11.5,5.3,8.61,7151776,537713,3513856,467768,476486,5661461,12.7,9.58,3.35,25.61,34148,36888,0.46,8.44,20.0,13.13,11.7,1509709,42.96,8.79,6.39,19.99,37.28,46.11,421,0.01,0,
040US54,1829054,890715,1110962,99291,209144,110333,118202,667545,132236,133367,344719,53.36,18.85,93.18,3.65,1.5,0.2,0.79,0.02,2.16,13.48,80,17.8,6.7,17.52,1781035,134508,742615,117794,124958,1455681,19.5,9.25,2.85,19.04,24507,25479,0.46,9.58,19.9,17.89,12.52,385150,51.86,20.26,15.08,33.22,27.06,37.05,68,0.0,0,
040US55,5778394,2681232,3564756,335920,728244,381105,402236,2207589,424779,379491,924695,56.62,16.0,85.59,6.38,6.68,0.87,2.76,0.03,4.36,8.07,78,11.9,4.0,12.61,5631740,342796,2964540,365843,411833,4489451,11.8,7.64,2.66,21.91,30918,32018,0.45,8.59,27.0,14.81,11.09,1433334,48.35,14.09,3.47,26.32,33.08,49.5,519,0.01,0,
040US56,581836,274985,356340,37270,78620,36734,39921,228575,40523,40114,87777,59.2,15.09,91.44,0.95,9.79,2.42,0.82,0.09,4.29,7.1,76,11.1,4.5,16.13,567639,45389,290963,32792,36165,444117,13.0,10.29,2.69,21.67,31382,32295,0.43,11.21,25.22,12.44,10.95,148096,50.9,12.62,13.61,20.47,30.57,2.83,114,0.0,0,
