HEROP_ID,TotTracts
050US13171,3
050US13181,2
050US13185,25
050US13195,6
050US13213,8
050US13217,13
050US13237,5
050US13245,47
050US13251,5
050US13269,3
050US13279,6
050US23023,9
050US23031,41
050US24001,23
050US24005,214
050US24017,31
050US24021,61
050US24031,215
050US24045,19
050US28149,12
050US28151,19
050US29041,3
050US29069,10
050US29087,3
050US29113,7
050US29159,11
050US29183,79
050US29195,8
050US29197,2
050US29201,10
050US30001,3
050US30013,22
050US30027,2
050US30031,22
050US30045,1
050US30049,14
050US30055,1
050US30059,1
050US30069,1
050US30073,2
050US30083,4
050US30099,3
050US31103,1
050US31151,4
050US32001,7
050US32003,487
050US32015,1
050US33007,11
050US33015,66
050US33017,25
050US34001,70
050US34005,114
050US34015,63
050US34019,26
050US34021,77
050US34025,144
050US34029,126
050US34035,68
050US21229,3
050US21231,5
050US22035,3
050US22045,16
050US22053,7
050US22055,43
050US06055,40
050US06059,583
050US06069,11
050US06073,628
050US06079,54
050US06083,90
050US06097,100
050US06101,21
050US06107,78
050US06113,41
050US08019,3
050US08023,2
050US08031,144
050US08037,14
050US08055,2
050US01049,14
050US01063,3
050US01087,12
050US01091,6
050US01095,18
050US01101,65
050US01107,5
050US01115,13
050US01119,4
050US01131,4
050US02090,19
050US02158,1
050US02240,2
050US04005,28
050US04009,9
050US04013,916
050US54001,4
050US54005,8
050US54021,2
050US54039,53
050US54045,9
050US54047,8
050US54063,3
050US54067,7
050US54087,4
050US54107,26
050US55003,8
050US55043,12
050US55113,6
050US56029,5
050US12086,519
050US12093,12
050US12097,41
050US13021,44
050US13029,7
050US39137,7
050US39175,6
050US40013,11
050US40027,62
050US40057,1
050US40067,3
050US40075,3
050US40095,4
050US40125,16
050US40135,9
050US40143,175
050US27011,3
050US27013,16
050US27031,3
050US27061,11
050US27073,3
050US27075,4
050US27089,4
050US27097,8
050US27127,6
050US27161,5
050US27171,17
050US28001,9
050US28011,8
050US28029,6
050US28043,5
050US28083,8
050US28087,14
050US28103,3
050US28121,27
050US35015,12
050US35039,9
050US35045,33
050US35055,6
050US36025,14
050US36031,13
050US36103,323
050US36105,24
050US36119,223
050US36123,5
050US37009,6
050US37013,11
050US37017,6
050US37023,18
050US37037,13
050US37043,2
050US37053,8
050US37057,34
050US37065,14
050US37075,3
050US37085,27
050US37089,27
050US37095,3
050US37103,3
050US37115,6
050US37123,6
050US28141,4
050US42099,10
050US42103,18
050US42127,14
050US42133,90
050US48411,2
050US48429,3
050US48449,8
050US48453,218
050US48455,5
050US48467,10
050US48473,6
050US48479,61
050US49033,1
050US49045,11
050US49047,6
050US49051,4
050US50017,10
050US50027,18
050US51007,2
050US51017,1
050US51019,17
050US51023,8
050US51033,7
050US51036,3
050US51041,71
050US51057,3
050US51067,10
050US51083,9
050US51091,1
050US51095,11
050US51107,65
050US51111,3
050US51127,3
050US51133,4
