HEROP_ID,RxCtTmDr,RxAvTmDr,RxTmDrP
050US27073,3.0,7.32,1.0
050US27075,3.0,12.05,0.75
050US27089,1.0,42.68,0.25
050US27097,6.0,13.06,0.75
050US27127,5.0,16.95,0.83
050US27161,5.0,4.7,1.0
050US27171,16.0,9.23,0.94
050US28001,9.0,7.95,1.0
050US28011,7.0,7.2,0.88
050US28029,6.0,17.88,1.0
050US28043,5.0,9.62,1.0
050US28083,8.0,7.52,1.0
050US28087,14.0,8.32,1.0
050US28103,3.0,0.0,1.0
050US28121,26.0,6.12,0.96
050US35015,12.0,4.1,1.0
050US35039,6.0,35.38,0.67
050US35045,26.0,17.02,0.79
050US35055,4.0,20.44,0.67
050US36025,12.0,14.65,0.86
050US36031,10.0,12.19,0.77
050US36103,323.0,2.57,1.0
050US36105,23.0,10.66,0.96
050US36119,223.0,1.85,1.0
050US36123,5.0,4.76,1.0
050US37009,4.0,16.63,0.67
050US37013,11.0,10.88,1.0
050US37017,5.0,12.81,0.83
050US37023,17.0,9.47,0.94
050US37037,13.0,9.86,1.0
050US37043,2.0,9.58,1.0
050US37053,7.0,13.03,0.88
050US37057,34.0,6.55,1.0
050US37065,14.0,7.41,1.0
050US37075,2.0,15.49,0.67
050US37085,27.0,8.04,1.0
050US37089,27.0,5.93,1.0
050US37095,0.0,79.51,0.0
050US37103,2.0,22.32,0.67
050US37115,3.0,20.6,0.5
050US37123,6.0,9.56,1.0
050US28141,4.0,2.88,1.0
050US42099,10.0,8.02,1.0
050US42103,13.0,19.66,0.72
050US42127,12.0,14.25,0.86
050US42133,90.0,4.58,1.0
050US48411,2.0,5.14,1.0
050US48429,3.0,4.38,1.0
050US48449,8.0,3.9,1.0
050US48453,218.0,3.31,1.0
050US48455,3.0,19.83,0.6
050US48467,10.0,6.74,1.0
050US48473,6.0,6.29,1.0
050US48479,59.0,5.25,0.97
050US49033,1.0,0.0,1.0
050US49045,8.0,33.95,0.73
050US49047,6.0,8.12,1.0
050US49051,4.0,2.26,1.0
050US50017,10.0,14.6,1.0
050US50027,15.0,13.92,0.83
050US51007,2.0,0.0,1.0
050US51017,1.0,0.0,1.0
050US51019,,,
050US51023,8.0,10.53,1.0
050US51033,6.0,16.12,0.86
050US51036,3.0,24.58,1.0
050US51041,71.0,4.53,1.0
