HEROP_ID,NoIntP
050US08097,3.19
050US13007,45.05
050US21055,29.63
050US22017,24.55
050US22115,20.37
050US26137,13.79
050US29019,11.01
050US30005,24.77
050US37029,10.5
050US40089,35.99
050US41023,19.08
050US46117,15.77
050US47091,32.41
050US39047,18.94
050US39061,13.19
050US39095,14.69
050US45055,22.21
050US45059,23.19
050US45069,38.05
050US45073,21.21
050US45083,17.65
050US45089,40.28
050US46009,24.17
050US06043,19.78
050US06095,7.58
050US08035,2.49
050US10003,9.43
050US12079,36.01
050US12113,8.24
050US13001,32.77
050US13079,23.5
050US13135,9.55
050US13311,20.62
050US47107,22.71
050US47117,19.71
050US47123,21.43
050US47143,22.94
050US47151,29.13
050US47155,17.8
050US47157,21.2
050US47165,12.41
050US47167,18.3
050US47185,24.56
050US47189,11.08
050US48001,29.0
050US48005,15.05
050US48029,14.52
050US48037,23.97
050US48043,16.41
050US48051,23.94
050US48057,19.24
050US48067,27.95
050US48091,8.74
050US48109,41.03
050US48119,24.56
050US48173,21.84
050US48187,12.04
050US48205,13.83
050US48215,27.1
050US48225,34.44
050US48263,18.68
050US48273,21.22
050US48287,20.28
050US48301,26.67
050US48311,21.85
050US48315,34.15
050US48339,7.9
050US48343,20.83
050US48349,21.56
050US48373,22.13
050US48377,46.28
050US48383,24.54
050US48405,31.9
050US48407,20.76
050US46041,40.22
050US46071,46.74
050US46075,19.85
050US46079,10.6
050US46127,12.66
050US47013,32.29
050US47021,16.79
050US47031,21.63
050US47035,18.25
050US47037,11.35
050US47041,24.99
050US47065,16.59
050US47089,20.15
050US56003,17.12
050US56013,17.92
050US56031,27.1
050US56035,10.69
050US01041,30.51
050US02100,13.21
050US04001,58.59
050US05001,27.89
050US05029,29.93
050US05057,24.41
050US39115,26.0
050US40113,22.83
050US41015,16.89
050US42049,15.69
050US42101,19.15
050US45009,34.16
050US45057,17.08
050US45087,30.55
050US47025,32.17
050US47053,23.2
050US47135,37.19
050US47163,17.76
050US48089,24.59
050US48135,15.61
050US48203,27.53
050US48323,36.31
050US48351,25.4
050US48379,21.02
050US48409,25.24
050US48465,28.45
050US49007,15.86
050US49019,6.25
050US51005,25.71
050US51029,30.05
050US51089,26.6
050US51141,27.11
050US51193,23.3
050US53011,7.2
050US53045,13.11
050US54025,22.12
050US55001,21.43
050US08027,12.74
050US08051,9.42
050US05041,40.83
050US13261,29.3
050US18179,16.22
050US22111,40.48
050US23003,23.8
050US40133,30.28
050US35019,57.23
050US37105,17.14
050US37125,14.91
050US19035,18.39
050US20033,20.91
050US20149,10.93
050US21027,26.45
050US21147,37.08
050US21175,28.04
050US22005,10.65
050US22015,20.23
050US22025,36.98
050US22037,30.05
050US22091,33.63
050US22109,21.79
050US24029,21.82
050US24047,14.13
050US26055,11.09
050US27015,16.0
050US27167,17.85
050US28051,49.71
050US29013,24.87
050US29095,14.43
050US30053,18.97
050US35033,45.01
050US36059,8.01
050US38003,18.64
050US38055,16.73
050US40055,25.51
050US40117,28.27
050US42043,15.09
050US42097,24.07
050US45015,14.21
050US45067,41.38
050US47009,18.64
050US47129,25.17
050US48065,17.83
050US48157,5.87
050US12057,9.91
050US12089,9.57
050US13025,23.58
050US39167,22.32
050US40023,32.52
050US18007,17.05
050US18051,18.61
050US18123,21.93
050US20083,17.86
050US20203,18.09
050US21079,18.07
050US21123,19.46
050US21209,11.63
050US22065,40.66
050US22105,19.45
050US23025,19.58
050US26007,19.24
050US28017,35.78
050US48419,26.49
050US54083,26.52
050US06063,19.12
050US48129,33.93
050US48313,25.39
050US53027,14.32
050US54059,25.51
050US05119,17.35
050US06093,16.92
050US02170,10.41
050US13075,27.46
050US25005,14.39
050US13303,29.64
050US17017,19.81
050US22043,32.51
050US22127,24.68
050US10001,12.73
050US12075,28.53
050US27021,18.41
050US28089,12.81
050US29227,24.45
050US30043,15.1
050US30081,15.28
050US34027,6.68
050US36075,12.64
050US37021,15.08
050US37107,19.93
050US37145,19.07
050US37193,22.0
050US40141,24.47
050US41031,17.11
050US41047,10.75
050US27087,24.82
050US27173,17.54
050US28109,19.2
050US29027,19.76
050US30009,17.88
050US30033,20.55
050US31033,17.38
050US34031,16.79
050US35017,24.96
050US36009,23.43
050US36061,11.53
050US36071,14.07
050US37015,36.95
050US37101,18.44
050US37131,40.19
050US37159,17.04
050US37183,5.91
050US13201,47.32
050US13265,45.7
050US44009,8.15
050US45003,18.25
050US45007,18.28
050US45017,26.77
050US45035,14.02
050US45041,23.59
050US45045,14.3
050US45051,11.77
050US30007,21.53
050US30093,18.4
050US37051,12.77
050US37139,18.58
050US45061,38.58
050US46055,28.35
050US47045,20.17
050US47127,27.16
050US51081,31.26
050US51105,36.04
050US51195,23.14
050US54007,29.29
050US54099,28.19
050US42031,18.72
050US01009,23.9
050US01047,27.08
050US05073,34.2
050US06027,16.01
050US06053,13.66
050US06099,13.24
050US08111,15.57
050US12045,23.26
050US12105,18.01
050US12121,19.06
050US16041,10.03
050US16079,22.61
