HEROP_ID,Age18_64,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age55_59,Age60_64,AgeOv65,Und45P,HispP,AsianP,NoHsP,ChildrenP,Age45_49,Age50_54,AgeOv18,EssnWrkE,AreaSqMi,AlcTot,AlcDens,AlcPerCap,Ndvi
050US22037,12664,954,1991,1115,1181,7337,1570,1603,3216,52.73,1.61,0.26,20.21,0.19,1333,1495,15880,3494.0,453.4,3.0,0.01,0.0,0.26
050US22091,6228,577,1317,640,556,3917,668,824,1910,55.82,0.35,0.41,24.33,0.22,761,437,8138,1967.0,408.41,,,,0.24
050US22109,68487,8036,16194,7038,7438,44585,7435,6501,15227,61.12,5.12,0.93,21.49,0.26,7027,7582,83714,25101.0,1229.82,2.0,0.0,0.0,0.16
050US24029,11407,792,1806,1615,1451,6698,1566,1379,5044,47.45,4.33,1.27,12.0,0.16,1003,1305,16451,4259.0,277.03,6.0,0.02,0.0,0.18
050US24047,28735,2158,5219,2534,2504,15071,3922,4253,13839,43.53,3.42,1.33,9.14,0.17,3270,3832,42574,10765.0,468.29,16.0,0.03,0.0,0.13
050US26055,56035,4889,10607,5250,4899,32651,7288,6900,16856,52.48,2.82,0.58,4.81,0.21,5839,6716,72891,21502.0,464.34,15.0,0.03,0.0,0.19
050US27015,14517,1392,3218,1667,1649,8679,1924,1793,5151,52.71,4.27,0.56,7.43,0.22,1372,1682,19668,7215.0,611.08,5.0,0.01,0.0,0.13
050US27167,3749,352,758,416,307,2101,540,494,1204,50.62,0.82,0.0,6.05,0.22,366,528,4953,1533.0,751.0,2.0,0.0,0.0,0.14
050US28051,10789,1202,2742,1451,1537,7202,1228,1030,2557,61.67,0.25,0.04,24.91,0.26,1058,1056,13346,3027.0,756.67,2.0,0.0,0.0,0.24
050US29013,9327,997,2224,1024,860,5536,1204,1141,3134,53.48,2.15,0.23,13.34,0.24,940,1198,12461,4383.0,836.69,1.0,0.0,0.0,0.19
050US29095,428185,46674,91627,41640,43240,277607,47533,41521,98843,60.1,8.86,1.86,9.7,0.24,42138,46060,527028,154089.0,604.51,88.0,0.15,0.0,0.14
050US30053,10599,820,1921,1107,740,5209,1640,2085,5228,41.07,2.97,0.5,12.17,0.18,1046,1409,15827,3605.0,3612.5,5.0,0.0,0.0,0.19
050US35033,2560,254,470,319,241,1343,386,359,1151,45.3,81.11,0.0,8.36,0.19,300,300,3711,860.0,1926.24,,,,0.09
050US36059,829295,74241,165715,89088,86910,494252,101140,90331,232164,54.12,16.63,9.27,8.75,0.22,94632,104089,1061459,254329.0,284.59,245.0,0.86,0.0,0.11
