HEROP_ID,RcaUrbanP,RcaSubrbP,RcaRuralP,CenFlags,CenRuralP
050US47019,0.65,0.35,0.0,,0.41
050US47029,0.0,0.33,0.67,,0.68
050US47049,0.0,0.0,1.0,,1.0
050US47063,0.92,0.08,0.0,,0.22
050US47073,0.38,0.31,0.31,,0.58
050US47081,0.0,0.33,0.67,,1.0
050US47097,0.0,0.0,1.0,,0.59
050US47121,0.0,0.33,0.67,,1.0
050US47149,0.92,0.08,0.0,,0.17
050US47173,0.0,1.0,0.0,,1.0
050US48007,0.0,0.83,0.17,,0.27
050US25001,0.93,0.0,0.07,,0.07
050US25013,0.95,0.05,0.0,,0.09
050US25025,0.98,0.0,0.02,1.0,0.0
050US26033,0.0,0.25,0.75,,0.49
050US26053,0.0,0.0,1.0,,0.68
050US26063,0.0,0.0,1.0,,0.89
050US26097,0.0,0.0,1.0,,0.77
050US26115,0.67,0.26,0.08,,0.38
050US13283,0.0,0.0,1.0,,0.59
050US13289,0.0,1.0,0.0,,1.0
050US13313,0.78,0.22,0.0,,0.29
050US13317,0.0,0.0,1.0,,0.67
050US15001,0.0,0.34,0.66,,0.38
050US15009,0.26,0.5,0.24,,0.15
050US16059,0.0,0.0,1.0,,0.61
050US16073,0.0,0.67,0.33,,0.77
050US16083,0.0,0.57,0.43,,0.28
050US16087,0.0,0.0,1.0,,0.46
050US17027,0.0,0.38,0.62,,0.49
050US17031,1.0,0.0,0.0,,0.0
050US17047,0.0,0.0,1.0,,1.0
050US49029,0.0,1.0,0.0,,0.63
050US49035,1.0,0.0,0.0,,0.01
050US49043,0.0,0.69,0.31,,0.39
050US49049,0.94,0.05,0.01,,0.03
050US51015,0.15,0.77,0.08,,0.66
050US51037,0.0,0.0,1.0,,1.0
050US51051,0.0,0.0,1.0,,1.0
050US51053,0.29,0.57,0.14,,0.71
050US51069,0.57,0.43,0.0,,0.45
050US51073,0.38,0.62,0.0,,0.65
050US51085,0.61,0.39,0.0,,0.39
050US51099,0.0,0.2,0.8,,0.73
050US51125,0.0,0.67,0.33,,1.0
050US51131,0.0,0.0,1.0,,1.0
050US51137,0.0,0.4,0.6,,0.58
050US51145,0.0,1.0,0.0,,1.0
050US51149,0.71,0.29,0.0,,0.53
050US51161,0.89,0.11,0.0,,0.19
050US51177,0.73,0.23,0.03,,0.32
050US51185,0.0,0.18,0.82,,0.52
050US51199,0.87,0.07,0.07,1.0,0.06
050US53005,0.81,0.14,0.05,,0.11
050US53007,0.5,0.29,0.21,,0.27
050US53009,0.0,0.59,0.41,,0.35
050US53015,0.67,0.33,0.0,,0.29
050US53025,0.0,0.31,0.69,,0.39
050US53031,0.0,0.0,1.0,,0.57
050US53037,0.0,0.5,0.5,,0.4
050US53043,0.0,0.25,0.75,,1.0
050US12077,0.0,1.0,0.0,,1.0
050US05061,0.0,0.0,1.0,,0.68
050US05093,0.0,0.42,0.58,,0.36
050US05095,0.0,0.0,1.0,,0.69
050US05099,0.0,0.0,1.0,,0.69
050US05103,0.0,0.5,0.5,1.0,0.56
050US05109,0.0,0.0,1.0,,1.0
050US05117,0.0,0.33,0.67,,1.0
050US05133,0.0,0.0,1.0,,0.64
050US05147,0.0,0.0,1.0,,1.0
050US06045,0.0,0.48,0.52,,0.45
050US06051,0.0,0.0,1.0,,0.46
050US24011,0.0,0.33,0.67,,0.76
050US24033,0.97,0.03,0.0,,0.02
050US24043,0.78,0.19,0.03,,0.29
050US25007,0.0,0.6,0.4,,0.39
050US25017,0.99,0.01,0.0,,0.03
050US26041,0.0,0.46,0.54,,0.44
050US26099,0.97,0.02,0.01,,0.03
050US26103,0.0,0.68,0.32,,0.41
050US26135,0.0,0.0,1.0,,1.0
050US26147,0.64,0.34,0.02,,0.39
050US26163,0.99,0.0,0.01,1.0,0.01
050US27023,0.0,0.0,1.0,,0.5
050US27053,0.99,0.01,0.0,,0.02
050US27077,0.0,0.0,1.0,,1.0
050US27091,0.0,0.0,1.0,,0.54
050US27129,0.0,0.0,1.0,,1.0
050US27139,0.76,0.24,0.0,,0.17
050US27163,0.82,0.18,0.0,,0.14
050US28007,0.0,0.0,1.0,,0.64
050US28033,0.91,0.09,0.0,,0.2
050US28055,0.0,0.0,1.0,,1.0
050US28075,0.0,0.68,0.32,,0.48
050US28143,0.0,0.0,1.0,,0.66
