HEROP_ID,Age15_24P,ForDqP,ForDqTot
050US28033,13.66,11.24,139.39
050US28055,6.25,18.0,17.0
050US28075,13.28,12.42,54.39
050US28143,8.86,19.8,72.5
050US28157,12.39,13.9,44.5
050US28163,12.74,17.18,69.33
050US29023,12.23,8.81,39.11
050US29029,10.32,6.32,51.45
050US29031,17.88,6.21,31.81
050US29033,11.24,10.87,39.33
050US17075,11.7,13.97,64.22
050US17129,10.97,7.13,51.33
050US17161,12.5,10.26,51.39
050US17175,11.87,11.65,47.5
050US17185,10.81,12.45,47.5
050US18009,11.48,19.42,106.0
050US18035,23.25,17.49,93.61
050US18067,12.04,19.4,144.65
050US18083,16.64,16.35,86.3
050US18159,12.2,17.25,118.0
050US18175,12.25,13.82,78.0
050US49025,12.27,7.8,62.0
050US05003,12.66,13.16,43.71
050US05007,12.42,8.93,116.74
050US05013,11.63,14.0,31.0
050US05045,19.4,5.41,33.57
050US13051,14.67,9.76,50.74
050US13077,12.81,9.32,200.3
050US13123,11.18,9.58,99.0
050US13133,9.12,11.92,48.4
050US13137,14.42,12.11,110.29
050US13139,13.59,10.2,115.41
050US13143,11.94,13.65,139.0
050US13157,11.52,12.16,170.14
050US13171,18.91,17.1,116.67
050US13181,10.98,13.85,54.0
050US13185,21.04,10.52,52.15
050US13195,12.26,11.27,62.17
050US13213,12.97,17.69,95.86
050US13217,14.48,19.3,338.0
050US13237,10.79,10.37,103.33
050US13245,15.36,11.67,74.75
050US13251,13.35,17.32,41.0
050US13269,14.06,13.27,24.33
050US13279,12.28,17.7,63.5
050US23023,9.76,6.58,45.78
050US23031,11.25,8.38,77.5
050US24001,15.96,8.26,33.48
050US24005,12.7,7.75,60.03
050US24017,13.61,10.46,185.29
050US24021,13.03,6.79,114.72
050US24031,11.84,5.81,66.64
050US24045,18.96,9.18,76.71
050US28149,12.85,18.08,93.82
050US28151,13.81,17.51,57.44
050US29041,10.93,8.97,18.0
050US29069,12.62,12.91,49.5
050US29087,8.62,12.07,20.33
050US29113,13.38,10.96,199.6
050US29159,13.03,8.95,37.73
050US29183,12.78,5.83,80.04
050US29195,14.93,7.86,26.25
050US29197,12.57,11.8,13.5
050US29201,12.06,13.34,70.5
050US30001,17.97,3.3,10.33
050US30013,13.26,3.93,16.74
050US30027,9.53,4.45,24.5
050US30031,19.18,3.65,38.43
050US30045,9.07,3.7,4.0
050US30049,11.84,4.08,27.92
050US30055,9.63,4.2,5.0
050US30059,7.32,6.8,11.0
050US30069,4.63,7.8,1.0
050US30073,12.08,7.57,10.33
050US30083,12.61,4.62,9.25
050US30099,11.22,5.47,10.33
050US31103,14.65,16.3,4.0
050US31151,16.79,8.65,29.5
050US32001,12.54,9.96,66.86
050US32003,12.41,22.0,234.69
050US32015,11.31,11.35,23.5
050US33007,10.41,12.91,47.0
050US33015,11.68,6.44,64.73
050US33017,19.47,7.45,61.75
050US34001,13.18,10.3,87.58
050US34005,12.58,8.57,59.33
050US34015,13.2,8.74,79.98
050US34019,13.78,4.36,40.92
050US34021,15.19,9.69,71.73
050US34025,12.76,6.97,61.23
050US34029,11.22,7.76,78.6
050US34035,12.58,6.49,58.94
050US21229,12.81,14.63,50.0
050US21231,11.63,15.17,46.83
050US22035,16.18,13.23,28.0
050US22045,13.13,10.52,43.73
050US22053,13.05,10.64,47.86
050US22055,13.47,6.71,37.2
050US06055,12.75,8.5,76.74
050US06059,13.52,10.41,87.17
050US06069,14.43,17.16,228.5
050US06073,14.28,11.94,103.44
050US06079,18.49,6.96,70.45
050US06083,19.58,10.87,73.28
050US06097,11.98,9.26,93.94
050US06101,13.34,20.94,186.67
050US06107,15.48,18.92,155.49
050US06113,23.62,13.93,119.89
050US08019,9.63,8.93,55.67
050US08023,12.8,19.45,25.0
050US08031,10.99,10.02,81.29
050US08037,11.37,4.51,44.57
050US08055,7.23,13.17,39.33
050US01049,12.65,9.61,41.36
050US01063,12.79,15.03,39.0
050US01087,21.64,12.74,31.4
050US01091,11.98,14.07,44.17
050US01095,12.43,7.93,55.53
050US01101,14.12,11.6,69.65
050US01107,12.4,14.46,54.2
050US01115,11.49,8.43,92.78
050US01119,23.65,15.64,29.8
050US01131,13.99,19.08,32.0
050US02090,17.1,5.33,26.42
050US02158,17.13,,
050US02240,12.19,5.73,8.67
050US04005,23.98,9.19,42.96
050US04009,15.27,11.0,39.12
050US04013,13.56,15.73,176.07
050US54001,15.93,10.3,35.25
050US54005,11.27,10.31,29.29
050US54021,18.04,7.2,14.5
050US54039,11.11,7.3,34.88
050US54045,10.63,9.78,32.33
050US54047,9.88,17.31,26.0
050US54063,9.79,11.43,49.67
050US54067,10.11,10.59,35.57
050US54087,10.55,13.4,39.75
050US54107,11.38,8.09,35.81
050US55003,13.87,9.86,25.38
050US55043,21.45,10.89,47.0
050US55113,9.49,8.32,37.0
050US56029,11.88,3.04,18.6
050US12086,12.25,24.66,289.56
050US12093,12.51,15.85,114.5
050US12097,13.96,27.18,417.0
050US13021,14.29,16.14,76.27
050US13029,12.81,5.13,116.67
050US39137,12.08,15.44,105.86
050US39175,11.87,13.0,68.67
050US40013,13.73,10.66,33.3
050US40027,18.47,6.59,45.85
050US40057,8.09,13.3,40.0
050US40067,12.15,21.37,42.67
050US40075,11.1,14.07,52.33
050US40095,12.07,11.33,54.0
050US40125,14.26,9.48,43.67
050US40135,12.69,9.27,62.86
050US40143,13.13,7.75,37.69
050US27011,9.95,9.23,20.33
050US27013,25.24,6.28,28.94
050US27031,8.57,4.27,13.0
050US27061,10.72,9.89,58.0
050US27073,10.38,10.8,26.67
050US27075,8.83,5.68,29.0
050US27089,11.05,11.82,27.75
050US27097,11.07,10.35,51.0
050US27127,11.72,12.3,37.67
050US27161,11.73,9.76,60.6
050US27171,12.06,12.03,158.59
050US28001,11.49,10.31,46.89
050US28011,15.18,13.07,68.0
050US28029,14.85,17.57,72.17
050US28043,12.71,12.64,67.8
050US28083,15.91,15.86,64.25
050US28087,13.91,11.88,77.08
050US28103,14.53,26.47,82.67
050US28121,12.03,8.67,73.0
050US35015,13.48,8.81,42.75
050US35039,12.64,8.56,19.36
050US35045,13.35,6.86,28.43
050US35055,12.07,6.92,38.67
050US36025,14.03,8.58,28.07
050US36031,10.65,7.62,24.15
050US36103,13.3,10.34,91.3
050US36105,11.9,9.87,38.17
050US36119,12.98,6.56,30.9
050US36123,15.08,6.3,33.8
050US37009,9.65,7.84,31.57
