HEROP_ID,DsmBlk,IntrBlkWht,IsoBlk,DsmHsp,IntrHspWht,IsoHsp,DsmAs,IntrAsWht,IsoAs
050US55129,0.28,0.93,0.01,0.28,0.93,0.02,0.41,0.93,0.01
050US55131,0.42,0.91,0.03,0.26,0.92,0.04,0.43,0.92,0.03
050US55133,0.5,0.83,0.04,0.36,0.83,0.1,0.46,0.84,0.08
050US55135,0.48,0.94,0.01,0.27,0.93,0.04,0.51,0.94,0.01
050US55137,0.53,0.86,0.05,0.38,0.86,0.11,0.39,0.86,0.01
050US55139,0.45,0.84,0.06,0.27,0.87,0.06,0.37,0.86,0.05
050US55141,0.53,0.91,0.02,0.33,0.89,0.05,0.43,0.88,0.04
050US56001,0.49,0.8,0.02,0.22,0.8,0.13,0.3,0.82,0.05
050US56003,0.24,0.87,0.01,0.18,0.86,0.1,0.39,0.88,0.01
050US56005,0.66,0.89,0.01,0.2,0.85,0.1,0.4,0.87,0.01
050US56007,0.37,0.71,0.02,0.36,0.69,0.27,0.52,0.75,0.02
050US56009,0.69,0.8,0.0,0.25,0.86,0.1,0.69,0.8,0.0
050US56011,0.4,0.94,0.0,0.39,0.94,0.02,0.4,0.94,0.01
050US56013,0.57,0.71,0.02,0.3,0.68,0.09,0.74,0.6,0.0
050US56015,0.53,0.83,0.0,0.1,0.85,0.11,0.3,0.85,0.01
050US56017,0.0,0.0,0.0,0.16,0.93,0.03,0.0,0.0,0.0
050US56019,0.3,0.92,0.01,0.25,0.92,0.03,0.0,0.0,0.0
050US56021,0.25,0.78,0.03,0.3,0.73,0.21,0.38,0.79,0.02
050US56023,0.65,0.9,0.0,0.12,0.92,0.05,0.24,0.91,0.0
050US56025,0.57,0.81,0.05,0.19,0.85,0.1,0.33,0.86,0.01
050US56027,0.0,0.89,0.01,0.0,0.89,0.05,0.0,0.89,0.01
050US56029,0.45,0.89,0.0,0.24,0.9,0.07,0.49,0.88,0.01
050US56031,0.75,0.87,0.0,0.1,0.88,0.08,0.06,0.89,0.01
050US56033,0.3,0.92,0.01,0.18,0.91,0.05,0.22,0.92,0.01
050US56035,0.0,0.0,0.0,0.13,0.9,0.08,0.08,0.89,0.0
050US56037,0.61,0.78,0.03,0.18,0.78,0.18,0.39,0.79,0.01
050US56039,0.26,0.79,0.01,0.27,0.78,0.19,0.62,0.87,0.04
050US56041,0.38,0.88,0.0,0.25,0.85,0.11,0.45,0.87,0.0
050US56043,0.59,0.88,0.0,0.17,0.8,0.16,0.0,0.0,0.0
050US56045,0.55,0.89,0.01,0.41,0.89,0.02,0.14,0.92,0.05
