HEROP_ID,BupCtTmDr,BupCtTmBk,BupCtTmWk,MetCtTmDr,MetCtTmBk,MetCtTmWk,NalCtTmDr,NalCtTmBk,NalCtTmWk,BupAvTmDr,BupAvTmBk,BupAvTmWk,MetAvTmDr,MetAvTmBk,MetAvTmWk,NalAvTmDr,NalAvTmBk,NalAvTmWk,BupTmDrP,BupTmBkP,BupTmWkP,MetTmDrP,MetTmBkP,MetTmWkP,NalTmDrP,NalTmBkP,NalTmWkP
050US26151,10.0,5.0,,0.0,,,1.0,0.0,,18.49,58.19,,84.18,,,50.7,183.82,,0.77,0.38,,0.0,,,0.08,0.0,
050US17079,1.0,0.0,,,,,1.0,0.0,,32.79,120.32,,,,,36.21,133.86,,0.33,0.0,,,,,0.33,0.0,
050US51021,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,42.92,148.6,444.45,64.26,216.82,,43.18,162.24,475.58,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
050US40109,241.0,231.0,139.0,236.0,122.0,,236.0,150.0,,4.28,11.08,31.3,10.63,34.65,,9.06,29.63,,1.0,0.96,0.58,0.98,0.51,,0.98,0.62,
050US40083,7.0,2.0,1.0,3.0,0.0,,6.0,0.0,,16.04,70.0,196.65,34.05,159.56,,27.3,120.54,,0.88,0.25,0.12,0.38,0.0,,0.75,0.0,
050US40137,10.0,7.0,,0.0,,,0.0,,,11.1,41.24,,45.29,,,82.79,,,0.91,0.64,,0.0,,,0.0,,
050US29123,2.0,0.0,0.0,0.0,,,2.0,2.0,1.0,34.63,180.01,554.79,77.4,,,13.59,65.92,193.32,0.67,0.0,0.0,0.0,,,0.67,0.67,0.33
050US29187,10.0,6.0,5.0,0.0,,,10.0,4.0,,10.05,27.33,80.12,88.52,,,16.32,51.76,,0.91,0.55,0.45,0.0,,,0.91,0.36,
050US41041,16.0,10.0,8.0,0.0,,,5.0,,,11.06,35.69,147.89,114.95,,,42.55,,,0.89,0.56,0.44,0.0,,,0.28,,
050US17155,2.0,0.0,,0.0,0.0,,0.0,0.0,,28.22,167.04,,54.08,175.2,,43.36,137.78,,1.0,0.0,,0.0,0.0,,0.0,0.0,
050US18023,8.0,4.0,3.0,0.0,0.0,,8.0,4.0,3.0,11.01,30.61,90.19,39.06,161.22,,11.01,30.71,90.63,1.0,0.5,0.38,0.0,0.0,,1.0,0.5,0.38
050US18063,21.0,17.0,9.0,17.0,0.0,,20.0,8.0,,6.27,19.12,55.85,27.28,112.15,,12.1,42.33,,1.0,0.81,0.43,0.81,0.0,,0.95,0.38,
050US18145,10.0,6.0,2.0,1.0,,,10.0,7.0,5.0,9.56,30.91,94.42,41.26,,,8.2,26.41,80.24,1.0,0.6,0.2,0.1,,,1.0,0.7,0.5
050US26161,100.0,86.0,61.0,97.0,47.0,,100.0,75.0,,4.88,14.37,35.31,11.96,40.12,,7.53,23.2,,1.0,0.86,0.61,0.97,0.47,,1.0,0.75,
050US38041,0.0,0.0,0.0,,,,0.0,,,76.87,369.21,798.83,,,,79.08,,,0.0,0.0,0.0,,,,0.0,,
050US40063,0.0,0.0,,0.0,,,0.0,0.0,,51.18,234.3,,59.76,,,53.99,242.23,,0.0,0.0,,0.0,,,0.0,0.0,
050US35023,1.0,1.0,1.0,,,,0.0,,,22.76,113.44,173.16,,,,92.16,,,0.5,0.5,0.5,,,,0.0,,
050US37157,21.0,11.0,5.0,2.0,0.0,,15.0,4.0,,9.15,28.2,81.61,36.77,140.38,,20.62,62.38,,1.0,0.52,0.24,0.1,0.0,,0.71,0.19,
050US37195,19.0,11.0,,19.0,9.0,,19.0,11.0,,7.79,29.19,,12.01,42.47,,8.19,30.54,,1.0,0.58,,1.0,0.47,,1.0,0.58,
050US31181,2.0,1.0,1.0,,,,1.0,,,10.62,56.91,146.65,,,,38.6,,,1.0,0.5,0.5,,,,0.5,,
050US37151,27.0,13.0,8.0,14.0,0.0,,27.0,6.0,,11.99,40.84,119.88,28.62,113.91,,16.32,56.91,,0.96,0.46,0.29,0.5,0.0,,0.96,0.21,
050US17101,5.0,3.0,2.0,0.0,,,4.0,0.0,,9.14,26.25,77.57,98.34,,,24.13,88.66,,1.0,0.6,0.4,0.0,,,0.8,0.0,
050US12003,3.0,2.0,2.0,0.0,0.0,,0.0,0.0,,11.38,31.68,93.31,40.22,184.29,,41.14,166.78,,0.75,0.5,0.5,0.0,0.0,,0.0,0.0,
050US53003,6.0,5.0,4.0,,,,6.0,5.0,3.0,4.82,14.26,41.84,,,,6.04,17.18,50.56,1.0,0.83,0.67,,,,1.0,0.83,0.5
050US19011,2.0,0.0,,1.0,,,1.0,,,35.44,156.62,,45.11,,,44.0,,,0.29,0.0,,0.14,,,0.14,,
050US31007,1.0,0.0,,,,,0.0,0.0,,25.2,352.6,,,,,30.22,365.17,,1.0,0.0,,,,,0.0,0.0,
