HEROP_ID,Age15_24P,ForDqP,ForDqTot,TotPcp,TotSp
140US01051030702,15.01,,,8.0,1.0
140US01051030800,17.68,7.8,42.0,0.0,0.0
140US01051030901,16.38,,,0.0,0.0
140US01051030902,13.62,,,0.0,1.0
140US01051031000,16.1,5.5,58.0,0.0,0.0
140US01051031100,14.21,6.5,52.0,1.0,0.0
140US01051031200,12.82,9.3,16.0,0.0,0.0
140US01051031300,14.52,10.5,51.0,2.0,1.0
140US01053969800,11.78,16.5,92.0,0.0,0.0
140US01053969900,7.37,13.4,57.0,0.0,0.0
140US01053970100,8.72,11.4,85.0,12.0,11.0
140US01053970200,12.93,13.9,28.0,0.0,0.0
140US01053970300,8.95,12.9,40.0,1.0,0.0
140US01053970400,8.66,13.9,20.0,3.0,0.0
140US01053970500,17.73,13.1,67.0,0.0,0.0
140US01053970600,19.18,18.5,50.0,0.0,0.0
140US01053970700,13.96,11.8,50.0,7.0,4.0
140US01055000200,16.21,11.4,48.0,4.0,2.0
140US01055000300,14.01,14.0,18.0,1.0,0.0
140US01055000400,7.02,8.1,56.0,0.0,0.0
140US01055000500,6.27,13.1,27.0,1.0,0.0
140US01055000600,14.95,12.6,35.0,1.0,0.0
140US01055000700,11.42,13.6,15.0,0.0,0.0
140US01055000800,21.8,15.1,26.0,1.0,1.0
140US01055000900,15.76,13.0,42.0,0.0,0.0
140US01055001000,15.2,13.8,21.0,0.0,0.0
140US01055001100,10.05,5.1,43.0,5.0,3.0
140US01055001200,4.92,10.2,36.0,23.0,56.0
140US01055001300,29.0,12.0,32.0,8.0,10.0
140US01055001600,16.45,12.6,67.0,0.0,0.0
140US01055001700,14.62,13.7,24.0,5.0,0.0
140US01055010100,17.42,10.6,23.0,1.0,2.0
140US01055010200,10.8,11.4,78.0,0.0,0.0
140US01055010300,14.31,9.9,24.0,0.0,0.0
140US01055010401,13.67,,,2.0,2.0
140US01055010402,6.74,,,9.0,4.0
140US01055010501,11.61,6.2,89.0,3.0,0.0
140US01055010502,6.55,8.3,60.0,1.0,0.0
140US01055010601,9.76,,,1.0,0.0
140US01055010602,11.06,,,0.0,0.0
140US01055010700,12.56,9.0,35.0,2.0,1.0
140US01055010800,14.37,9.5,23.0,0.0,1.0
140US01055010900,9.87,9.8,16.0,0.0,0.0
140US01055011001,15.23,,,1.0,1.0
140US01055011002,11.0,,,0.0,0.0
140US01055011100,15.67,10.5,40.0,0.0,0.0
140US01055011200,12.94,,,12.0,29.0
140US01057020000,9.3,11.8,11.0,0.0,0.0
140US01057020100,15.36,9.3,29.0,4.0,2.0
140US01057020200,13.81,11.8,56.0,5.0,1.0
140US01057020300,8.67,12.9,64.0,3.0,1.0
140US01057020400,11.57,12.6,27.0,0.0,0.0
140US01059972900,14.07,12.6,49.0,0.0,0.0
140US01059973000,20.64,12.9,80.0,10.0,11.0
140US01059973100,11.33,13.6,42.0,2.0,1.0
140US01059973200,11.32,12.3,66.0,1.0,1.0
140US01059973300,9.2,15.7,33.0,1.0,1.0
140US01059973400,10.17,12.8,45.0,4.0,0.0
140US01059973500,11.64,11.1,26.0,0.0,0.0
140US01059973600,14.19,16.9,23.0,0.0,0.0
140US01059973700,13.87,15.5,77.0,0.0,0.0
140US01061050100,13.3,16.1,74.0,1.0,0.0
140US01061050200,7.79,13.3,25.0,0.0,0.0
140US01061050300,9.87,13.6,85.0,5.0,0.0
140US01061050400,9.7,9.7,59.0,0.0,0.0
140US01061050500,14.87,9.9,46.0,0.0,0.0
140US01061050600,13.08,10.5,44.0,0.0,0.0
140US01063060000,10.42,13.0,15.0,0.0,0.0
140US01063060100,9.79,15.5,58.0,2.0,0.0
140US01063060200,17.79,16.6,44.0,0.0,0.0
140US01065040000,10.97,7.9,43.0,0.0,0.0
140US01065040100,8.98,10.8,15.0,0.0,0.0
140US01065040200,8.52,15.6,25.0,0.0,0.0
140US01065040300,20.93,16.9,19.0,0.0,0.0
140US01065040400,15.64,14.4,52.0,2.0,2.0
140US01065040500,8.89,13.6,14.0,0.0,0.0
140US01067030100,10.99,15.1,24.0,0.0,0.0
140US01067030200,16.11,14.7,60.0,3.0,0.0
140US01067030300,12.65,12.9,48.0,0.0,0.0
140US01067030400,12.94,12.7,32.0,0.0,0.0
140US01067030500,9.46,9.7,80.0,1.0,0.0
140US01067030600,11.39,10.6,14.0,0.0,0.0
140US01069040100,14.95,7.9,55.0,3.0,4.0
140US01069040201,9.98,4.7,80.0,17.0,62.0
140US01069040202,10.82,5.3,80.0,26.0,24.0
140US01069040301,14.46,,,1.0,10.0
140US01069040302,13.73,,,0.0,0.0
140US01069040400,10.65,5.7,28.0,1.0,7.0
140US01069040500,9.92,6.0,30.0,5.0,14.0
140US01069040600,11.18,11.5,13.0,0.0,1.0
140US01069040700,17.24,9.2,28.0,0.0,0.0
140US01069040800,10.7,6.2,59.0,0.0,6.0
140US01069040900,12.99,7.2,54.0,0.0,0.0
140US01069041000,14.29,10.8,83.0,27.0,119.0
140US01069041100,14.13,9.9,53.0,0.0,0.0
140US01069041200,11.52,10.1,20.0,0.0,0.0
140US01069041400,13.98,10.4,30.0,1.0,3.0
140US01069041500,11.64,12.4,79.0,0.0,2.0
140US01069041600,12.43,10.3,64.0,0.0,0.0
140US01069041700,8.08,12.5,20.0,0.0,0.0
140US01069041800,10.78,12.9,22.0,0.0,0.0
140US01069041900,13.64,9.2,73.0,4.0,2.0
140US01069042000,10.39,9.9,55.0,0.0,0.0
140US01069042100,10.24,8.3,81.0,1.0,1.0
140US01071950100,13.46,12.5,82.0,0.0,0.0
140US01071950200,13.98,12.6,52.0,3.0,0.0
140US01071950300,9.65,13.0,83.0,2.0,0.0
140US01071950400,12.82,9.4,22.0,0.0,0.0
140US01071950500,14.26,9.0,33.0,0.0,0.0
140US01071950600,11.44,11.3,76.0,0.0,1.0
140US01071950700,11.66,8.3,33.0,1.0,2.0
140US01071950800,9.45,8.3,41.0,24.0,18.0
140US01071950900,8.4,6.7,72.0,1.0,9.0
140US01071951000,7.74,10.8,36.0,0.0,0.0
140US01071951100,10.98,8.6,49.0,0.0,0.0
140US01073000100,12.05,16.0,135.0,2.0,1.0
140US01073000300,11.64,16.0,30.0,3.0,1.0
140US01073000400,11.58,17.8,127.0,0.0,1.0
140US01073000500,7.83,19.6,78.0,0.0,0.0
140US01073000700,14.94,20.2,47.0,0.0,0.0
140US01073000800,8.94,19.3,117.0,2.0,0.0
140US01073001100,13.01,18.4,199.0,0.0,0.0
140US01073001200,5.08,20.3,93.0,0.0,0.0
140US01073001400,18.36,18.7,62.0,0.0,0.0
140US01073001500,10.31,18.5,31.0,0.0,0.0
140US01073001600,5.89,19.0,92.0,6.0,8.0
140US01073001902,17.15,17.7,60.0,0.0,0.0
140US01073002000,11.13,17.6,113.0,0.0,0.0
140US01073002100,6.81,15.4,111.0,0.0,0.0
140US01073002200,16.91,17.0,99.0,0.0,3.0
140US01073002303,14.91,15.0,50.0,0.0,0.0
140US01073002305,10.12,6.4,50.0,0.0,1.0
140US01073002306,6.1,4.4,36.0,30.0,99.0
140US01073002400,12.86,9.2,28.0,1.0,7.0
140US01073002700,14.09,4.3,11.0,4.0,3.0
140US01073002900,11.28,17.5,23.0,0.0,1.0
140US01073003001,43.97,19.0,104.0,0.0,0.0
140US01073003002,9.75,17.5,50.0,0.0,0.0
140US01073003100,10.39,19.4,151.0,0.0,0.0
140US01073003200,12.56,19.2,18.0,3.0,1.0
140US01073003300,9.29,15.1,21.0,1.0,2.0
140US01073003400,9.99,18.2,85.0,3.0,0.0
140US01073003500,18.18,18.0,76.0,1.0,0.0
140US01073003600,12.7,17.6,200.0,2.0,0.0
140US01073003700,10.53,19.3,181.0,0.0,0.0
140US01073003802,13.01,18.9,240.0,0.0,0.0
140US01073003803,14.07,18.9,173.0,0.0,2.0
140US01073003900,13.34,17.5,32.0,0.0,0.0
140US01073004000,11.56,18.6,66.0,40.0,66.0
140US01073004200,12.93,19.3,53.0,0.0,1.0
140US01073004500,61.36,3.8,4.0,165.0,455.0
140US01073004701,11.17,4.1,20.0,58.0,137.0
140US01073004702,6.81,2.6,16.0,1.0,0.0
140US01073004800,7.93,2.5,7.0,2.0,5.0
140US01073004901,13.36,,,2.0,16.0
140US01073004902,15.97,,,12.0,34.0
140US01073005000,20.3,6.1,21.0,0.0,2.0
140US01073005101,9.93,19.9,15.0,0.0,0.0
140US01073005103,6.15,,,0.0,0.0
140US01073005104,17.02,,,0.0,0.0
140US01073005200,13.88,17.9,143.0,0.0,0.0
140US01073005302,6.84,12.5,106.0,0.0,0.0
140US01073005500,12.39,18.3,60.0,0.0,0.0
140US01073005600,8.94,3.6,33.0,2.0,2.0
140US01073005701,11.66,17.2,65.0,0.0,0.0
140US01073005702,11.95,19.4,132.0,0.0,0.0
140US01073005800,29.67,5.1,8.0,5.0,0.0
140US01073005903,10.28,13.4,122.0,4.0,0.0
140US01073005905,10.14,15.8,186.0,3.0,1.0
140US01073005907,15.29,14.4,74.0,0.0,0.0
140US01073005908,19.52,14.5,76.0,0.0,0.0
140US01073005909,14.77,,,0.0,0.0
140US01073005910,10.66,,,1.0,0.0
140US01073010001,11.91,13.0,100.0,0.0,0.0
140US01073010002,12.65,11.0,118.0,0.0,0.0
140US01073010100,9.76,21.8,35.0,0.0,0.0
140US01073010200,9.75,17.5,51.0,1.0,2.0
140US01073010301,15.31,16.6,71.0,0.0,0.0
140US01073010302,17.12,20.4,84.0,3.0,0.0
140US01073010401,16.01,18.4,115.0,0.0,0.0
140US01073010402,18.24,15.1,46.0,0.0,1.0
140US01073010500,18.38,17.7,50.0,0.0,0.0
140US01073010602,21.57,16.7,128.0,6.0,3.0
140US01073010603,15.03,15.6,85.0,1.0,0.0
140US01073010701,9.05,2.2,5.0,0.0,0.0
140US01073010702,15.4,3.6,30.0,9.0,56.0
140US01073010703,11.77,2.0,10.0,26.0,64.0
140US01073010704,52.15,4.1,14.0,6.0,13.0
140US01073010705,9.05,2.2,20.0,2.0,0.0
140US01073010706,17.78,4.5,22.0,2.0,5.0
140US01073010801,12.83,1.4,15.0,9.0,11.0
140US01073010802,9.22,1.7,12.0,2.0,33.0
140US01073010803,16.33,9.2,119.0,1.0,2.0
140US01073010804,8.52,3.0,20.0,6.0,3.0
140US01073010805,11.09,4.1,76.0,1.0,12.0
140US01073010900,13.23,15.1,120.0,0.0,0.0
140US01073011001,9.84,,,0.0,0.0
140US01073011002,9.18,,,0.0,0.0
140US01073011104,9.41,10.2,219.0,30.0,87.0
140US01073011107,8.0,5.0,108.0,0.0,1.0
140US01073011108,9.57,,,6.0,8.0
140US01073011109,7.96,,,6.0,0.0
140US01073011110,17.22,,,0.0,0.0
140US01073011111,12.9,,,8.0,0.0
140US01073011205,8.48,8.8,35.0,5.0,0.0
140US01073011206,13.23,7.7,97.0,2.0,0.0
140US01073011207,16.62,13.1,115.0,0.0,1.0
140US01073011208,12.62,9.0,91.0,0.0,0.0
140US01073011209,10.27,16.2,87.0,0.0,0.0
140US01073011210,16.55,10.7,49.0,0.0,0.0
140US01073011301,11.7,,,0.0,0.0
140US01073011302,13.03,,,0.0,0.0
140US01073011400,11.98,9.5,75.0,2.0,1.0
140US01073011500,13.95,10.9,76.0,0.0,0.0
140US01073011600,14.0,6.2,33.0,0.0,0.0
140US01073011703,10.94,5.7,90.0,5.0,1.0
140US01073011704,15.39,6.1,48.0,1.0,1.0
140US01073011705,10.62,7.5,104.0,8.0,7.0
140US01073011706,8.77,9.8,26.0,1.0,0.0
140US01073011802,13.37,12.9,147.0,0.0,0.0
140US01073011803,11.6,16.3,141.0,1.0,0.0
140US01073011804,14.2,15.8,62.0,1.0,0.0
