HEROP_ID,RxMinDis,RxTmDr,RxCntDr,NoIntP
140US01077011000,0.54,0.0,46,24.99
140US01077011300,15.45,39.1,0,41.08
140US01127020900,5.52,19.34,16,26.04
140US01001020100,2.7,10.94,25,24.26
140US01043964500,7.14,19.18,21,20.55
140US01073000500,2.4,4.72,207,40.14
140US01049960500,4.47,0.0,8,29.12
140US01125010406,0.75,0.0,54,6.81
140US01073014001,1.38,0.0,46,13.79
140US01001020600,2.18,5.5,48,15.37
140US01001020700,2.75,0.0,49,22.72
140US01073000800,1.0,0.0,215,44.89
140US01073002100,1.48,2.44,164,24.81
140US01073002303,0.32,0.0,194,33.75
140US01125010201,3.23,0.0,46,10.48
140US01089010623,1.19,0.0,70,2.75
140US01089010701,0.59,0.0,78,7.82
140US01089011012,1.54,8.74,64,0.0
140US01089011014,1.11,0.0,81,2.98
140US01115040205,7.96,18.55,12,14.23
140US01115040401,5.06,0.0,18,22.45
140US01041963900,13.66,26.67,6,46.49
140US01125012501,5.32,7.74,52,24.28
140US01125012502,2.68,0.0,51,2.95
140US01125012600,1.27,4.3,54,4.92
140US01127020100,3.53,8.01,24,26.46
140US01039962000,2.35,0.0,11,20.59
140US01071951000,3.07,0.0,4,24.02
140US01081042002,1.62,0.0,62,14.53
140US01083020101,8.38,13.06,28,10.15
140US01071950100,5.44,0.0,2,29.02
140US01097006105,4.62,9.13,80,20.03
140US01115040502,2.19,0.0,16,11.12
140US01117030217,2.48,0.0,113,5.39
140US01087231900,1.42,5.17,6,27.33
140US01089000501,1.35,6.82,93,16.06
140US01115040105,5.72,0.0,25,18.02
140US01083020401,10.81,13.61,16,14.61
140US01083020900,0.22,0.0,54,14.86
140US01103005600,4.54,0.0,2,27.76
140US01103005701,5.42,20.8,6,24.9
140US01113030600,3.25,0.0,60,26.29
140US01117030305,1.07,0.0,141,1.78
140US01117030320,1.93,5.19,73,3.03
140US01117030340,0.85,7.58,124,7.67
140US01089011300,3.54,0.0,16,12.05
140US01089000601,0.33,0.0,95,12.87
140US01089001401,0.95,0.0,90,4.12
140US01089001700,0.25,0.0,86,4.11
140US01077011501,1.54,0.0,46,13.48
140US01077011502,6.37,14.31,37,21.93
140US01095030600,6.0,0.0,22,23.84
