HEROP_ID,FIPS,PcpPer100k,TotSp,TotPcp,SpPer100k
050US13029,13029,44.59,21.0,16.0,58.52
050US39137,39137,29.44,1.0,10.0,2.94
050US39175,39175,81.42,17.0,18.0,76.9
050US40013,40013,39.34,19.0,18.0,41.52
050US40027,40027,43.0,248.0,119.0,89.62
050US40057,40057,73.5,0.0,2.0,0.0
050US40067,40067,16.07,0.0,1.0,0.0
050US40075,40075,44.44,1.0,4.0,11.11
050US40095,40095,18.32,0.0,3.0,0.0
050US40125,40125,44.44,32.0,32.0,44.44
050US40135,40135,36.27,4.0,15.0,9.67
050US40143,40143,102.83,1066.0,661.0,165.84
050US27011,27011,159.49,1.0,8.0,19.94
050US27013,27013,90.47,103.0,60.0,155.3
050US27031,27031,75.32,1.0,4.0,18.83
050US27061,27061,92.91,21.0,42.0,46.46
050US27073,27073,44.29,2.0,3.0,29.53
050US27075,27075,75.69,1.0,8.0,9.46
050US27089,27089,10.65,0.0,1.0,0.0
050US27097,27097,48.56,11.0,16.0,33.38
050US27127,27127,71.75,2.0,11.0,13.05
050US27161,27161,31.9,0.0,6.0,0.0
050US27171,27171,48.21,55.0,64.0,41.43
050US28001,28001,69.74,26.0,22.0,82.42
050US28011,28011,55.23,20.0,18.0,61.36
050US28029,28029,41.78,2.0,12.0,6.96
050US28043,28043,79.89,22.0,17.0,103.39
050US28083,28083,67.11,40.0,20.0,134.21
050US28087,28087,47.11,75.0,28.0,126.18
050US28103,28103,27.71,2.0,3.0,18.47
050US28121,28121,58.19,201.0,88.0,132.9
050US35015,35015,62.68,34.0,36.0,59.2
050US35039,35039,61.06,20.0,24.0,50.88
050US35045,35045,57.28,111.0,73.0,87.09
050US35055,35055,88.18,25.0,29.0,76.02
050US36025,36025,54.94,14.0,25.0,30.77
050US36031,36031,47.68,15.0,18.0,39.73
050US36103,36103,73.73,2614.0,1097.0,175.68
050US36105,36105,49.19,62.0,37.0,82.43
050US36119,36119,102.91,2396.0,997.0,247.31
050US36123,36123,63.98,13.0,16.0,51.98
050US37009,37009,48.53,6.0,13.0,22.4
050US37013,37013,65.62,37.0,31.0,78.32
050US37017,37017,41.45,5.0,14.0,14.8
050US37023,37023,62.42,110.0,56.0,122.61
050US37037,37037,55.88,56.0,39.0,80.24
050US37043,37043,18.5,3.0,2.0,27.74
050US37053,37053,7.75,4.0,2.0,15.51
050US37057,37057,37.65,71.0,62.0,43.12
050US37065,37065,41.25,22.0,22.0,41.25
050US37075,37075,35.06,0.0,3.0,0.0
050US37085,37085,26.08,38.0,34.0,29.15
050US37089,37089,79.21,129.0,90.0,113.53
050US37095,37095,18.54,1.0,1.0,18.54
050US37103,37103,61.89,6.0,6.0,61.89
050US37115,37115,42.05,0.0,9.0,0.0
050US37123,37123,29.26,24.0,8.0,87.79
050US28141,28141,61.61,2.0,12.0,10.27
050US42099,42099,34.84,1.0,16.0,2.18
050US42103,42103,34.24,17.0,19.0,30.63
050US42127,42127,48.51,32.0,25.0,62.09
050US42133,42133,69.82,476.0,310.0,107.2
050US48411,48411,33.55,0.0,2.0,0.0
050US48429,48429,64.02,3.0,6.0,32.01
050US48449,48449,45.83,35.0,15.0,106.94
050US48453,48453,68.4,1688.0,823.0,140.3
050US48455,48455,20.59,0.0,3.0,0.0
050US48467,48467,20.23,8.0,11.0,14.71
050US48473,48473,4.0,1.0,2.0,2.0
050US48479,48479,29.77,122.0,81.0,44.84
050US49033,49033,0.0,0.0,0.0,0.0
050US49045,49045,32.22,26.0,21.0,39.89
050US49047,49047,35.79,13.0,13.0,35.79
050US49051,49051,32.76,5.0,10.0,16.38
050US50017,50017,72.57,30.0,21.0,103.67
050US50027,50027,115.47,63.0,64.0,113.66
050US51007,51007,23.34,1.0,3.0,7.78
050US51017,51017,250.4,2.0,11.0,45.53
050US51019,51019,32.09,7.0,25.0,8.98
050US51023,51023,51.17,5.0,17.0,15.05
050US51033,51033,19.88,0.0,6.0,0.0
050US51036,51036,28.59,0.0,2.0,0.0
050US51041,51041,70.41,332.0,239.0,97.81
050US51057,51057,63.43,21.0,7.0,190.29
050US51067,51067,58.68,15.0,33.0,26.67
050US51083,51083,51.76,45.0,18.0,129.39
050US51091,51091,45.17,0.0,1.0,0.0
050US51095,51095,39.11,73.0,29.0,98.45
050US51107,51107,52.97,339.0,204.0,88.02
050US51111,51111,32.58,0.0,4.0,0.0
050US51127,51127,23.69,1.0,5.0,4.74
050US51133,51133,139.08,18.0,17.0,147.26
050US51143,51143,6.49,12.0,4.0,19.46
050US51159,51159,33.79,0.0,3.0,0.0
050US51165,51165,26.43,7.0,21.0,8.81
050US51175,51175,11.15,0.0,2.0,0.0
050US51179,51179,36.11,71.0,52.0,49.3
050US51187,51187,58.3,20.0,23.0,50.7
050US53047,53047,91.26,13.0,38.0,31.22
050US53049,53049,42.29,5.0,9.0,23.5
