"HEROP_ID","FIPS","OtpCtTmDr","OtpAvTmDr","OtpTmDrP","OdMortRt"
"050US46119","46119",,,,10.2
"050US46121","46121",,,,23
"050US46123","46123",,,,10.7
"050US46125","46125",0,50.97,0,9.2
"050US46127","46127",0,68.23,0,8.3
"050US46129","46129",,,,10.4
"050US46135","46135",0,99,0,11.6
"050US46137","46137",,,,18
"050US47001","47001",5,34.09,0.28,71.6
"050US47003","47003",0,70.83,0,36
"050US47005","47005",0,38.85,0,67.4
"050US47007","47007",0,75.42,0,35.8
"050US47009","47009",26,17.92,0.93,53.6
"050US47011","47011",18,14.19,0.95,42.4
"050US47013","47013",0,53.79,0,69.3
"050US47015","47015",0,84.26,0,57.5
"050US47017","47017",2,38.01,0.25,33.7
"050US47019","47019",7,33.84,0.41,45.4
"050US47021","47021",4,31.15,0.44,75.1
"050US47023","47023",1,31.99,0.33,27.5
"050US47025","47025",0,67.72,0,61.1
"050US47027","47027",0,99.98,0,74.3
"050US47029","47029",7,19.1,0.78,52
"050US47031","47031",0,79.14,0,41.9
"050US47033","47033",3,28.31,0.6,22.8
"050US47035","47035",0,92.45,0,41.2
"050US47037","47037",161,12.74,1,54.3
"050US47039","47039",0,51.15,0,48.3
"050US47041","47041",0,78.44,0,67.2
"050US47043","47043",8,20.27,0.8,52.6
"050US47045","47045",8,11.62,1,23
"050US47047","47047",0,42.15,0,26.2
"050US47049","47049",0,96,0,54.9
"050US47051","47051",0,68.87,0,38.6
"050US47053","47053",6,31.9,0.43,31.3
"050US47055","47055",0,55.75,0,40.8
"050US47057","47057",0,48.41,0,52.6
"050US47059","47059",3,41.1,0.2,49.4
"050US47061","47061",0,63.99,0,55.8
"050US47063","47063",0,40.43,0,53.9
"050US47065","47065",71,16.93,0.87,36.8
"050US47067","47067",0,90.15,0,69.3
"050US47069","47069",0,56.4,0,22.3
"050US47071","47071",6,13.03,1,61.9
"050US47073","47073",3,44.48,0.23,53.3
"050US47075","47075",0,37.4,0,17.9
"050US47077","47077",0,43.32,0,36.8
"050US47079","47079",8,14.89,0.89,47.7
"050US47081","47081",0,49.34,0,57.9
"050US47083","47083",0,58.05,0,57.9
"050US47085","47085",0,52.13,0,44.2
"050US47087","47087",0,101.55,0,70.6
"050US47089","47089",4,30.67,0.44,42.4
"050US47091","47091",0,51.35,0,35
"050US47093","47093",109,14.95,0.97,70.6
"050US47095","47095",1,34.8,0.5,22.1
"050US47097","47097",2,36.89,0.22,28.6
"050US47099","47099",0,50.05,0,41.6
"050US47101","47101",0,44.77,0,43.3
"050US47103","47103",0,54.89,0,31.8
"050US47105","47105",1,36.55,0.1,53.7
"050US47107","47107",1,40.48,0.1,50
"050US47109","47109",3,33.12,0.43,40.1
"050US47111","47111",0,79.06,0,41.3
"050US47113","47113",26,11.56,0.96,22.9
"050US47115","47115",2,35.92,0.33,35.6
"050US47117","47117",0,46.02,0,47.7
"050US47119","47119",15,17.54,0.88,38.6
"050US47121","47121",0,45.9,0,59.1
"050US47123","47123",0,51.09,0,46.2
"050US47125","47125",38,14.01,0.97,36.8
"050US47127","47127",0,82.66,0,30.6
"050US47129","47129",0,70.38,0,54.1
"050US47131","47131",1,44.31,0.1,22.6
"050US47133","47133",,,,53.2
"050US47135","47135",0,70.56,0,34.2
"050US47137","47137",0,68.35,0,50.6
"050US47139","47139",1,39.59,0.2,41.2
"050US47141","47141",,,,39.8
