HEROP_ID,DmySgrg,OdMortRt
050US01095,0,18.7
050US01101,0,7.6
050US01107,0,14.3
050US01115,1,21.5
050US01119,0,13.4
050US01131,0,12.2
050US02090,0,14.0
050US02158,0,
050US02240,0,17.1
050US04005,0,18.2
050US04009,0,19.9
050US04013,0,17.1
050US54001,0,21.5
050US54005,0,63.6
050US54021,0,28.3
050US54039,0,52.1
050US54045,0,59.8
050US54047,0,93.5
050US54063,0,28.1
050US54067,0,33.1
050US54087,0,27.3
050US54107,0,24.2
050US55003,0,18.9
050US55043,0,9.4
050US55113,0,16.1
050US56029,0,16.0
050US12086,0,7.7
050US12093,0,23.7
050US12097,0,14.2
050US13021,0,11.9
050US13029,1,11.6
050US39137,0,12.9
050US39175,0,15.9
050US40013,0,20.9
050US40027,1,18.3
050US40057,0,19.5
050US40067,0,25.4
050US40075,0,20.7
050US40095,0,19.1
050US40125,0,24.6
050US40135,0,24.8
050US40143,0,18.6
050US27011,0,10.2
050US27013,0,8.0
050US27031,0,15.3
050US27061,0,12.9
050US27073,0,9.9
050US27075,0,16.0
050US27089,0,12.3
050US27097,0,12.8
050US27127,0,11.2
050US27161,0,9.0
050US27171,0,6.9
050US28001,0,13.5
050US28011,0,11.8
050US28029,0,11.6
050US28043,0,11.5
050US28083,0,11.5
050US28087,0,11.2
050US28103,0,11.7
050US28121,0,11.9
050US35015,0,26.3
050US35039,0,60.1
050US35045,0,16.8
050US35055,0,32.7
050US36025,0,14.9
050US36031,0,13.1
050US36103,1,18.3
050US36105,0,23.0
050US36119,1,11.3
050US36123,1,12.2
050US37009,0,21.4
050US37013,0,18.1
050US37017,0,17.4
050US37023,0,33.4
050US37037,0,10.4
050US37043,0,28.0
050US37053,0,17.3
050US37057,1,18.7
050US37065,0,14.8
050US37075,0,29.1
050US37085,0,13.9
050US37089,1,20.5
050US37095,0,19.4
050US37103,0,18.9
050US37115,1,23.6
050US37123,0,16.7
050US28141,0,19.0
050US42099,0,15.5
050US42103,1,21.8
050US42127,0,24.0
050US42133,1,21.0
050US48411,0,13.0
050US48429,0,17.9
050US48449,0,11.3
050US48453,0,11.9
050US48455,0,15.4
050US48467,0,13.5
050US48473,1,11.5
050US48479,0,10.0
050US49033,0,21.2
050US49045,0,23.2
050US49047,0,19.3
050US49051,0,20.4
050US50017,0,15.3
050US50027,0,19.4
050US51007,1,14.3
050US51017,0,19.2
050US51019,0,12.8
050US51023,1,15.4
050US51033,0,16.1
050US51036,1,14.4
050US51041,1,12.0
050US51057,0,17.0
050US51067,1,17.2
050US51083,0,12.7
050US51091,0,17.9
050US51095,0,11.1
050US51107,1,7.5
050US51111,0,15.8
050US51127,1,15.8
050US51133,0,18.1
050US51143,0,13.1
050US51159,0,18.3
050US51165,0,9.7
050US51175,0,14.7
050US51179,1,12.3
050US51187,1,22.2
050US53047,0,17.5
050US53049,0,20.1
050US53053,0,17.0
050US53061,0,17.9
050US53071,0,15.2
050US53073,0,14.3
050US54013,0,25.8
050US54017,0,22.4
050US54019,0,34.7
050US54023,0,20.3
050US54027,0,32.4
050US54033,0,25.5
050US54037,1,25.7
050US54043,0,42.6
050US54065,0,26.2
050US54071,0,16.7
050US54081,0,67.7
050US54093,0,19.2
050US54095,0,20.2
050US37133,0,13.4
050US37137,0,21.7
050US37149,0,21.1
050US37153,0,21.5
050US37161,0,28.7
050US37163,0,15.6
050US37177,0,17.6
050US38005,0,11.6
050US38033,0,13.4
050US38053,0,15.2
050US38059,0,12.0
050US38067,0,11.8
050US38071,0,11.1
050US22067,1,17.4
050US22069,0,11.5
050US22079,0,13.4
050US22097,0,16.6
050US22107,0,13.7
050US22113,0,17.2
050US22117,0,31.3
050US22123,0,15.6
050US23007,0,15.6
050US08065,0,16.5
050US08071,0,32.8
050US08093,1,15.4
050US08105,0,26.3
050US08113,0,19.6
050US09001,0,14.6
050US09007,1,22.2
050US09011,0,25.9
050US10005,0,21.0
050US12033,0,18.6
050US12037,0,20.7
050US12041,0,18.8
050US12047,0,16.3
050US12053,0,20.9
050US12071,0,15.7
050US19009,0,11.7
050US19027,0,13.4
050US19075,0,9.6
050US19113,0,12.2
050US19147,0,10.2
050US19195,0,10.4
050US20069,0,12.5
050US20143,0,11.9
050US20181,0,14.9
050US21005,0,25.7
050US21025,0,40.8
050US21029,1,19.8
050US21033,0,17.5
050US21043,0,35.0
050US21049,0,36.0
050US21063,0,33.8
050US21071,0,51.4
050US21085,0,23.0
050US21097,0,34.5
050US21109,0,30.1
050US21119,0,44.1
050US21125,0,26.2
050US21135,0,33.6
050US21139,0,23.1
050US21153,0,38.5
050US21159,0,53.3
050US21167,0,23.5
050US21181,0,30.6
050US21183,0,21.2
050US21193,0,44.9
050US21197,0,47.2
050US21205,0,28.2
050US54109,0,84.3
050US55023,0,12.9
050US55037,0,16.3
050US55051,0,17.4
050US55069,0,13.2
050US55075,0,12.6
050US55111,0,17.0
050US41007,0,18.4
050US41017,0,11.2
050US41019,0,16.6
050US41065,0,12.2
050US42003,1,33.6
050US42027,0,10.5
050US42033,0,17.7
050US42041,0,15.2
050US42045,1,33.7
050US42051,1,31.7
050US42061,0,16.0
050US42071,0,14.9
050US42089,0,22.8
050US42095,0,24.3
