HEROP_ID,FIPS,DmyBlckBlt,TotPop,TotUnits,Age15_44,Ovr65P,WhiteP,BlackP,HispP,AmIndP,AsianP,PacIsP,OtherP,DisbP,PovP,UnempP,VacantP,Ovr16P,Ovr18P,Ovr21P,Age15_44P,WhiteE,BlackE,MaleP,FemP,SRatio,SRatio18,SRatio65,HisE,HisP,AmIndE,AsianE,PacIsE,EduHsP,EduNoHsP,BachelorsP,GradSclP,SomeCollegeP,ChildrenP,Ovr16,Ovr18,Ovr21,Ovr65
050US20029,20029,0,10268,4838,3794,23.22,98.3,0.34,0.6,0.25,0.25,0.0,0.86,34,10.76,4.27,13.95,80.78,77.64,71.08,36.95,10093.0,35.0,47.53,52.47,90.57,86.57,63.96,62.0,0.6,26.0,26.0,0.0,38.08,14.47,10.58,7.45,20.41,22.36,8294.0,7972.0,7298.0,2384.0
050US20031,20031,0,8865,3876,3451,16.23,96.95,0.25,1.55,0.52,0.34,0.01,1.94,33,6.61,4.44,9.98,76.99,73.18,70.02,38.93,8595.0,22.0,49.04,50.96,96.22,92.55,68.9,137.0,1.55,46.0,30.0,1.0,40.61,13.06,14.04,6.07,18.12,26.82,6825.0,6487.0,6207.0,1439.0
050US20033,20033,0,1967,1088,579,25.83,97.97,0.05,1.78,0.25,0.05,0.2,1.68,35,10.19,0.21,19.85,80.22,77.89,75.6,29.44,1927.0,1.0,48.35,51.65,93.6,87.52,68.21,35.0,1.78,5.0,1.0,4.0,37.15,8.68,10.14,5.0,26.04,22.11,1578.0,1532.0,1487.0,508.0
050US20035,20035,0,36291,15673,14805,15.9,90.13,2.7,3.59,1.96,1.53,0.01,3.68,39,12.93,7.82,10.43,77.28,73.98,68.61,40.8,32708.0,979.0,48.9,51.1,95.7,94.21,69.51,1304.0,3.59,713.0,557.0,5.0,31.08,14.56,12.65,5.62,25.04,26.02,28045.0,26847.0,24901.0,5770.0
050US20037,20037,0,38242,17221,17465,15.45,93.29,1.83,2.38,0.94,1.11,0.09,2.83,36,15.95,4.9,9.97,79.96,77.05,69.51,45.67,35676.0,699.0,48.73,51.27,95.03,92.42,58.62,910.0,2.38,361.0,425.0,34.0,30.69,15.46,14.58,9.31,21.38,22.95,30579.0,29467.0,26583.0,5910.0
050US20039,20039,0,3472,1821,1145,26.18,97.87,0.52,0.98,0.09,0.14,0.12,1.38,32,11.6,1.05,17.96,79.69,76.35,73.99,32.98,3398.0,18.0,49.37,50.63,97.5,91.41,68.65,34.0,0.98,3.0,5.0,4.0,39.98,13.59,10.81,4.6,21.82,23.65,2767.0,2651.0,2569.0,909.0
050US20041,20041,0,19344,8686,7303,18.61,96.44,0.58,2.3,0.49,0.3,0.01,2.19,31,7.54,3.2,9.01,77.76,74.28,71.22,37.75,18655.0,113.0,48.75,51.25,95.12,91.65,68.26,445.0,2.3,94.0,58.0,2.0,39.25,13.64,10.79,4.38,21.86,25.72,15041.0,14368.0,13776.0,3599.0
050US20043,20043,0,8249,3489,3400,16.17,94.85,2.0,1.16,1.21,0.25,0.0,1.69,30,11.89,6.99,9.06,77.79,74.69,66.99,41.22,7824.0,165.0,49.65,50.35,98.63,96.21,72.35,96.0,1.16,100.0,21.0,0.0,36.75,19.82,10.8,4.0,19.65,25.31,6417.0,6161.0,5526.0,1334.0
050US20045,20045,0,99962,40250,58117,7.94,86.09,4.24,3.27,2.56,3.12,0.06,3.99,23,15.85,4.63,4.38,81.83,79.59,67.28,58.14,86060.0,4238.0,49.67,50.33,98.69,97.66,71.54,3268.0,3.27,2561.0,3119.0,62.0,22.27,7.64,24.42,18.26,21.34,20.41,81795.0,79561.0,67254.0,7937.0
050US20047,20047,0,3449,1754,1262,20.79,92.52,0.32,9.71,0.49,0.32,0.0,6.35,35,10.37,2.69,17.05,78.6,75.38,71.59,36.59,3191.0,11.0,49.38,50.62,97.54,95.78,70.31,335.0,9.71,17.0,11.0,0.0,32.34,18.8,12.91,3.36,22.04,24.62,2711.0,2600.0,2469.0,717.0
050US20049,20049,0,3261,1860,1001,25.3,95.06,0.21,2.18,0.95,0.18,0.06,3.59,41,13.77,4.67,24.09,80.56,77.52,74.79,30.7,3100.0,7.0,47.78,52.22,91.49,91.66,73.68,71.0,2.18,31.0,6.0,2.0,41.55,20.01,6.8,3.78,18.78,22.48,2627.0,2528.0,2439.0,825.0
050US20051,20051,0,27507,12078,13253,14.32,96.1,0.67,2.37,0.21,0.82,0.02,2.21,26,12.91,4.15,7.33,80.71,77.59,68.96,48.18,26433.0,183.0,48.94,51.06,95.84,92.57,68.62,652.0,2.37,57.0,225.0,5.0,29.87,12.83,18.6,10.63,19.76,22.41,22200.0,21343.0,18969.0,3939.0
050US20053,20053,0,6525,3228,2573,20.37,93.67,3.56,3.59,0.48,0.25,0.02,2.05,31,7.2,3.47,23.14,81.95,78.61,75.16,39.43,6112.0,232.0,52.81,47.19,111.92,114.07,62.87,234.0,3.59,31.0,16.0,1.0,35.54,15.17,11.16,5.19,19.89,21.39,5347.0,5129.0,4904.0,1329.0
050US20055,20055,0,40523,13763,19148,6.98,69.05,1.25,43.3,0.96,2.87,0.08,25.86,27,14.23,4.88,5.92,69.17,65.75,60.48,47.25,27982.0,508.0,51.04,48.96,104.23,103.34,67.89,17548.0,43.3,389.0,1163.0,32.0,24.86,32.6,9.56,4.72,19.5,34.25,28028.0,26642.0,24507.0,2829.0
050US20057,20057,0,32458,11650,14779,10.99,74.85,1.62,37.68,0.63,2.05,0.12,20.85,31,12.4,4.88,6.85,72.3,68.9,63.87,45.53,24295.0,527.0,51.73,48.27,107.17,105.33,74.21,12231.0,37.68,204.0,666.0,38.0,23.11,30.13,10.82,5.61,21.04,31.1,23467.0,22364.0,20731.0,3566.0
050US20059,20059,0,24784,10229,10452,14.03,95.05,1.21,2.62,0.94,0.31,0.0,2.5,33,7.69,3.48,7.6,75.72,72.48,68.33,42.17,23556.0,299.0,49.56,50.44,98.27,94.1,68.66,650.0,2.62,232.0,77.0,1.0,39.54,14.69,11.69,4.82,19.68,27.52,18766.0,17964.0,16934.0,3476.0
050US20061,20061,0,27947,11959,13405,9.42,64.13,22.03,8.45,0.75,3.16,0.41,9.93,31,12.08,6.32,12.55,73.26,70.37,65.06,47.97,17923.0,6157.0,49.32,50.68,97.32,94.29,69.61,2362.0,8.45,210.0,883.0,115.0,30.02,13.99,11.04,6.1,26.83,29.63,20475.0,19666.0,18183.0,2634.0
050US20063,20063,0,3068,1423,999,22.69,97.95,0.1,1.24,0.16,0.1,0.0,1.69,25,10.32,1.85,12.51,77.28,73.83,70.76,32.56,3005.0,3.0,48.76,51.24,95.17,92.28,70.59,38.0,1.24,5.0,3.0,0.0,35.19,15.52,13.68,4.76,19.86,26.17,2371.0,2265.0,2171.0,696.0
050US20065,20065,0,2946,1553,1002,23.66,94.91,3.22,0.78,0.34,0.27,0.03,1.26,38,11.51,2.67,18.67,81.43,77.46,74.85,34.01,2796.0,95.0,48.74,51.26,95.1,92.25,75.57,23.0,0.78,10.0,8.0,1.0,34.07,16.38,13.18,4.24,22.54,22.54,2399.0,2282.0,2205.0,697.0
050US20067,20067,0,7909,3027,3420,9.65,77.0,0.21,34.67,0.86,0.37,0.0,21.56,21,10.06,4.74,9.42,71.29,67.24,63.05,43.24,6090.0,17.0,50.18,49.82,100.74,97.55,71.85,2742.0,34.67,68.0,29.0,0.0,27.99,28.46,11.91,3.31,20.82,32.76,5638.0,5318.0,4987.0,763.0
050US20069,20069,0,5904,2181,2443,12.69,92.31,0.19,9.81,0.46,0.1,0.07,6.94,23,9.08,3.18,6.24,72.43,68.45,64.8,41.38,5450.0,11.0,50.02,49.98,100.07,96.17,71.0,579.0,9.81,27.0,6.0,4.0,25.76,26.39,12.22,4.1,22.17,31.55,4276.0,4041.0,3826.0,749.0
050US20071,20071,0,1534,712,603,17.67,93.09,0.2,11.54,0.26,0.07,0.13,6.39,34,11.58,2.5,15.45,75.49,71.77,68.77,39.31,1428.0,3.0,49.61,50.39,98.45,92.82,68.32,177.0,11.54,4.0,1.0,2.0,29.3,16.28,12.82,4.58,22.08,28.23,1158.0,1101.0,1055.0,271.0
050US20073,20073,0,7673,4273,2660,22.81,96.53,0.14,1.72,0.83,0.1,0.0,2.38,50,12.51,4.28,24.32,79.68,76.28,73.0,34.67,7407.0,11.0,48.85,51.15,95.49,91.46,70.23,132.0,1.72,64.0,8.0,0.0,38.63,19.09,10.13,4.36,18.06,23.72,6114.0,5853.0,5601.0,1750.0
050US20075,20075,0,2670,1211,1006,18.35,81.65,0.49,20.6,0.49,0.56,0.0,16.82,39,15.66,1.97,12.96,74.94,71.65,68.24,37.68,2180.0,13.0,49.4,50.6,97.63,92.65,66.1,550.0,20.6,13.0,15.0,0.0,30.34,23.34,12.33,5.04,18.01,28.35,2001.0,1913.0,1822.0,490.0
050US20077,20077,0,6536,3270,2196,23.24,97.23,0.23,1.07,0.83,0.14,0.02,1.58,36,11.55,3.76,15.2,78.56,75.34,72.2,33.6,6355.0,15.0,48.36,51.64,93.66,91.45,66.74,70.0,1.07,54.0,9.0,1.0,39.06,16.25,8.79,5.18,18.76,24.66,5135.0,4924.0,4719.0,1519.0
050US20079,20079,0,32869,13378,13295,16.77,91.04,1.59,7.97,0.52,0.52,0.03,6.33,29,6.41,3.68,5.96,77.22,73.97,69.39,40.45,29924.0,522.0,48.58,51.42,94.48,91.55,68.77,2620.0,7.97,171.0,171.0,10.0,30.14,14.73,15.14,7.81,21.54,26.03,25382.0,24314.0,22808.0,5512.0
050US20081,20081,0,4307,1639,1841,10.61,85.07,0.19,23.57,0.58,0.63,0.0,13.54,23,11.61,2.9,9.64,71.02,67.08,62.97,42.74,3664.0,8.0,50.8,49.2,103.26,98.28,73.76,1015.0,23.57,25.0,27.0,0.0,25.43,25.19,13.09,4.43,21.44,32.92,3059.0,2889.0,2712.0,457.0
050US20083,20083,0,2085,945,763,18.99,97.31,0.91,2.69,0.24,0.0,0.0,1.53,30,11.52,1.39,15.77,75.4,71.03,68.39,36.59,2029.0,19.0,49.3,50.7,97.26,96.94,80.0,56.0,2.69,5.0,0.0,0.0,30.67,13.08,15.48,4.22,24.49,28.97,1572.0,1481.0,1426.0,396.0
050US20085,20085,0,12657,5094,4908,14.92,90.21,0.53,1.49,6.84,0.17,0.02,2.25,30,8.81,3.44,7.2,75.17,71.75,68.35,38.78,11418.0,67.0,49.2,50.8,96.84,93.79,74.26,189.0,1.49,866.0,21.0,3.0,45.87,12.29,11.0,4.42,16.88,28.25,9514.0,9081.0,8651.0,1889.0
050US20087,20087,0,18426,7491,7429,12.8,96.7,0.37,1.28,0.92,0.17,0.01,1.83,30,6.72,3.4,8.82,76.2,72.61,68.92,40.32,17818.0,69.0,50.65,49.35,102.64,98.87,81.8,236.0,1.28,170.0,31.0,2.0,42.54,11.12,11.92,6.02,18.64,27.39,14041.0,13380.0,12699.0,2358.0
050US20089,20089,0,3791,2103,1167,25.93,98.79,0.03,0.71,0.34,0.05,0.03,0.79,38,11.65,2.32,19.4,81.32,78.05,75.71,30.78,3745.0,1.0,49.46,50.54,97.86,95.96,77.76,27.0,0.71,13.0,2.0,1.0,39.53,12.4,10.15,3.65,22.77,21.95,3083.0,2959.0,2870.0,983.0
050US20091,20091,0,451086,181612,202034,9.99,91.11,2.61,3.98,0.33,2.83,0.03,3.12,20,3.44,2.31,3.88,75.85,72.92,69.76,44.79,410990.0,11780.0,48.84,51.16,95.48,92.04,67.31,17957.0,3.98,1481.0,12768.0,156.0,17.53,5.09,31.74,16.0,22.85,27.08,342152.0,328918.0,314676.0,45069.0
050US20093,20093,0,4531,1657,1859,11.12,80.34,0.55,26.55,0.86,0.31,0.09,17.94,26,11.71,2.93,6.94,69.52,65.7,61.71,41.03,3640.0,25.0,51.14,48.86,104.65,98.47,82.61,1203.0,26.55,39.0,14.0,4.0,27.74,24.19,9.34,5.67,21.03,34.3,3150.0,2977.0,2796.0,504.0
050US20095,20095,0,8673,3852,3115,19.57,97.45,0.21,1.44,0.58,0.24,0.02,1.52,31,10.61,1.42,12.49,76.19,72.58,69.69,35.92,8452.0,18.0,49.05,50.95,96.27,93.45,72.28,125.0,1.44,50.0,21.0,2.0,33.65,15.3,12.82,4.99,19.66,27.42,6608.0,6295.0,6044.0,1697.0
050US20097,20097,0,3278,1643,1137,21.32,97.19,0.21,2.04,0.61,0.27,0.0,1.71,38,10.75,3.36,16.92,79.23,75.99,71.63,34.69,3186.0,7.0,49.05,50.95,96.29,95.07,76.07,67.0,2.04,20.0,9.0,0.0,30.0,14.82,13.79,5.07,25.95,24.01,2597.0,2491.0,2348.0,699.0
050US20099,20099,0,22835,10306,8953,17.34,89.28,4.66,3.07,1.95,0.32,0.01,3.8,43,12.65,3.57,10.79,77.5,74.27,69.82,39.21,20386.0,1064.0,48.89,51.11,95.66,92.04,65.14,700.0,3.07,445.0,73.0,3.0,31.86,17.01,10.56,5.32,23.98,25.73,17697.0,16959.0,15943.0,3960.0
050US20101,20101,0,2155,1065,772,20.46,97.73,0.0,1.44,0.05,0.09,0.05,2.13,29,8.18,1.92,14.55,78.42,74.57,72.3,35.82,2106.0,0.0,50.07,49.93,100.28,97.66,77.82,31.0,1.44,1.0,2.0,1.0,34.07,11.54,14.22,4.29,26.76,25.43,1690.0,1607.0,1558.0,441.0
050US20103,20103,0,68691,24401,31472,9.85,84.18,10.42,3.81,0.74,1.06,0.13,3.59,29,6.65,3.36,5.45,76.32,73.31,69.56,45.82,57824.0,7160.0,53.17,46.83,113.53,116.92,74.38,2620.0,3.81,510.0,730.0,91.0,33.91,13.49,13.15,9.93,19.96,26.69,52425.0,50357.0,47782.0,6766.0
050US20105,20105,0,3578,1853,1196,23.53,98.3,0.11,1.03,0.48,0.11,0.0,1.01,34,9.72,2.4,17.49,79.77,76.52,73.84,33.43,3517.0,4.0,49.02,50.98,96.16,92.41,76.15,37.0,1.03,17.0,4.0,0.0,35.56,15.03,12.4,5.02,19.94,23.48,2854.0,2738.0,2642.0,842.0
050US20107,20107,0,9570,4720,3420,18.29,97.5,0.63,0.91,0.48,0.14,0.04,1.25,38,11.04,5.5,19.34,78.18,74.95,71.75,35.74,9331.0,60.0,50.0,50.0,100.0,97.6,84.99,87.0,0.91,46.0,13.0,4.0,39.52,19.06,8.08,4.59,18.0,25.05,7482.0,7173.0,6866.0,1750.0
050US20109,20109,0,3046,1423,1110,20.75,96.72,0.59,1.64,0.16,0.2,0.0,2.33,32,7.34,3.76,12.65,78.0,74.59,70.91,36.44,2946.0,18.0,48.36,51.64,93.64,93.03,74.1,50.0,1.64,5.0,6.0,0.0,38.73,13.27,12.83,4.71,21.19,25.41,2376.0,2272.0,2160.0,632.0
050US20111,20111,0,35935,14757,17304,11.64,83.27,2.27,16.72,0.47,2.04,0.01,11.95,29,14.53,5.99,7.22,77.34,74.26,66.64,48.15,29924.0,815.0,49.34,50.66,97.41,95.21,63.78,6010.0,16.72,168.0,733.0,2.0,31.85,18.15,14.17,8.83,19.98,25.74,27791.0,26685.0,23946.0,4183.0
050US20113,20113,0,29554,11830,12020,17.29,96.53,0.81,1.94,0.34,0.32,0.06,2.0,27,6.65,4.11,5.28,77.92,74.61,69.3,40.67,28527.0,240.0,48.96,51.04,95.94,92.92,67.84,573.0,1.94,100.0,95.0,18.0,32.14,14.05,16.39,5.8,21.39,25.39,23029.0,22051.0,20482.0,5109.0
050US20115,20115,0,13361,5882,4831,21.14,97.06,0.47,1.92,0.59,0.19,0.01,1.69,35,8.3,2.87,13.06,78.33,75.25,71.12,36.16,12968.0,63.0,48.74,51.26,95.08,92.16,69.51,257.0,1.92,79.0,25.0,1.0,38.62,15.61,11.73,6.16,18.7,24.75,10466.0,10054.0,9502.0,2824.0
050US20117,20117,0,10965,4999,3929,22.02,98.14,0.23,0.76,0.36,0.19,0.02,1.08,34,9.18,3.47,10.82,78.84,75.03,71.78,35.83,10761.0,25.0,49.18,50.82,96.79,93.99,71.33,83.0,0.76,40.0,21.0,2.0,45.67,14.95,8.67,4.56,16.26,24.97,8645.0,8227.0,7871.0,2414.0
050US20119,20119,0,4631,1968,1769,17.94,91.1,0.39,10.9,0.54,0.22,0.0,7.75,27,9.34,2.91,12.2,73.81,70.48,67.33,38.2,4219.0,18.0,49.54,50.46,98.16,94.98,64.88,505.0,10.9,25.0,10.0,0.0,28.51,19.69,13.44,6.18,21.59,29.52,3418.0,3264.0,3118.0,831.0
050US20121,20121,0,28351,10984,11946,11.91,95.96,1.54,1.59,0.52,0.17,0.01,1.81,31,5.54,2.49,5.64,75.46,72.06,68.29,42.14,27206.0,436.0,49.46,50.54,97.84,95.96,73.41,451.0,1.59,147.0,49.0,3.0,36.68,12.5,13.32,6.04,20.55,27.94,21394.0,20431.0,19361.0,3378.0
050US20123,20123,0,6932,3340,2533,21.38,97.61,0.52,0.88,0.4,0.3,0.03,1.17,29,9.52,4.19,14.67,79.39,75.52,70.1,36.54,6766.0,36.0,49.34,50.66,97.38,97.55,66.33,61.0,0.88,28.0,21.0,2.0,36.19,11.86,12.03,4.82,24.05,24.48,5503.0,5235.0,4859.0,1482.0
050US20125,20125,0,36252,17207,13832,18.3,85.77,6.07,3.08,3.19,0.47,0.02,4.49,42,12.56,4.73,13.39,78.18,74.96,70.22,38.16,31095.0,2199.0,48.23,51.77,93.16,88.56,64.1,1118.0,3.08,1157.0,172.0,7.0,30.24,18.75,10.71,5.24,24.0,25.04,28343.0,27173.0,25457.0,6633.0
050US20127,20127,0,6104,3160,2096,21.02,97.49,0.34,2.23,0.33,0.23,0.02,1.61,32,8.98,2.9,19.65,78.21,74.75,71.79,34.34,5951.0,21.0,49.23,50.77,96.97,93.35,77.95,136.0,2.23,20.0,14.0,1.0,40.79,15.27,9.68,6.32,17.23,25.25,4774.0,4563.0,4382.0,1283.0
050US20129,20129,0,3496,1519,1409,13.93,88.39,0.2,14.1,1.14,1.06,0.0,9.21,27,10.5,3.77,14.02,74.26,70.65,66.62,40.3,3090.0,7.0,48.57,51.43,94.44,93.73,72.7,493.0,14.1,40.0,37.0,0.0,34.55,18.11,12.75,4.9,19.21,29.35,2596.0,2470.0,2329.0,487.0
050US20131,20131,0,10717,4340,3808,22.01,98.35,0.49,0.71,0.23,0.1,0.06,0.82,29,9.11,1.88,8.78,75.07,71.48,68.53,35.53,10540.0,53.0,49.23,50.77,96.97,95.11,70.57,76.0,0.71,25.0,11.0,6.0,46.19,16.27,10.53,4.06,14.73,28.52,8045.0,7660.0,7344.0,2359.0
050US20133,20133,0,16997,7461,6686,17.53,94.9,0.87,2.91,0.98,0.32,0.02,2.94,37,12.97,4.94,9.68,77.67,74.34,69.51,39.34,16130.0,148.0,48.3,51.7,93.43,91.11,66.76,494.0,2.91,166.0,54.0,4.0,35.15,16.55,9.92,5.09,23.04,25.66,13202.0,12636.0,11814.0,2980.0
050US20135,20135,0,3454,1835,1174,24.23,98.23,0.06,1.51,0.23,0.09,0.0,1.39,33,8.73,1.8,17.38,80.4,77.1,74.44,33.99,3393.0,2.0,49.62,50.38,98.51,95.09,71.87,52.0,1.51,8.0,3.0,0.0,36.51,15.57,12.97,4.88,21.62,22.9,2777.0,2663.0,2571.0,837.0
050US20137,20137,0,5953,2673,2419,19.57,93.35,4.05,2.37,0.44,0.42,0.02,1.75,32,10.45,4.0,15.23,80.85,77.96,75.16,40.63,5557.0,241.0,54.98,45.02,122.13,122.91,70.82,141.0,2.37,26.0,25.0,1.0,37.6,15.15,11.58,3.81,18.98,22.04,4813.0,4641.0,4474.0,1165.0
050US20139,20139,0,16712,7018,6422,15.84,97.27,0.22,1.53,0.65,0.17,0.1,1.69,36,8.35,3.52,7.52,76.39,72.96,69.68,38.43,16256.0,36.0,48.97,51.03,95.97,93.32,74.9,255.0,1.53,109.0,28.0,17.0,42.34,14.46,9.81,4.52,18.27,27.04,12767.0,12193.0,11645.0,2648.0
050US20141,20141,0,4452,2419,1452,25.7,98.61,0.07,0.38,0.22,0.2,0.02,0.9,35,10.38,3.69,19.8,79.25,76.19,73.41,32.61,4390.0,3.0,49.19,50.81,96.82,92.62,66.52,17.0,0.38,10.0,9.0,1.0,40.32,15.15,11.56,3.98,18.91,23.81,3528.0,3392.0,3268.0,1144.0
050US20143,20143,0,6163,2755,2341,17.62,97.53,0.54,1.3,0.37,0.13,0.02,1.43,32,8.56,4.38,11.8,78.08,74.3,71.15,37.98,6011.0,33.0,49.98,50.02,99.9,95.85,76.3,80.0,1.3,23.0,8.0,1.0,37.87,13.84,12.32,4.0,22.89,25.7,4812.0,4579.0,4385.0,1086.0
050US20145,20145,0,7233,3114,2785,18.53,90.96,5.0,4.16,0.95,0.57,0.0,2.52,48,11.77,11.99,12.04,79.95,75.83,72.35,38.5,6579.0,362.0,52.84,47.16,112.05,112.68,72.02,301.0,4.16,69.0,41.0,0.0,29.78,15.2,15.34,6.44,21.83,24.17,5783.0,5485.0,5233.0,1340.0
050US20147,20147,0,6001,3088,2030,21.85,98.25,0.25,0.67,0.3,0.45,0.0,0.75,33,9.97,2.15,19.17,78.87,75.49,72.72,33.83,5896.0,15.0,48.68,51.32,94.84,91.22,67.01,40.0,0.67,18.0,27.0,0.0,36.85,15.64,12.79,3.28,20.01,24.51,4733.0,4530.0,4364.0,1311.0
050US20149,20149,0,18209,7311,7449,13.46,96.32,0.66,2.26,0.59,0.32,0.01,2.1,27,9.75,3.09,7.39,74.19,70.53,66.92,40.91,17539.0,121.0,49.49,50.51,97.97,96.74,78.0,411.0,2.26,107.0,59.0,1.0,37.39,10.79,15.4,7.34,19.31,29.47,13510.0,12843.0,12185.0,2451.0
050US20151,20151,0,9647,4633,3732,19.19,95.28,0.98,3.09,0.35,0.55,0.03,2.83,31,9.4,4.62,14.46,78.96,75.49,69.61,38.69,9192.0,95.0,48.45,51.55,93.99,91.26,68.27,298.0,3.09,34.0,53.0,3.0,27.7,13.75,14.83,6.21,26.77,24.51,7617.0,7283.0,6715.0,1851.0
050US20153,20153,0,2966,1565,924,25.56,98.52,0.3,0.81,0.3,0.1,0.0,0.78,37,12.54,2.01,18.91,80.04,75.96,73.8,31.15,2922.0,9.0,49.97,50.03,99.87,95.06,77.1,24.0,0.81,9.0,3.0,0.0,34.53,15.33,12.87,3.07,22.21,24.04,2374.0,2253.0,2189.0,758.0
050US20155,20155,0,64790,27625,26423,16.39,91.56,2.88,5.65,0.58,0.45,0.04,4.53,34,10.92,4.59,7.7,78.61,75.53,70.97,40.78,59320.0,1865.0,50.21,49.79,100.86,99.0,70.57,3661.0,5.65,379.0,291.0,23.0,30.56,17.26,11.46,5.85,23.33,24.47,50933.0,48938.0,45980.0,10618.0
050US20157,20157,0,5835,3113,1846,26.1,98.56,0.26,0.94,0.21,0.19,0.0,0.79,33,9.09,2.44,17.86,80.65,77.69,75.3,31.64,5751.0,15.0,48.24,51.76,93.21,90.78,69.79,55.0,0.94,12.0,11.0,0.0,41.35,11.37,10.71,4.16,21.15,22.31,4706.0,4533.0,4394.0,1523.0
050US20159,20159,0,10761,4609,4422,17.97,94.68,1.15,5.61,0.57,0.33,0.04,3.27,35,10.68,5.79,12.13,78.74,75.33,68.16,41.09,10188.0,124.0,47.98,52.02,92.23,88.21,68.61,604.0,5.61,61.0,36.0,4.0,33.59,16.62,12.3,5.25,20.97,24.67,8473.0,8106.0,7335.0,1934.0
050US20161,20161,0,62843,23397,39824,7.53,84.78,6.88,4.57,0.63,3.22,0.17,4.49,16,20.56,7.02,5.39,83.2,81.16,65.46,63.37,53281.0,4325.0,53.35,46.65,114.34,115.43,70.35,2872.0,4.57,395.0,2022.0,105.0,22.45,6.16,21.63,18.89,22.64,18.84,52284.0,51003.0,41138.0,4729.0
050US20163,20163,0,5685,2758,2085,21.46,97.13,1.13,1.06,0.42,0.19,0.02,1.13,44,9.76,4.15,14.36,78.22,74.79,71.82,36.68,5522.0,64.0,49.52,50.48,98.08,94.33,65.31,60.0,1.06,24.0,11.0,1.0,41.45,12.89,11.69,3.67,20.56,25.21,4447.0,4252.0,4083.0,1220.0
050US20165,20165,0,3551,1928,1163,25.32,98.45,0.31,1.04,0.42,0.11,0.0,0.7,37,9.74,2.65,19.71,80.54,77.87,75.3,32.75,3496.0,11.0,48.55,51.45,94.36,90.56,69.3,37.0,1.04,15.0,4.0,0.0,32.48,17.17,11.84,4.56,21.53,22.13,2860.0,2765.0,2674.0,899.0
050US20167,20167,0,7370,3871,2510,24.07,97.58,0.5,0.91,0.56,0.33,0.01,1.03,42,11.98,4.25,17.15,81.03,77.6,74.6,34.06,7192.0,37.0,48.06,51.94,92.53,88.75,69.92,67.0,0.91,41.0,24.0,1.0,35.75,16.93,10.58,6.11,18.15,22.4,5972.0,5719.0,5498.0,1774.0
050US20169,20169,0,53597,22695,22732,13.96,89.17,3.1,6.02,0.52,1.7,0.04,5.51,31,8.8,3.38,5.55,76.81,73.79,69.39,42.41,47794.0,1660.0,49.35,50.65,97.43,94.41,68.05,3228.0,6.02,279.0,910.0,22.0,34.54,13.0,14.22,6.13,22.96,26.21,41170.0,39551.0,37189.0,7480.0
050US20171,20171,0,5120,2291,1918,16.5,95.47,0.1,6.31,0.55,0.12,0.0,3.77,25,5.09,2.24,10.74,76.64,72.85,69.59,37.46,4888.0,5.0,49.26,50.74,97.07,94.37,70.71,323.0,6.31,28.0,6.0,0.0,28.85,15.46,14.66,8.35,22.96,27.15,3924.0,3730.0,3563.0,845.0
050US20173,20173,0,452869,191133,200890,11.39,79.38,9.13,8.04,1.11,3.34,0.06,7.03,31,9.54,4.85,7.69,74.82,71.84,67.77,44.36,359489.0,41367.0,49.43,50.57,97.76,95.19,69.11,36397.0,8.04,5041.0,15137.0,265.0,29.27,14.91,17.42,7.99,21.5,28.16,338839.0,325334.0,306890.0,51574.0
050US20175,20175,0,22510,8027,10639,8.91,65.44,3.78,42.14,0.77,2.86,0.06,27.14,28,16.9,4.87,7.57,71.38,67.98,62.34,47.26,14730.0,852.0,51.29,48.71,105.31,103.7,68.86,9486.0,42.14,174.0,644.0,14.0,26.86,36.26,9.4,4.18,15.69,32.02,16068.0,15302.0,14033.0,2006.0
050US20177,20177,0,169871,73768,70890,13.74,82.89,9.03,7.26,1.17,0.95,0.04,5.96,35,9.59,4.03,6.57,77.75,74.7,70.73,41.73,140811.0,15337.0,48.41,51.59,93.85,90.0,68.97,12330.0,7.26,1980.0,1618.0,61.0,33.65,11.88,17.25,8.79,19.48,25.3,132068.0,126898.0,120152.0,23341.0
050US20179,20179,0,2813,1263,983,20.26,98.65,0.14,1.46,0.07,0.07,0.14,1.07,24,15.71,0.64,11.01,77.18,73.66,70.49,34.94,2775.0,4.0,50.02,49.98,100.07,95.84,73.25,41.0,1.46,2.0,2.0,4.0,36.64,12.18,11.02,4.88,23.83,26.34,2171.0,2072.0,1983.0,570.0
050US20181,20181,0,6760,3184,2712,17.06,93.83,0.36,8.45,0.33,0.19,0.16,5.3,31,12.9,3.14,13.38,78.46,75.44,68.25,40.12,6343.0,24.0,51.11,48.89,104.54,101.42,68.32,571.0,8.45,22.0,13.0,11.0,35.91,13.38,11.02,3.98,23.8,24.56,5304.0,5100.0,4614.0,1153.0
050US20183,20183,0,4536,2326,1432,27.87,98.79,0.11,0.73,0.24,0.04,0.11,0.82,36,10.67,2.27,16.04,81.55,78.28,75.86,31.57,4481.0,5.0,48.1,51.9,92.69,90.4,74.59,33.0,0.73,11.0,2.0,5.0,37.96,15.4,12.16,4.55,19.38,21.72,3699.0,3551.0,3441.0,1264.0
