HEROP_ID,FIPS,RxCtTmDr,RxAvTmDr,RxTmDrP,NoIntP,OdMortRt,TtlPrPpr,TtlPrAPpr,TtlPrPp,TtlPrAPp
050US41021,41021,1.0,0.0,1.0,20.43,9.7,364.47,132.27,124,45
050US41033,41033,16.0,5.85,1.0,14.32,22.8,1011.69,429.92,513,218
050US41035,41035,16.0,18.7,0.8,16.65,22.1,929.93,231.89,389,97
050US41039,41039,83.0,5.4,0.95,10.43,19.8,599.3,163.08,1503,409
050US41043,41043,20.0,4.5,0.95,13.09,14.6,706.67,266.72,567,214
050US41051,41051,171.0,2.23,1.0,9.2,24.6,418.4,131.31,2412,757
050US41055,41055,0.0,56.7,0.0,15.64,11.9,364.47,132.27,124,45
050US41061,41061,6.0,16.09,0.75,14.98,15.5,502.45,204.7,81,33
050US42005,42005,17.0,9.74,0.89,20.89,33.3,271.37,129.57,111,53
050US42029,42029,116.0,3.08,1.0,8.87,23.1,299.47,109.06,1038,378
050US42035,42035,9.0,6.55,1.0,19.18,13.6,463.38,306.16,112,74
050US42059,42059,8.0,7.53,0.89,18.3,30.4,418.16,221.88,98,52
050US42067,42067,4.0,14.05,0.8,23.77,12.4,,,,
050US42091,42091,211.0,1.89,1.0,8.41,27.2,103.11,48.01,567,264
050US42111,42111,20.0,8.91,0.95,25.05,23.9,415.5,222.74,194,104
050US45005,45005,3.0,6.16,1.0,34.92,7.4,584.13,207.27,31,11
050US45019,45019,83.0,4.4,0.97,13.57,21.6,492.85,126.83,1329,342
050US45025,45025,10.0,6.18,1.0,27.07,16.9,433.23,94.66,119,26
050US45043,45043,15.0,7.63,1.0,20.58,23.5,625.21,194.51,225,70
050US45063,45063,74.0,5.28,1.0,14.04,21.1,473.37,177.18,895,335
050US45077,45077,28.0,5.68,1.0,18.89,30.4,536.46,230.55,477,205
050US45091,45091,46.0,4.66,1.0,9.82,21.9,534.17,230.03,973,419
050US46073,46073,1.0,0.0,1.0,20.96,7.0,,,,
050US46093,46093,4.0,13.91,0.8,14.39,11.4,436.68,333.93,85,65
050US46095,46095,1.0,0.0,1.0,51.89,7.9,1051.71,1051.71,12,12
050US46123,46123,2.0,7.48,1.0,18.42,6.8,1305.8,971.76,43,32
050US47001,47001,17.0,5.77,0.94,17.0,41.1,598.47,432.23,288,208
050US47003,47003,9.0,11.88,1.0,19.53,24.6,1258.53,408.09,404,131
050US47005,47005,5.0,14.86,1.0,30.64,39.9,535.83,210.13,51,20
050US47019,47019,16.0,8.91,0.94,27.97,26.7,825.05,373.24,294,133
050US47029,47029,8.0,14.78,0.89,29.69,27.5,927.42,528.67,207,118
050US47049,47049,4.0,2.57,1.0,28.21,35.6,1022.4,471.19,115,53
050US47063,47063,12.0,2.98,1.0,19.69,31.0,736.28,395.32,298,160
050US47073,47073,13.0,7.98,1.0,25.62,27.5,427.24,226.19,153,81
050US47081,47081,4.0,19.66,0.67,32.11,38.0,546.58,171.96,89,28
050US47097,47097,8.0,11.13,0.89,25.24,21.4,1230.94,630.48,205,105
050US47121,47121,3.0,15.29,1.0,28.13,36.8,505.18,328.37,40,26
050US47149,47149,49.0,3.42,1.0,8.89,27.2,435.97,197.93,1011,459
050US47173,47173,3.0,12.53,0.75,28.97,36.8,1001.11,635.63,126,80
050US48007,48007,6.0,5.99,1.0,15.49,24.5,1302.64,806.75,176,109
050US25001,25001,56.0,4.28,0.98,9.23,37.5,170.03,43.05,237,60
