HEROP_ID,TtlPrPpr,TtlPrAPpr,TtlPrPp,TtlPrAPp,OdMortRt
050US25017,111.05,32.91,1218.0,361.0,26.1
050US26041,457.43,167.57,101.0,37.0,15.5
050US26099,310.31,96.15,1788.0,554.0,35.9
050US26103,278.34,78.56,124.0,35.0,20.8
050US26135,631.98,105.33,30.0,5.0,23.3
050US26147,,,,,39.0
050US26163,1046.92,185.02,12092.0,2137.0,37.6
050US27023,373.24,331.77,27.0,24.0,10.8
050US27053,299.59,177.26,2520.0,1491.0,15.8
050US27077,297.62,255.1,7.0,6.0,17.4
050US27091,345.29,404.24,41.0,48.0,12.3
050US27129,259.48,270.76,23.0,24.0,11.6
050US27139,189.39,166.37,181.0,159.0,8.8
050US27163,120.79,114.78,201.0,191.0,10.0
050US28007,1264.35,385.58,141.0,43.0,13.1
050US28033,655.38,309.27,765.0,361.0,18.4
050US28055,407.75,0.0,4.0,0.0,13.0
050US28075,1529.87,663.75,756.0,328.0,11.0
050US28143,1558.16,308.55,101.0,20.0,16.4
050US28157,472.26,134.93,28.0,8.0,17.8
050US28163,627.97,311.35,119.0,59.0,12.0
050US29023,1344.99,1216.89,357.0,323.0,24.0
050US29029,831.55,717.12,218.0,188.0,21.8
050US29031,900.28,653.52,467.0,339.0,19.2
050US29033,1390.19,789.03,74.0,42.0,19.0
050US17075,,,,,20.5
050US17129,,,,,16.8
050US17161,,,,,12.1
050US17175,,,,,17.3
050US17185,,,,,19.8
050US18009,879.09,513.93,65.0,38.0,32.1
050US18035,534.84,188.4,423.0,149.0,30.7
050US18067,608.19,369.19,313.0,190.0,25.5
050US18083,213.54,151.94,52.0,37.0,18.6
050US18159,156.28,,15.0,,25.6
050US18175,695.76,389.62,125.0,70.0,22.4
050US49025,445.38,187.53,19.0,8.0,26.2
050US05003,,,,,16.6
050US05007,,,,,15.7
050US05013,,,,,15.9
050US05045,,,,,14.4
050US13051,1051.72,311.18,2038.0,603.0,12.6
050US13077,673.82,239.65,627.0,223.0,13.7
050US13123,563.77,178.62,101.0,32.0,22.1
050US13133,1305.87,520.23,123.0,49.0,14.7
050US13137,378.76,128.64,106.0,36.0,18.7
050US13139,619.77,228.75,783.0,289.0,16.5
050US13143,767.15,318.75,142.0,59.0,28.0
050US13157,632.65,214.86,265.0,90.0,20.1
050US13171,643.9,260.82,79.0,32.0,17.1
050US13181,599.67,186.1,29.0,9.0,17.0
050US13185,685.91,200.38,534.0,156.0,11.1
050US13195,693.29,317.08,129.0,59.0,19.8
050US13213,758.9,326.91,195.0,84.0,23.8
050US13217,1052.96,390.41,739.0,274.0,14.3
050US13237,1247.29,495.82,161.0,64.0,14.6
050US13245,1522.61,517.59,2071.0,704.0,21.5
050US13251,1481.24,384.02,135.0,35.0,13.5
050US13269,1396.49,660.5,74.0,35.0,15.1
050US13279,2068.55,512.67,347.0,86.0,14.6
050US23023,279.25,171.16,62.0,38.0,16.9
050US23031,183.27,117.38,242.0,155.0,26.8
050US24001,,,,,44.3
050US24005,,,,,44.1
050US24017,,,,,22.8
050US24021,,,,,33.3
050US24031,,,,,11.3
050US24045,,,,,27.7
050US28149,1023.51,432.51,310.0,131.0,11.3
050US28151,1345.68,379.72,404.0,114.0,12.3
050US29041,960.22,777.32,42.0,34.0,18.9
050US29069,2203.75,1747.99,411.0,326.0,20.3
050US29087,1105.18,952.74,29.0,25.0,14.9
050US29113,635.38,437.34,231.0,159.0,25.0
050US29159,1059.94,727.77,284.0,195.0,16.9
050US29183,455.14,273.39,1177.0,707.0,21.0
050US29195,1967.35,1161.28,288.0,170.0,17.9
050US29197,373.55,410.91,10.0,11.0,15.8
050US29201,1209.39,767.74,293.0,186.0,22.1
050US30001,,,,,20.1
050US30013,,,,,14.0
050US30027,,,,,17.7
050US30031,,,,,9.8
050US30045,,,,,16.9
050US30049,,,,,16.1
050US30055,,,,,17.5
050US30059,,,,,16.5
050US30069,,,,,17.6
050US30073,,,,,18.7
050US30083,,,,,17.1
050US30099,,,,,19.5
050US31103,0.0,0.0,0.0,0.0,12.2
050US31151,250.33,108.84,23.0,10.0,10.6
050US32001,1342.86,628.01,201.0,94.0,27.0
050US32003,683.26,288.83,9685.0,4094.0,22.6
050US32015,167.04,,6.0,,26.4
050US33007,317.24,161.06,65.0,33.0,22.7
050US33015,,,,,30.3
050US33017,256.98,131.27,231.0,118.0,33.4
050US34001,796.1,263.27,1391.0,460.0,34.7
050US34005,257.48,105.96,763.0,314.0,24.1
050US34015,197.51,108.01,384.0,210.0,33.7
050US34019,100.36,62.13,84.0,52.0,14.9
050US34021,498.88,209.57,1245.0,523.0,15.9
050US34025,270.93,98.98,1114.0,407.0,23.5
050US34029,239.41,104.03,817.0,355.0,37.0
050US34035,162.65,63.71,360.0,141.0,13.9
050US21229,258.4,206.72,20.0,16.0,23.7
050US21231,723.86,533.37,95.0,70.0,27.9
050US22035,,,,,14.6
050US22045,,,,,18.8
050US22053,,,,,20.7
050US22055,,,,,18.2
050US06055,350.69,123.84,320.0,113.0,12.7
050US06059,307.33,83.74,6591.0,1796.0,13.2
050US06069,280.26,68.79,110.0,27.0,11.5
050US06073,380.65,102.83,8610.0,2326.0,13.3
050US06079,333.27,111.62,624.0,209.0,16.6
050US06083,406.12,113.24,1205.0,336.0,15.6
050US06097,291.04,92.85,956.0,305.0,13.8
050US06101,583.79,273.76,354.0,166.0,14.9
050US06107,779.54,191.26,2258.0,554.0,10.6
050US06113,455.87,120.55,692.0,183.0,14.8
050US08019,562.15,265.46,36.0,17.0,20.0
050US08023,428.98,,9.0,,32.3
050US08031,742.15,282.21,3687.0,1402.0,20.0
050US08037,161.91,87.38,63.0,34.0,12.9
050US08055,465.12,300.96,17.0,11.0,36.9
050US01049,386.37,224.27,174.0,101.0,22.6
050US01063,750.87,211.78,39.0,11.0,15.2
050US01087,1175.74,295.88,151.0,38.0,10.4
050US01091,618.81,156.77,75.0,19.0,16.5
050US01095,458.01,192.93,273.0,115.0,16.1
050US01101,1141.4,266.37,1714.0,400.0,8.3
050US01107,585.67,330.38,78.0,44.0,15.9
050US01115,599.83,374.01,340.0,212.0,27.1
050US01119,551.09,91.85,48.0,8.0,16.2
050US01131,324.34,,22.0,,13.9
050US02090,,,,,16.4
050US02158,,,,,
050US02240,,,,,19.1
050US04005,575.46,287.23,573.0,286.0,16.8
050US04009,1269.17,818.55,307.0,198.0,21.3
050US04013,952.34,331.63,26440.0,9207.0,18.8
050US54001,,,,,23.2
050US54005,,,,,57.1
050US54021,,,,,31.9
050US54039,,,,,56.6
050US54045,,,,,56.7
050US54047,,,,,73.5
050US54063,,,,,32.1
050US54067,,,,,39.9
050US54087,,,,,34.7
050US54107,,,,,37.7
050US55003,857.11,473.93,85.0,47.0,19.3
050US55043,222.67,121.45,77.0,42.0,11.6
050US55113,882.75,436.18,85.0,42.0,17.9
050US56029,415.08,173.88,74.0,31.0,18.2
050US12086,424.13,83.93,7792.0,1542.0,10.9
050US12093,1889.08,556.54,482.0,142.0,24.0
050US12097,615.52,194.56,1392.0,440.0,16.3
050US13021,1238.52,366.89,1222.0,362.0,12.8
050US13029,341.68,140.94,80.0,33.0,12.1
050US39137,406.08,165.27,86.0,35.0,14.0
050US39175,803.24,492.08,111.0,68.0,19.2
050US40013,1094.71,335.76,313.0,96.0,25.6
050US40027,482.13,165.04,929.0,318.0,18.3
050US40057,2107.87,1301.92,34.0,21.0,21.9
050US40067,1561.66,592.35,58.0,22.0,28.3
050US40075,1045.99,432.82,58.0,24.0,22.4
050US40095,1085.71,563.73,104.0,54.0,22.5
050US40125,1176.17,422.21,546.0,196.0,26.4
050US40135,780.2,374.8,204.0,98.0,31.6
050US40143,1001.19,261.06,4211.0,1098.0,21.4
050US27011,350.14,210.08,10.0,6.0,11.4
050US27013,274.51,272.37,128.0,127.0,9.8
050US27031,,246.99,,8.0,17.0
050US27061,604.52,589.95,166.0,162.0,14.3
050US27073,205.81,154.36,8.0,6.0,11.6
050US27075,175.66,159.69,11.0,10.0,18.2
050US27089,458.55,211.64,26.0,12.0,13.3
050US27097,279.25,303.74,57.0,62.0,14.2
050US27127,492.17,436.24,44.0,39.0,12.2
050US27161,233.57,133.47,28.0,16.0,10.6
050US27171,128.91,128.91,110.0,110.0,7.9
050US28001,947.91,258.97,194.0,53.0,15.8
050US28011,904.83,222.65,191.0,47.0,11.5
050US28029,902.57,429.53,166.0,79.0,13.3
050US28043,1366.69,507.84,183.0,68.0,12.8
050US28083,1242.96,430.26,234.0,81.0,12.1
050US28087,1523.03,545.6,589.0,211.0,11.5
050US28103,619.06,172.76,43.0,12.0,13.1
050US28121,911.85,474.92,912.0,475.0,17.6
050US35015,,,,,23.0
050US35039,,,,,67.7
050US35045,,,,,18.7
050US35055,,,,,31.7
050US36025,420.71,196.33,120.0,56.0,18.6
050US36031,414.14,229.62,101.0,56.0,14.1
050US36103,209.44,99.2,2067.0,979.0,24.9
050US36105,769.04,358.61,371.0,173.0,24.3
