"HEROP_ID","FIPS","GEOID","OpRxRt","SviTh1","SviTh2","SviTh3","SviTh4","SviSmryRnk"
"050US53077","53077",53077,34.4,0.9698,0.8976,0.9154,0.8317,0.9647
"050US54001","54001",54001,21.4,0.6713,0.1782,0.2062,0.4855,0.4563
"050US54003","54003",54003,23.7,0.3296,0.1756,0.4913,0.3159,0.2704
"050US54005","54005",54005,77.9,0.5794,0.5641,0.0032,0.2603,0.4003
"050US54007","54007",54007,23,0.8158,0.2342,0.314,0.5768,0.6013
"050US54009","54009",54009,14.4,0.2272,0.5616,0.0983,0.7124,0.378
"050US54011","54011",54011,113.9,0.784,0.3863,0.3086,0.8635,0.7276
"050US54013","54013",54013,52.9,0.7302,0.4028,0.021,0.3373,0.4696
"050US54015","54015",54015,23.2,0.6685,0.4734,0.0057,0.6052,0.538
"050US54017","54017",54017,0.4,0.4591,0.0366,0.1225,0.5275,0.2625
"050US54019","54019",54019,19.5,0.7922,0.5231,0.2109,0.7445,0.7019
"050US54021","54021",54021,10,0.5297,0.1295,0.5542,0.6621,0.4849
"050US54023","54023",54023,59.1,0.4368,0.3198,0.0299,0.2679,0.2695
"050US54025","54025",54025,45.8,0.5848,0.3468,0.2234,0.4477,0.4537
"050US54027","54027",54027,17.3,0.7235,0.3,0.0821,0.3929,0.4699
"050US54029","54029",54029,77.2,0.5221,0.2622,0.1696,0.2109,0.2969
"050US54031","54031",54031,23.9,0.4874,0.3602,0.3086,0.3742,0.3942
"050US54033","54033",54033,76.7,0.476,0.2409,0.1508,0.7814,0.4703
"050US54035","54035",54035,19.4,0.3112,0.294,0.014,0.5558,0.2934
"050US54037","54037",54037,22.7,0.2164,0.0738,0.5011,0.4658,0.217
"050US54039","54039",54039,74.5,0.4696,0.4804,0.3824,0.6949,0.5339
"050US54041","54041",54041,37.7,0.5635,0.4356,0.1696,0.7617,0.5568
"050US54043","54043",54043,24,0.5364,0.461,0.0083,0.3863,0.3983
"050US54045","54045",54045,61,0.8069,0.5014,0.0337,0.7178,0.6624
"050US54047","54047",54047,17,0.9131,0.8237,0.5202,0.7601,0.8721
"050US54049","54049",54049,32,0.4671,0.3777,0.2164,0.5632,0.4394
"050US54051","54051",54051,68.4,0.2552,0.4827,0.0675,0.2237,0.2167
"050US54053","54053",54053,52.6,0.3137,0.1737,0.0229,0.6074,0.2774
"050US54055","54055",54055,47.8,0.5943,0.7856,0.314,0.8791,0.7343
"050US54057","54057",54057,22.7,0.1884,0.357,0.1654,0.3786,0.2135
"050US54059","54059",54059,61.3,0.8422,0.4687,0.0337,0.7092,0.6761
"050US54061","54061",54061,60.5,0.525,0.0041,0.3748,0.8225,0.3325
"050US54063","54063",54063,14.2,0.5842,0.7276,0.0821,0.119,0.3901
"050US54065","54065",54065,23.7,0.4286,0.0808,0.1094,0.1779,0.1759
"050US54067","54067",54067,45,0.4066,0.5638,0.0089,0.1903,0.2794
"050US54069","54069",54069,66.3,0.3983,0.4324,0.2485,0.7117,0.4741
"050US54071","54071",54071,6.4,0.5829,0.2991,0.0757,0.1091,0.2666
"050US54073","54073",54073,4.8,0.4893,0.3338,0.0379,0.6207,0.4295
"050US54075","54075",54075,26.3,0.6589,0.2001,0.0627,0.8466,0.5546
"050US54077","54077",54077,27.4,0.518,0.1091,0.335,0.7429,0.4591
"050US54079","54079",54079,43.1,0.084,0.1912,0.0757,0.209,0.077
"050US54081","54081",54081,59,0.7439,0.7722,0.3748,0.8447,0.7887
"050US54083","54083",54083,37.1,0.6475,0.0983,0.2399,0.7871,0.5189
"050US54085","54085",54085,11.2,0.4419,0.5705,0.0083,0.1222,0.2609
"050US54087","54087",54087,43.1,0.8953,0.5126,0.0379,0.3942,0.6141
"050US54089","54089",54089,39,0.6236,0.4499,0.2294,0.9262,0.6752
"050US54091","54091",54091,26.4,0.5418,0.252,0.0337,0.4009,0.3538
"050US54093","54093",54093,20.9,0.3255,0.1721,0.0048,0.5399,0.2615
"050US54095","54095",54095,20.1,0.1826,0.3105,0.0115,0.2017,0.1349
"050US54097","54097",54097,13.3,0.7283,0.2762,0.1037,0.805,0.6045
"050US54099","54099",54099,10.4,0.573,0.3334,0.0169,0.343,0.3694
"050US54101","54101",54101,106.2,0.7095,0.3261,0.1508,0.434,0.4916
"050US54103","54103",54103,33.6,0.3799,0.2704,0.0264,0.5434,0.3201
"050US54105","54105",54105,16.5,0.3913,0.2774,0.0115,0.3163,0.2552
"050US54107","54107",54107,57.6,0.4862,0.4658,0.0757,0.3907,0.3869
"050US54109","54109",54109,39.3,0.7213,0.3942,0.0089,0.5084,0.5173
"050US55001","55001",55001,6.4,0.5679,0.399,0.342,0.5962,0.5259
"050US55003","55003",55003,45.3,0.3252,0.3271,0.503,0.8031,0.4852
"050US55005","55005",55005,38.5,0.3713,0.6198,0.2234,0.4216,0.4009
"050US55007","55007",55007,5.9,0.1199,0.1457,0.4604,0.1209,0.097
"050US55009","55009",55009,48,0.1492,0.4133,0.5444,0.5364,0.3007
"050US55011","55011",55011,2.5,0.1524,0.224,0.0675,0.0525,0.0595
"050US55013","55013",55013,22.2,0.412,0.23,0.2879,0.0824,0.1928
"050US55015","55015",55015,9.1,0.0086,0.1009,0.3058,0.0391,0.0115
"050US55017","55017",55017,15.9,0.1686,0.0675,0.1572,0.2704,0.1056
"050US55019","55019",55019,12.4,0.6096,0.5584,0.2265,0.7929,0.6347
"050US55021","55021",55021,27,0.0668,0.1053,0.2399,0.3878,0.0993
"050US55023","55023",55023,30.8,0.2679,0.182,0.1409,0.6602,0.2905
"050US55025","55025",55025,37.8,0.1053,0.0388,0.5616,0.65,0.1855
"050US55027","55027",55027,22.1,0.1613,0.0818,0.3248,0.4349,0.1584
"050US55029","55029",55029,20.2,0.1066,0.1499,0.1572,0.0808,0.0525
"050US55031","55031",55031,14.6,0.1654,0.3633,0.2692,0.6573,0.2946
"050US55033","55033",55033,14,0.2195,0.0235,0.2234,0.6615,0.188
"050US55035","55035",55035,53.3,0.1301,0.0487,0.3388,0.5896,0.1616
"050US55037","55037",55037,6.8,0.3458,0.1317,0.0379,0.0697,0.112
