HEROP_ID,FIPS,FqhcCtTmDr,FqhcAvTmDr,FqhcTmDrP,CntBupT,CntMetT,CntNaltT,AvBupTime,AvMetTime,AvNaltTime,PctBupT,PctMetT,PctNaltT,MhCtTmDr,MhAvTmDr,MhTmDrP,SutpCtTmDr,SutpAvTmDr,SutpTmDrP,HospCtTmDr,HospAvTmDr,HospTmDrP,OpRxRt,PrMsuseP,OdMortRt,OdMortRtAv,AnyGslDt,GslArrDt,AnyGslFr,GslArrFr,HcvD,MlHcvD,FlHcvD,U50HcvD,A50_74HcvD,O75HcvD,AmInHcvD,AsHcvD,NhPiHcvD,BlkHcvD,WhtHcvD,MulHcvD,HspHcvD,MdMarijLaw,AnyNalxDt,NalxPrStDt,NalxPresDt,AnyNalxFr,NalxPrStFr,NalxPresFr,AnyPdmpFr,AnyPdmphFr,OpPdmpFr,MsAcPdmpFr,ElcPdmpFr,AnyPdmpDt,AnyPdmphDt,OpPdmpDt,MsAcPdmpDt,ElcPdmpDt,PlcFyrExp,CrrctExp,HlthExp,WlfrExp,MedPolProp
040US37,37,2007,15.01,0.91,2114,1721,1844,9.61,21.08,17.19,0.96,0.78,0.84,1988,14.39,0.91,2068,11.74,0.94,2029,15.07,0.93,52.8,3.48,30.9,18.42,4/9/2013,,1.0,0.0,369,257,112.0,15.0,314.0,12.0,,,0.0,98.0,249.0,,,0,5/1/2013,5/1/2013,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,8/13/2005,1/1/2006,7/1/2007,6/29/2017,1/1/2006,4828048,22270382,17920588,35148516,0.0
040US38,38,104,40.01,0.51,121,49,109,29.36,44.14,34.55,0.59,0.24,0.53,99,39.35,0.48,120,29.71,0.59,149,18.34,0.73,36.7,3.02,15.6,15.14,8/1/2015,,1.0,0.0,20,16,,,,,,0.0,0.0,0.0,17.0,0.0,0.0,1,8/1/2015,8/1/2015,4/1/2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12/1/2005,12/1/2006,10/1/2008,1/1/2018,4/5/2007,316969,640737,270285,3437347,1.0
040US39,39,2831,10.82,0.96,2909,2012,2875,6.46,24.48,9.68,0.99,0.68,0.97,2900,8.39,0.98,2901,9.01,0.98,2870,10.55,0.97,47.4,3.64,47.2,34.4,9/13/2016,9/13/2016,1.0,1.0,491,366,125.0,32.0,407.0,22.0,0.0,,0.0,131.0,336.0,,18.0,1,4/1/2014,8/1/2015,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5/18/2005,5/1/2005,10/1/2006,4/15/2015,5/18/2005,6302584,15043754,10188020,64041732,1.0
040US40,40,868,16.92,0.83,903,630,679,12.91,30.75,27.43,0.86,0.6,0.65,928,13.16,0.89,909,13.79,0.87,970,11.04,0.93,59.3,3.62,19.4,17.98,11/1/2018,11/1/2018,1.0,1.0,501,360,141.0,25.0,424.0,24.0,68.0,,0.0,40.0,354.0,10.0,24.0,1,11/1/2013,,11/1/2017,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5/15/1990,1/1/1991,7/1/2006,11/1/2015,5/15/1990,1765942,4375138,2765250,14543031,0.0
040US41,41,745,13.63,0.89,776,551,738,9.25,33.26,12.84,0.93,0.66,0.88,737,13.93,0.88,761,11.41,0.91,737,14.84,0.89,45.6,4.46,18.7,17.28,1/1/2016,1/1/2016,1.0,1.0,448,313,135.0,10.0,391.0,18.0,13.0,,,13.0,384.0,11.0,17.0,1,7/1/2013,,7/1/2013,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,7/23/2009,7/1/2009,9/1/2011,,7/23/2009,2619155,8187845,5115099,26567723,1.0
040US42,42,2915,12.94,0.91,3137,2670,3096,6.2,18.91,9.17,0.97,0.83,0.96,3072,9.43,0.95,3128,8.65,0.97,3058,10.68,0.95,43.1,3.43,42.4,34.84,12/1/2014,,1.0,0.0,423,311,112.0,24.0,347.0,21.0,,,0.0,99.0,271.0,,41.0,1,12/1/2014,12/1/2014,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1/1/1972,1/1/1990,8/1/2016,6/30/2015,1/1/2002,5265397,19640355,11260651,84563955,1.0
040US44,44,242,6.31,0.99,242,240,242,4.08,9.0,7.17,0.99,0.98,0.99,241,7.95,0.99,242,6.26,0.99,241,8.22,0.99,36.5,3.59,38.2,28.42,6/18/2012,,1.0,0.0,51,39,12.0,,18.0,0.0,,0.0,0.0,,38.0,0.0,,1,7/1/2012,3/1/2014,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1/1/1978,1/1/1990,9/1/2012,6/28/2016,1/1/1997,839436,1039255,567595,6440256,1.0
040US45,45,1048,13.66,0.95,1033,666,818,11.38,28.8,22.32,0.94,0.6,0.74,1001,15.65,0.91,1002,15.17,0.91,987,15.71,0.89,56.6,3.07,34.9,16.78,6/10/2017,,1.0,0.0,240,161,79.0,,214.0,,,0.0,0.0,73.0,160.0,0.0,,0,6/1/2015,6/1/2015,6/1/2015,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6/14/2006,6/1/2006,2/1/2008,5/19/2017,6/14/2006,2076960,11129063,9526379,17904264,0.0
040US46,46,125,33.88,0.56,112,1,91,36.97,81.45,56.4,0.5,0.0,0.4,140,29.9,0.62,135,31.8,0.6,176,17.22,0.79,39.9,2.9,10.3,12.66,7/1/2017,7/1/2017,1.0,1.0,32,26,,,,,,,0.0,0.0,23.0,0.0,0.0,0,7/1/2016,7/1/2016,,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3/29/2010,3/1/2010,3/1/2012,,7/1/2010,312555,681126,276366,2669251,0.0
040US47,47,1297,15.49,0.87,1344,771,1283,11.73,34.53,15.43,0.9,0.52,0.86,1390,12.88,0.93,1372,12.61,0.92,1379,13.84,0.92,68.5,3.35,45.6,22.98,7/1/2015,7/1/2015,1.0,1.0,491,346,145.0,79.0,385.0,14.0,0.0,,0.0,96.0,383.0,0.0,,0,7/1/2014,7/1/2014,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1/1/2003,1/1/2003,1/1/2010,4/1/2013,1/1/2003,3172533,8741562,6287130,26068536,0.0
