HEROP_ID,OtpMinDis,OtpTmDr,OtpCntDr
140US01053970300,11.1,15.09,1
140US01053970700,11.15,29.59,1
140US01017954000,36.42,65.32,0
140US01009050400,27.01,37.97,0
140US01009050601,4.05,18.53,1
140US01111000600,40.7,79.16,0
140US01113030700,2.69,9.15,2
140US01113030901,7.97,20.41,2
140US01029959600,19.85,24.75,1
140US01053970100,23.43,34.91,0
140US01015002502,14.52,26.59,1
140US01015001800,12.68,21.95,1
140US01015002103,16.01,25.12,1
140US01015002200,28.35,42.19,0
140US01101005503,7.34,14.54,1
140US01101005504,13.26,24.57,1
140US01015002600,18.82,30.93,0
140US01003011202,16.29,40.72,0
140US01003011405,24.03,56.38,0
140US01003011408,33.61,82.18,0
140US01091973100,70.04,111.51,0
140US01121011600,38.63,72.42,0
140US01121012000,36.14,72.06,0
140US01117030336,7.83,25.79,3
140US01023957000,56.64,94.53,0
140US01101002202,8.06,17.31,1
140US01101002600,2.53,8.03,1
140US01101002900,5.17,13.62,1
140US01101003100,7.08,17.0,1
140US01021060300,14.22,21.72,1
140US01125010203,13.99,24.56,1
140US01125010303,13.42,28.48,1
140US01125010407,5.98,15.51,1
140US01019956000,27.98,39.54,0
140US01021060101,4.3,18.71,1
140US01077010900,5.88,11.4,1
140US01113031100,30.35,49.92,0
140US01115040106,15.85,28.65,1
140US01125011600,4.55,10.05,1
140US01125011800,2.97,11.65,1
140US01125011902,3.11,10.31,1
140US01117030408,10.66,50.59,0
140US01083020102,19.07,41.61,0
140US01109188900,47.0,73.1,0
140US01125010202,11.24,20.74,1
140US01021060402,18.14,37.71,0
140US01025957602,77.58,115.32,0
140US01073011400,1.7,0.0,1
140US01073011600,12.25,31.74,0
140US01035960300,30.96,54.03,0
140US01101003200,6.42,17.37,1
140US01101005102,7.37,14.14,1
140US01101005402,2.17,5.22,1
140US01117030609,4.26,14.8,1
140US01121010301,22.11,38.47,0
140US01103000700,18.9,31.58,0
140US01125010703,21.32,31.33,0
140US01117030331,10.88,31.92,0
140US01117030333,8.66,25.98,3
140US01083020802,6.37,20.18,2
140US01083021100,14.69,32.68,0
140US01047956201,49.73,85.28,0
140US01047956702,47.02,77.34,0
140US01049960100,16.97,40.54,0
140US01121010400,21.63,48.97,0
140US01121011000,25.02,44.93,0
140US01073012104,17.68,38.99,0
140US01073012304,8.95,24.93,2
140US01075030200,43.07,77.19,0
140US01077010300,3.08,8.42,1
140US01089001200,1.72,7.2,3
140US01025957500,72.13,129.34,0
140US01077010800,5.59,11.09,1
140US01083020300,29.6,56.59,0
140US01081042102,22.24,45.64,0
140US01109188700,38.48,68.41,0
140US01117030701,10.69,43.43,0
140US01003010903,21.61,39.23,0
140US01003010906,27.63,42.74,0
140US01101001000,9.29,17.48,1
140US01089002721,5.17,12.59,2
140US01099076100,35.72,75.79,0
140US01097000701,5.2,15.56,3
140US01093964400,1.8,0.0,1
140US01073014301,1.25,0.0,2
140US01073014406,4.0,18.55,1
140US01089010301,17.77,29.85,2
140US01089010402,15.99,24.85,2
140US01089010502,10.3,21.1,2
140US01089010621,6.43,15.81,3
140US01073014410,6.81,16.6,2
140US01073014413,5.58,18.91,2
140US01081041800,22.78,55.54,0
140US01095030300,25.43,49.98,0
140US01073012914,3.74,19.75,1
140US01073013200,4.14,12.31,2
140US01073013300,5.53,14.08,2
140US01087231603,30.4,46.23,0
140US01089011011,1.74,8.87,3
140US01089011021,3.43,8.91,3
140US01089011022,4.35,10.06,3
140US01089002801,3.79,11.79,2
140US01089002912,7.58,18.25,2
140US01089002922,8.78,18.73,2
140US01073012500,10.16,29.39,1
140US01095030100,34.8,64.64,0
140US01073012911,6.64,26.05,2
140US01095030802,22.18,37.44,0
140US01095030402,27.5,44.49,0
140US01081041600,29.59,39.65,0
140US01107050100,39.19,55.17,0
140US01107050300,42.82,63.06,0
140US01073012701,3.3,16.52,1
140US01073012802,7.71,23.3,2
140US01081040901,36.96,53.26,0
140US01081041200,32.81,46.82,0
140US01095030903,26.02,40.81,0
140US01095031000,25.04,52.67,0
140US01095031100,19.56,33.4,0
140US01087232000,35.8,45.49,0
140US01089000202,5.25,15.07,3
140US01089000502,2.58,8.38,3
140US01089000503,2.14,7.48,3
140US01089000702,2.35,9.79,3
140US01089000901,6.1,14.85,3
140US01085781200,37.8,59.38,0
140US01081041900,15.07,24.73,2
140US01081042006,9.63,20.1,2
140US01005950800,47.54,73.49,0
140US01027959200,37.53,88.26,0
140US01011952500,35.83,71.3,0
140US01013952900,53.47,60.24,0
140US01011952100,47.93,87.71,0
140US01027959000,25.91,63.29,0
140US01013953500,66.98,106.17,0
140US01015000600,2.37,9.71,1
140US01015001201,1.15,0.0,1
140US01015001300,3.64,11.6,1
140US01015001500,9.37,17.03,1
